https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume ZAR,tradecount
1617321600000,2021-04-02 00:00:00,BTC/ZAR,815350.00000000,900800.00000000,796578.00000000,857014.00000000,0.84563100,707997.75130100,160
1617235200000,2021-04-01 00:00:00,BTC/ZAR,786173.00000000,830250.00000000,767761.00000000,806993.00000000,2.01609100,1624365.39850300,350
1617148800000,2021-03-31 00:00:00,BTC/ZAR,780639.00000000,798097.00000000,724395.00000000,780621.00000000,3.48877400,2648823.86690300,552
1617062400000,2021-03-30 00:00:00,BTC/ZAR,780385.00000000,796817.00000000,565927.00000000,779532.00000000,9.71578800,7123129.85322500,3003
1616976000000,2021-03-29 00:00:00,BTC/ZAR,773344.00000000,801200.00000000,766479.00000000,780704.00000000,3.44029900,2698215.54725100,849
1616889600000,2021-03-28 00:00:00,BTC/ZAR,765766.00000000,790685.00000000,762458.00000000,771319.00000000,0.68836100,532034.50897000,110
1616803200000,2021-03-27 00:00:00,BTC/ZAR,773688.00000000,783513.00000000,752961.00000000,765921.00000000,3.59853800,2761999.15604600,325
1616716800000,2021-03-26 00:00:00,BTC/ZAR,731922.00000000,772070.00000000,724394.00000000,772070.00000000,6.04231100,4467444.65637900,392
1616630400000,2021-03-25 00:00:00,BTC/ZAR,747558.00000000,1275000.00000000,610000.00000000,726835.00000000,3.50383200,2575504.48127900,447
1616544000000,2021-03-24 00:00:00,BTC/ZAR,762363.00000000,803846.00000000,742671.00000000,751315.00000000,0.74685300,589508.38692900,221
1616457600000,2021-03-23 00:00:00,BTC/ZAR,761411.00000000,784354.00000000,741003.00000000,767478.00000000,0.75141100,574660.20920900,177
1616371200000,2021-03-22 00:00:00,BTC/ZAR,794345.00000000,814063.00000000,758027.00000000,765279.00000000,2.10919100,1680398.33470000,675
1616284800000,2021-03-21 00:00:00,BTC/ZAR,794639.00000000,812551.00000000,770533.00000000,799396.00000000,2.46751600,1941037.77454300,177
1616198400000,2021-03-20 00:00:00,BTC/ZAR,826066.00000000,842924.00000000,796540.00000000,796540.00000000,2.19096500,1819504.42613700,267
1616112000000,2021-03-19 00:00:00,BTC/ZAR,816804.00000000,845530.00000000,800318.00000000,829274.00000000,5.35749000,4441931.76444100,889
