https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume ZIL
1663545600000,2022-09-19 00:00:00,ZIL/BTC,1.64e-06,1.64e-06,1.64e-06,1.64e-06,0.000419964488136,256.0759074
1663459200000,2022-09-18 00:00:00,ZIL/BTC,1.72e-06,1.72e-06,1.6e-06,1.64e-06,0.3690185824506312,225011.33076258
1663372800000,2022-09-17 00:00:00,ZIL/BTC,1.71e-06,1.73e-06,1.71e-06,1.73e-06,0.5349559003356286,309223.06377782
1663286400000,2022-09-16 00:00:00,ZIL/BTC,1.72e-06,1.74e-06,1.71e-06,1.71e-06,0.3606271032538521,210893.04283851
1663200000000,2022-09-15 00:00:00,ZIL/BTC,1.73e-06,1.73e-06,1.7e-06,1.71e-06,0.1049023665511209,61346.41318779
1663113600000,2022-09-14 00:00:00,ZIL/BTC,1.71e-06,1.74e-06,1.7e-06,1.74e-06,0.1194607096845204,68655.58027846
1663027200000,2022-09-13 00:00:00,ZIL/BTC,1.67e-06,1.71e-06,1.63e-06,1.71e-06,0.2461130651128635,143925.76907185
1662940800000,2022-09-12 00:00:00,ZIL/BTC,1.72e-06,1.73e-06,1.67e-06,1.69e-06,0.051542530342481095,30498.53866419
1662854400000,2022-09-11 00:00:00,ZIL/BTC,1.71e-06,1.73e-06,1.71e-06,1.72e-06,0.010879124858687202,6325.07259226
1662768000000,2022-09-10 00:00:00,ZIL/BTC,1.75e-06,1.76e-06,1.71e-06,1.73e-06,0.47644121834908176,275399.54817866
1662681600000,2022-09-09 00:00:00,ZIL/BTC,1.84e-06,1.85e-06,1.71e-06,1.71e-06,0.0445237242373377,26037.26563587
1662595200000,2022-09-08 00:00:00,ZIL/BTC,1.8e-06,1.83e-06,1.8e-06,1.83e-06,0.573910728725721,313612.4200687
1662508800000,2022-09-07 00:00:00,ZIL/BTC,1.79e-06,1.82e-06,1.79e-06,1.8e-06,0.10114980923035799,56194.33846131
1662422400000,2022-09-06 00:00:00,ZIL/BTC,1.83e-06,1.84e-06,1.77e-06,1.79e-06,0.7041688782938615,393390.43480104
1662336000000,2022-09-05 00:00:00,ZIL/BTC,1.8e-06,1.82e-06,1.79e-06,1.81e-06,0.41538777977649444,229496.01092624
1662249600000,2022-09-04 00:00:00,ZIL/BTC,1.81e-06,1.82e-06,1.81e-06,1.82e-06,0.32226765875367697,177070.14217235
1662163200000,2022-09-03 00:00:00,ZIL/BTC,1.8e-06,1.8e-06,1.79e-06,1.8e-06,0.351308411346744,195171.33963708
1662076800000,2022-09-02 00:00:00,ZIL/BTC,1.8e-06,1.82e-06,1.77e-06,1.79e-06,0.4148199959693916,231743.01450804
1661990400000,2022-09-01 00:00:00,ZIL/BTC,1.77e-06,1.8e-06,1.77e-06,1.79e-06,0.4603624478032167,257185.72502973
1661904000000,2022-08-31 00:00:00,ZIL/BTC,1.81e-06,1.82e-06,1.8e-06,1.8e-06,0.551337606149004,306298.67008278
1661817600000,2022-08-30 00:00:00,ZIL/BTC,1.81e-06,1.83e-06,1.79e-06,1.82e-06,0.48696823726962324,267564.96553276
1661731200000,2022-08-29 00:00:00,ZIL/BTC,1.8e-06,1.82e-06,1.78e-06,1.82e-06,0.5086863712453795,279498.00617878
1661644800000,2022-08-28 00:00:00,ZIL/BTC,1.82e-06,1.83e-06,1.82e-06,1.83e-06,0.48202040083949405,263399.1261418
