https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PERP,Volume USDT
1663459200,2022-09-18 00:00:00,PERP/USDT,0.616,0.616,0.616,0.616,32,19.712
1663372800,2022-09-17 00:00:00,PERP/USDT,0.609,0.628,0.601,0.621,9587.3912,5919.6477881
1663286400,2022-09-16 00:00:00,PERP/USDT,0.611,0.619,0.582,0.606,39763.6588,24045.4243796
1663200000,2022-09-15 00:00:00,PERP/USDT,0.665,0.665,0.609,0.61,8374.1484,5281.2814064
1663113600,2022-09-14 00:00:00,PERP/USDT,0.646,0.674,0.617,0.665,30411.7119,19517.6541842
1663027200,2022-09-13 00:00:00,PERP/USDT,0.701,0.701,0.644,0.651,25238.7351,16758.5425628
1662940800,2022-09-12 00:00:00,PERP/USDT,0.733,0.743,0.684,0.709,60842.7362,44025.1141855
1662854400,2022-09-11 00:00:00,PERP/USDT,0.721,0.768,0.702,0.737,38882.2412,28585.8627333
1662768000,2022-09-10 00:00:00,PERP/USDT,0.72,0.741,0.706,0.718,75126.6013,54635.6380571
1662681600,2022-09-09 00:00:00,PERP/USDT,0.691,0.732,0.682,0.717,30581.6641,21772.9796456
1662595200,2022-09-08 00:00:00,PERP/USDT,0.669,0.725,0.667,0.688,66905.8798,46157.6177649
1662508800,2022-09-07 00:00:00,PERP/USDT,0.642,0.685,0.627,0.666,23969.7407,15685.5464504
1662422400,2022-09-06 00:00:00,PERP/USDT,0.689,0.714,0.641,0.641,32835.9445,21944.9740584
1662336000,2022-09-05 00:00:00,PERP/USDT,0.689,0.693,0.667,0.69,15240.6953,10332.7066207
1662249600,2022-09-04 00:00:00,PERP/USDT,0.686,0.692,0.676,0.69,5193.991,3550.21119
1662163200,2022-09-03 00:00:00,PERP/USDT,0.678,0.719,0.665,0.688,26157.8703,17931.5721038
1662076800,2022-09-02 00:00:00,PERP/USDT,0.687,0.707,0.674,0.677,14361.2459,9928.4273887
1661990400,2022-09-01 00:00:00,PERP/USDT,0.686,0.696,0.663,0.69,14210.8188,9596.2808247
1661904000,2022-08-31 00:00:00,PERP/USDT,0.69,0.716,0.685,0.685,8283.43708774,5798.5278474954
1661817600,2022-08-30 00:00:00,PERP/USDT,0.723,0.736,0.676,0.691,15898.98368031,11182.37344712434
1661731200,2022-08-29 00:00:00,PERP/USDT,0.661,0.765,0.657,0.727,171845.40751955,124276.14476619703
1661644800,2022-08-28 00:00:00,PERP/USDT,0.693,0.719,0.656,0.656,45333.96250807,31527.58638438413
1661558400,2022-08-27 00:00:00,PERP/USDT,0.691,0.724,0.662,0.693,111326.70510864,76938.78760180948
1661472000,2022-08-26 00:00:00,PERP/USDT,0.786,0.815,0.686,0.693,58915.85786935,44353.74919958287
1661385600,2022-08-25 00:00:00,PERP/USDT,0.771,0.81,0.766,0.785,33156.85986987,26089.52813637673
1661299200,2022-08-24 00:00:00,PERP/USDT,0.77,0.78,0.747,0.773,23672.1658858,17960.074329695
1661212800,2022-08-23 00:00:00,PERP/USDT,0.758,0.803,0.73,0.771,45893.9320357,34931.43225795279
1661126400,2022-08-22 00:00:00,PERP/USDT,0.794,0.794,0.73,0.763,45935.39869698,34813.61204158538
1661040000,2022-08-21 00:00:00,PERP/USDT,0.747,0.845,0.734,0.797,90031.15118476,71611.22491547392
1660953600,2022-08-20 00:00:00,PERP/USDT,0.733,0.804,0.725,0.744,53046.30757416,40273.31781138661
1660867200,2022-08-19 00:00:00,PERP/USDT,0.851,0.851,0.722,0.73,53721.59297938,41671.63723741706
1660780800,2022-08-18 00:00:00,PERP/USDT,0.899,0.943,0.851,0.853,63614.2083295,57587.26851198006
1660694400,2022-08-17 00:00:00,PERP/USDT,0.931,0.981,0.867,0.902,66527.29741191,60749.91943479326
1660608000,2022-08-16 00:00:00,PERP/USDT,0.968,0.983,0.914,0.92,31276.68994816,29467.18627651525
