https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume USDC
1663459200,2022-09-18 00:00:00,USDT/USDC,0.9998,0.9999,0.9998,0.9999,173142.865774,173124.0962775355
1663372800,2022-09-17 00:00:00,USDT/USDC,0.9997,0.9999,0.9997,0.9999,2233803.875709,2233492.165067049
1663286400,2022-09-16 00:00:00,USDT/USDC,0.9999,1,0.997,0.9997,4917858.342209,4916102.427484173
1663200000,2022-09-15 00:00:00,USDT/USDC,1,1.0002,0.9999,0.9999,5010364.751179,5010764.7397916076
1663113600,2022-09-14 00:00:00,USDT/USDC,1,1.0001,0.9999,1,5087607.264197,5087464.0901488944
1663027200,2022-09-13 00:00:00,USDT/USDC,1.0002,1.0003,1,1,6405041.011147,6406119.4055813112
1662940800,2022-09-12 00:00:00,USDT/USDC,1.0003,1.0004,1.0002,1.0003,4564385.916191,4565773.0407396562
1662854400,2022-09-11 00:00:00,USDT/USDC,1.0003,1.0004,1.0003,1.0004,4436828.164981,4438355.7639655131
1662768000,2022-09-10 00:00:00,USDT/USDC,1.0003,1.0007,1.0002,1.0003,5978059.107657,5980780.8214275833
1662681600,2022-09-09 00:00:00,USDT/USDC,1.0001,1.0003,1,1.0003,10232268.184091,10233691.5673540112
1662595200,2022-09-08 00:00:00,USDT/USDC,1,1.0001,1,1.0001,5432091.87928,5432374.6382126118
1662508800,2022-09-07 00:00:00,USDT/USDC,1.0001,1.0001,1,1.0001,4525568.275872,4525809.630905557
1662422400,2022-09-06 00:00:00,USDT/USDC,1,1.0001,1,1,5366430.724257,5366692.0205682438
1662336000,2022-09-05 00:00:00,USDT/USDC,1.0001,1.0001,1,1,3612275.679948,3612455.9533199432
1662249600,2022-09-04 00:00:00,USDT/USDC,1,1.0001,1,1,2267583.559202,2267722.2356271985
1662163200,2022-09-03 00:00:00,USDT/USDC,1,1.0001,1,1,2542923.867935,2543074.3101090851
1662076800,2022-09-02 00:00:00,USDT/USDC,1,1.0001,1,1,3887758.205731,3887984.2624306336
1661990400,2022-09-01 00:00:00,USDT/USDC,1.0001,1.0001,1,1.0001,5962805.742361,5963108.2324948583
1661904000,2022-08-31 00:00:00,USDT/USDC,1,1.0001,1,1,2743436.95832029,2743542.639397683629
1661817600,2022-08-30 00:00:00,USDT/USDC,1.0001,1.0001,1,1,4606590.23495419,4606846.608727404919
1661731200,2022-08-29 00:00:00,USDT/USDC,1,1.0001,1,1.0001,3926158.55812325,3926348.314974977725
1661644800,2022-08-28 00:00:00,USDT/USDC,1.0001,1.0002,1,1.0001,2775278.85106471,2775452.989942332964
1661558400,2022-08-27 00:00:00,USDT/USDC,1.0002,1.0002,1.0001,1.0002,3975328.02173316,3975914.405311368032
1661472000,2022-08-26 00:00:00,USDT/USDC,1.0002,1.0003,1.0001,1.0001,6542123.02340787,6543559.635752621783
1661385600,2022-08-25 00:00:00,USDT/USDC,1.0001,1.004,1,1.0003,5154383.98585404,5155650.125467885279
1661299200,2022-08-24 00:00:00,USDT/USDC,1,1.0001,1,1,2875117.53556406,2875252.667080443506
1661212800,2022-08-23 00:00:00,USDT/USDC,1,1.0001,1,1.0001,3702707.77005194,3702870.566999786394
1661126400,2022-08-22 00:00:00,USDT/USDC,1,1.0002,1,1,3905274.14988988,3905639.686749539118
1661040000,2022-08-21 00:00:00,USDT/USDC,1,1.0001,1,1.0001,2658054.47201745,2658199.841481344445
1660953600,2022-08-20 00:00:00,USDT/USDC,1.0001,1.0001,1,1.0001,3413918.10988212,3414096.150950640612
1660867200,2022-08-19 00:00:00,USDT/USDC,1,1.0001,0.9999,1.0001,6306896.11573856,6307034.569614602975
1660780800,2022-08-18 00:00:00,USDT/USDC,0.9999,1.0001,0.9999,1,5756666.12702348,5756495.554100155015
1660694400,2022-08-17 00:00:00,USDT/USDC,1.0002,1.0003,0.9998,1,5925433.54639285,5925987.866096071255
1660608000,2022-08-16 00:00:00,USDT/USDC,1.0004,1.0004,1.0002,1.0003,4761322.07198878,4762671.164356079208
1660521600,2022-08-15 00:00:00,USDT/USDC,1.0004,1.0005,1.0003,1.0004,5925041.84857845,5927241.330038710007
1660435200,2022-08-14 00:00:00,USDT/USDC,1.0004,1.0005,0.998,1.0004,8351263.72229362,8352119.843838704565
1660348800,2022-08-13 00:00:00,USDT/USDC,1.0005,1.0006,1.0004,1.0005,3847701.46273067,3849754.030840313346
1660262400,2022-08-12 00:00:00,USDT/USDC,1.0005,1.0008,1.0003,1.0006,6289315.64282074,6292534.698103913159
1660176000,2022-08-11 00:00:00,USDT/USDC,1.0003,1.0005,1.0003,1.0005,5396855.90472605,5399102.060766273617
1660089600,2022-08-10 00:00:00,USDT/USDC,1.0002,1.095,1.0002,1.0004,9708469.11174914,9729644.31520676096
1660003200,2022-08-09 00:00:00,USDT/USDC,1.0004,1.0004,1.0002,1.0002,4647200.10585806,4648493.372880343359
1659916800,2022-08-08 00:00:00,USDT/USDC,1.0001,1.0005,1.0001,1.0003,5992945.66743285,5994884.838706166231
1659830400,2022-08-07 00:00:00,USDT/USDC,1.0002,1.0002,1.0001,1.0001,3399929.49436096,3400448.523807202334
1659744000,2022-08-06 00:00:00,USDT/USDC,1.0001,1.0002,1.0001,1.0001,3905029.32438457,3905603.699085164314
1659657600,2022-08-05 00:00:00,USDT/USDC,1.0001,1.0002,1,1.0001,4793509.65839645,4794048.243216345453
1659571200,2022-08-04 00:00:00,USDT/USDC,1.0003,1.0004,1,1.0001,5459368.52719489,5460704.283389772609
1659484800,2022-08-03 00:00:00,USDT/USDC,1,1.0008,0.9999,1.0003,6572603.47219773,6573740.807371496788
1659398400,2022-08-02 00:00:00,USDT/USDC,1.0004,1.0004,0.9995,1,6063488.93988227,6065330.034450275314
1659312000,2022-08-01 00:00:00,USDT/USDC,1.0005,1.0005,1.0003,1.0004,5467346.91403166,5469335.604003375186
1659225600,2022-07-31 00:00:00,USDT/USDC,1.0005,1.0005,1.0003,1.0005,5563884.30627113,5566308.157299195953
1659139200,2022-07-30 00:00:00,USDT/USDC,1.0004,1.0005,1.0003,1.0004,5836777.85832,5839365.373493847748
1659052800,2022-07-29 00:00:00,USDT/USDC,1.0004,1.0005,0.9998,1.0004,7460005.38064073,7462271.625502236633
1658966400,2022-07-28 00:00:00,USDT/USDC,1.0003,1.004,1.0002,1.0005,8578557.05213113,8581751.555925653016
1658880000,2022-07-27 00:00:00,USDT/USDC,1,1.1,1,1.0003,7601590.69565746,7658556.298622922395
1658793600,2022-07-26 00:00:00,USDT/USDC,1,1.0002,1,1.0001,4769991.60159848,4770312.733318118865
1658707200,2022-07-25 00:00:00,USDT/USDC,1.0002,1.0003,1,1.0001,4841876.1674956,4842901.507747222719
1658620800,2022-07-24 00:00:00,USDT/USDC,0.9998,1.004,0.995,1.0002,4207432.74353877,4206116.730264961903
1658534400,2022-07-23 00:00:00,USDT/USDC,1.0002,1.0003,0.9984,0.9998,5044566.34999239,5044105.994825487161
1658448000,2022-07-22 00:00:00,USDT/USDC,0.9999,1.0006,0.9999,1.0002,4931989.16409036,4933214.129971198421
1658361600,2022-07-21 00:00:00,USDT/USDC,1.0002,1.0057,0.9999,1,7376539.10557201,7377865.267507997227
1658275200,2022-07-20 00:00:00,USDT/USDC,1.0003,1.0051,0.9992,1.0001,7103848.49104639,7104819.167438849178
1658188800,2022-07-19 00:00:00,USDT/USDC,0.9999,1.0045,0.9998,1.0003,8432128.80219776,8433296.273872163182
1658102400,2022-07-18 00:00:00,USDT/USDC,0.9999,1.001,0.9998,0.9999,8335178.17959381,8336074.892953378703
1658016000,2022-07-17 00:00:00,USDT/USDC,1,1,0.9996,0.9999,3218910.74750433,3218619.886086966231
1657929600,2022-07-16 00:00:00,USDT/USDC,0.9997,1.0001,0.9997,0.9999,3849996.19033757,3849381.176835423121
1657843200,2022-07-15 00:00:00,USDT/USDC,0.9994,0.9999,0.9994,0.9997,4594795.53917374,4593084.9744972695
1657756800,2022-07-14 00:00:00,USDT/USDC,0.9993,0.9997,0.9993,0.9994,5035332.28979275,5032080.693841692462
1657670400,2022-07-13 00:00:00,USDT/USDC,0.999,0.9995,0.999,0.9994,7059401.3917818,7053853.356687034259
1657584000,2022-07-12 00:00:00,USDT/USDC,0.9991,0.9991,0.999,0.9991,4256736.36336504,4252732.083203802764
1657497600,2022-07-11 00:00:00,USDT/USDC,0.9995,0.9995,0.999,0.999,4854640.64497433,4851184.936810257717
1657411200,2022-07-10 00:00:00,USDT/USDC,0.9994,0.9995,0.9994,0.9994,3519803.32106125,3517863.770499887441
1657324800,2022-07-09 00:00:00,USDT/USDC,0.9992,0.9996,0.9991,0.9995,3756520.88710633,3753964.917039394476
1657238400,2022-07-08 00:00:00,USDT/USDC,0.9996,1,0.9991,0.9991,5958127.51747903,5954826.802466463705
1657152000,2022-07-07 00:00:00,USDT/USDC,0.9989,1,0.9989,0.9996,6406072.84663633,6401411.499741562526
1657065600,2022-07-06 00:00:00,USDT/USDC,0.9988,0.9999,0.9987,0.9989,6507278.11130882,6500085.773454441706
1656979200,2022-07-05 00:00:00,USDT/USDC,0.9991,0.9995,0.9986,0.9989,7921277.98268577,7912961.965713253209
