https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume COMP,Volume USDT
1663459200,2022-09-18 00:00:00,COMP/USDT,54.53,54.53,53.81,54.11,58.63683454,3168.5364302904
1663372800,2022-09-17 00:00:00,COMP/USDT,53.97,56.03,53.09,54.51,3316.91840737,181136.6785717649
1663286400,2022-09-16 00:00:00,COMP/USDT,56.72,57.72,52.48,53.98,5059.58726247,281592.954145086
1663200000,2022-09-15 00:00:00,COMP/USDT,59.81,60.11,53.2,56.68,14802.36526977,835740.9410329576
1663113600,2022-09-14 00:00:00,COMP/USDT,54.45,61.99,51.64,59.84,10176.48463719,573943.1358628051
1663027200,2022-09-13 00:00:00,COMP/USDT,54.97,57.89,51.71,54.34,4968.82654839,272123.518464689
1662940800,2022-09-12 00:00:00,COMP/USDT,55.95,56.68,52.91,54.89,4139.44540037,227588.292216319
1662854400,2022-09-11 00:00:00,COMP/USDT,54.13,57.02,53.97,55.83,3138.87215458,174512.2018250871
1662768000,2022-09-10 00:00:00,COMP/USDT,52.64,54.72,52.38,54.04,2152.63849362,114923.424225729
1662681600,2022-09-09 00:00:00,COMP/USDT,48.59,53.1,48.59,52.6,3349.66361257,171544.4405239223
1662595200,2022-09-08 00:00:00,COMP/USDT,48.72,50.4,48.25,48.53,3653.79017906,179733.2290811744
1662508800,2022-09-07 00:00:00,COMP/USDT,44.74,49.05,43.88,48.68,2924.05403272,136568.4494534056
1662422400,2022-09-06 00:00:00,COMP/USDT,48.92,50.59,44.51,44.63,3913.24031392,189237.7225967569
1662336000,2022-09-05 00:00:00,COMP/USDT,48.59,49.16,46.58,48.77,2029.57309365,97186.4909875137
1662249600,2022-09-04 00:00:00,COMP/USDT,47.84,48.94,47.53,48.57,2194.75969005,105953.868974967
1662163200,2022-09-03 00:00:00,COMP/USDT,46.11,48.52,45.81,47.79,5287.20702003,248473.9701561361
1662076800,2022-09-02 00:00:00,COMP/USDT,48.18,48.77,45.42,46.18,3808.16622023,179660.719547537
1661990400,2022-09-01 00:00:00,COMP/USDT,46.43,48.8,45.08,48.19,7616.96607307,363283.0046011171
1661904000,2022-08-31 00:00:00,COMP/USDT,47.67,49.26,46.19,46.48,2195.77319763,105179.3215906324
1661817600,2022-08-30 00:00:00,COMP/USDT,49.63,52.45,46.07,47.51,16778.65806469,846362.3875939355
1661731200,2022-08-29 00:00:00,COMP/USDT,43.94,49.97,43.39,49.61,6478.70296336,300009.3406822451
1661644800,2022-08-28 00:00:00,COMP/USDT,46.22,47.71,43.73,43.89,2333.52380918,107533.3845474323
1661558400,2022-08-27 00:00:00,COMP/USDT,46.28,46.91,45.27,46.25,2022.69478453,93582.3380551129
1661472000,2022-08-26 00:00:00,COMP/USDT,51.82,54.54,45.68,46.23,6269.55265681,316627.2609813829
1661385600,2022-08-25 00:00:00,COMP/USDT,50.66,52.73,50.09,51.8,4797.31529661,247289.5233133622
1661299200,2022-08-24 00:00:00,COMP/USDT,50.79,52.38,49.58,50.58,1492.91783138,76095.1637777664
1661212800,2022-08-23 00:00:00,COMP/USDT,50.89,52.46,48.85,50.86,3246.76426384,164716.4609775956
1661126400,2022-08-22 00:00:00,COMP/USDT,50.94,52.7,47.86,50.86,4904.82624561,248790.5112070545
1661040000,2022-08-21 00:00:00,COMP/USDT,49.59,51.75,49.26,50.91,1335.98525982,67490.2114674093
1660953600,2022-08-20 00:00:00,COMP/USDT,50.06,52.23,48.12,49.52,1754.29033933,88299.3354774026
1660867200,2022-08-19 00:00:00,COMP/USDT,56.02,56.25,49.56,49.95,5439.34101629,286278.6677110868
1660780800,2022-08-18 00:00:00,COMP/USDT,58.56,59.96,54.84,55.96,2983.06009984,172237.0822670661
1660694400,2022-08-17 00:00:00,COMP/USDT,61.24,63.42,57.88,58.63,3537.77464619,212064.3306491811
1660608000,2022-08-16 00:00:00,COMP/USDT,61.46,62.75,59.8,61.16,1876.21392297,115076.4171699802
1660521600,2022-08-15 00:00:00,COMP/USDT,62.98,64.49,60.5,61.39,4461.66280984,279441.4018082398
1660435200,2022-08-14 00:00:00,COMP/USDT,65.55,68.37,62.24,62.89,2443.64342665,158416.5436355504
