https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XTZ,Volume USDT
1663462800,2022-09-18 01:00:00,XTZ/USDT,1.53737,1.53832,1.52808,1.52994,3872.42782378,5939.3389621255256
1663459200,2022-09-18 00:00:00,XTZ/USDT,1.5494,1.55018,1.535,1.53672,11831.86363127,18262.3592314585006
1663455600,2022-09-17 23:00:00,XTZ/USDT,1.54276,1.55233,1.54276,1.55112,1592.175,2464.109630375
1663452000,2022-09-17 22:00:00,XTZ/USDT,1.5396,1.54285,1.53727,1.54208,496.8662,765.621193428
1663448400,2022-09-17 21:00:00,XTZ/USDT,1.5435,1.5435,1.53774,1.53952,3184.75866153,4914.4741885872486
1663444800,2022-09-17 20:00:00,XTZ/USDT,1.54009,1.54274,1.53864,1.54274,2820.18787253,4342.0107440762402
1663441200,2022-09-17 19:00:00,XTZ/USDT,1.54634,1.54634,1.53865,1.54021,1406.46946863,2167.2231730322976
1663437600,2022-09-17 18:00:00,XTZ/USDT,1.54663,1.54794,1.54359,1.546,2361.3758572,3651.177610976961
1663434000,2022-09-17 17:00:00,XTZ/USDT,1.5476,1.54975,1.54232,1.54856,1776.53635794,2745.0330044952167
1663430400,2022-09-17 16:00:00,XTZ/USDT,1.54559,1.55175,1.54134,1.54749,3095.44810841,4788.1081974082463
1663426800,2022-09-17 15:00:00,XTZ/USDT,1.54029,1.54593,1.53605,1.54539,1336.85724637,2056.387046042636
1663423200,2022-09-17 14:00:00,XTZ/USDT,1.53432,1.56428,1.53348,1.53961,8830.61144546,13631.9011057292345
1663419600,2022-09-17 13:00:00,XTZ/USDT,1.5323,1.53656,1.52949,1.53432,358.69059745,549.3234740810824
1663416000,2022-09-17 12:00:00,XTZ/USDT,1.5303,1.5335,1.52884,1.53229,509.06148648,779.2471784610352
1663412400,2022-09-17 11:00:00,XTZ/USDT,1.53022,1.5357,1.52922,1.52922,2304.92300048,3533.6636443281374
