https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume BTC,tradecount
1663545600000,2022-09-19 00:00:00,ETH/BTC,0.06872300,0.06888400,0.06866500,0.06871500,1062.14010000,73.03893514,4189
1663459200000,2022-09-18 00:00:00,ETH/BTC,0.07303200,0.07305700,0.06811700,0.06872100,107924.25440000,7630.77843079,326972
1663372800000,2022-09-17 00:00:00,ETH/BTC,0.07241300,0.07347300,0.07132800,0.07302800,94352.78890000,6826.53843184,271606
1663286400000,2022-09-16 00:00:00,ETH/BTC,0.07474700,0.07496300,0.07227200,0.07241300,113518.51230000,8369.05590960,446180
1663200000000,2022-09-15 00:00:00,ETH/BTC,0.08099300,0.08170000,0.07427300,0.07474800,211264.85230000,16529.69970279,746148
1663113600000,2022-09-14 00:00:00,ETH/BTC,0.07804600,0.08103800,0.07742100,0.08099300,136249.40040000,10790.52468928,408482
1663027200000,2022-09-13 00:00:00,ETH/BTC,0.07664300,0.07989600,0.07511300,0.07804700,187706.97740000,14446.71453199,492373
1662940800000,2022-09-12 00:00:00,ETH/BTC,0.08091000,0.08093600,0.07634200,0.07664300,131186.06900000,10280.70370332,384817
1662854400000,2022-09-11 00:00:00,ETH/BTC,0.08196300,0.08227000,0.07979600,0.08090900,80780.87480000,6589.30191292,257093
1662768000000,2022-09-10 00:00:00,ETH/BTC,0.08044100,0.08218800,0.08023500,0.08196300,70534.75330000,5711.33398984,260793
1662681600000,2022-09-09 00:00:00,ETH/BTC,0.08464700,0.08495400,0.08009300,0.08044200,124886.29320000,10228.63173181,351407
1662595200000,2022-09-08 00:00:00,ETH/BTC,0.08449200,0.08553600,0.08370100,0.08464700,84501.01120000,7151.46923115,260657
1662508800000,2022-09-07 00:00:00,ETH/BTC,0.08296000,0.08562100,0.08021500,0.08449200,107197.12040000,8823.73042589,302879
1662422400000,2022-09-06 00:00:00,ETH/BTC,0.08171800,0.08481000,0.08160600,0.08296000,130800.48040000,10907.28002216,328930
1662336000000,2022-09-05 00:00:00,ETH/BTC,0.07894800,0.08203100,0.07894100,0.08171800,99437.90550000,7947.07497962,229605
1662249600000,2022-09-04 00:00:00,ETH/BTC,0.07853000,0.07940000,0.07837000,0.07895400,39759.49800000,3133.12117426,136637
1662163200000,2022-09-03 00:00:00,ETH/BTC,0.07895700,0.07895700,0.07765700,0.07853000,44669.40340000,3503.43071632,151723
1662076800000,2022-09-02 00:00:00,ETH/BTC,0.07877600,0.08076600,0.07807700,0.07895800,91302.55720000,7254.02047604,251759
1661990400000,2022-09-01 00:00:00,ETH/BTC,0.07751700,0.07923100,0.07680800,0.07877600,109116.74150000,8505.56397076,296102
1661904000000,2022-08-31 00:00:00,ETH/BTC,0.07696100,0.07924700,0.07688600,0.07751700,117057.32320000,9139.95601967,359925
1661817600000,2022-08-30 00:00:00,ETH/BTC,0.07649700,0.07827500,0.07528800,0.07696100,137006.86470000,10557.31944756,362723
1661731200000,2022-08-29 00:00:00,ETH/BTC,0.07295500,0.07688300,0.07273700,0.07650000,106529.96290000,7932.20322600,274228
1661644800000,2022-08-28 00:00:00,ETH/BTC,0.07442100,0.07501400,0.07286300,0.07295600,81505.04410000,6042.77149487,236064
1661558400000,2022-08-27 00:00:00,ETH/BTC,0.07451100,0.07476800,0.07297100,0.07442000,124870.81120000,9245.24269519,312570
1661472000000,2022-08-26 00:00:00,ETH/BTC,0.07863500,0.07867500,0.07395500,0.07451500,137397.03150000,10547.70833273,347952
1661385600000,2022-08-25 00:00:00,ETH/BTC,0.07752200,0.07938200,0.07748000,0.07863500,74973.86900000,5889.26764109,206818
1661299200000,2022-08-24 00:00:00,ETH/BTC,0.07736000,0.07802700,0.07575000,0.07752800,80951.42520000,6222.64203197,235193
1661212800000,2022-08-23 00:00:00,ETH/BTC,0.07591500,0.07747600,0.07457500,0.07735900,91071.41580000,6916.95742186,269790
1661126400000,2022-08-22 00:00:00,ETH/BTC,0.07520400,0.07604300,0.07312600,0.07591600,113673.77540000,8434.87151750,289712
1661040000000,2022-08-21 00:00:00,ETH/BTC,0.07454600,0.07606000,0.07418400,0.07520400,106949.10420000,8039.90911689,259554
1660953600000,2022-08-20 00:00:00,ETH/BTC,0.07723300,0.07771800,0.07333700,0.07454600,136907.42310000,10401.42365808,285838
1660867200000,2022-08-19 00:00:00,ETH/BTC,0.07960700,0.08097000,0.07699900,0.07723500,155758.73320000,12339.64615324,351637
1660780800000,2022-08-18 00:00:00,ETH/BTC,0.07858500,0.08030100,0.07821500,0.07960700,83548.18050000,6632.49571568,209450
1660694400000,2022-08-17 00:00:00,ETH/BTC,0.07867400,0.08008300,0.07791900,0.07858400,108168.44170000,8534.05725291,258821
1660608000000,2022-08-16 00:00:00,ETH/BTC,0.07882500,0.07952400,0.07792100,0.07867400,86018.41540000,6766.30824440,213445
1660521600000,2022-08-15 00:00:00,ETH/BTC,0.07961900,0.08061600,0.07826800,0.07882800,100364.94000000,7949.52969589,269370
1660435200000,2022-08-14 00:00:00,ETH/BTC,0.08115400,0.08142400,0.07892800,0.07961900,70754.04040000,5692.60625758,227161
1660348800000,2022-08-13 00:00:00,ETH/BTC,0.08025800,0.08165300,0.07974300,0.08115300,89128.74540000,7210.46862452,239906
1660262400000,2022-08-12 00:00:00,ETH/BTC,0.07855300,0.08050000,0.07815200,0.08025800,94752.78760000,7502.98680064,224476
1660176000000,2022-08-11 00:00:00,ETH/BTC,0.07739400,0.07874500,0.07665700,0.07855400,108035.47250000,8381.32889999,299188
1660089600000,2022-08-10 00:00:00,ETH/BTC,0.07355400,0.07800000,0.07292700,0.07739300,137518.32640000,10381.24970465,363318
1660003200000,2022-08-09 00:00:00,ETH/BTC,0.07463300,0.07493300,0.07278600,0.07355400,83690.26390000,6173.52007506,237226
1659916800000,2022-08-08 00:00:00,ETH/BTC,0.07336600,0.07497600,0.07253400,0.07463600,83645.75770000,6179.36363743,246177
1659830400000,2022-08-07 00:00:00,ETH/BTC,0.07365000,0.07410000,0.07293600,0.07336600,57666.85560000,4236.81253006,199488
1659744000000,2022-08-06 00:00:00,ETH/BTC,0.07450900,0.07507900,0.07332200,0.07365100,78892.86430000,5852.80450822,216056
1659657600000,2022-08-05 00:00:00,ETH/BTC,0.07108100,0.07469000,0.07098400,0.07450800,115451.22670000,8389.34215426,330626
1659571200000,2022-08-04 00:00:00,ETH/BTC,0.07091800,0.07183500,0.07008300,0.07108000,110873.81750000,7860.22103827,318582
1659484800000,2022-08-03 00:00:00,ETH/BTC,0.07095500,0.07138000,0.07000100,0.07091800,108652.31160000,7696.12356363,339423
1659398400000,2022-08-02 00:00:00,ETH/BTC,0.07006700,0.07185100,0.06879000,0.07095500,103261.89390000,7240.68387692,324878
1659312000000,2022-08-01 00:00:00,ETH/BTC,0.07204900,0.07266700,0.06984100,0.07006700,73515.84870000,5253.04643705,224421
1659225600000,2022-07-31 00:00:00,ETH/BTC,0.07177500,0.07280600,0.07120400,0.07204900,62539.69440000,4497.61748669,221539
1659139200000,2022-07-30 00:00:00,ETH/BTC,0.07241700,0.07258500,0.06983400,0.07177500,74543.46200000,5303.67987377,247939
1659052800000,2022-07-29 00:00:00,ETH/BTC,0.07232200,0.07321800,0.07054200,0.07241700,95139.38950000,6824.14152679,301825
1658966400000,2022-07-28 00:00:00,ETH/BTC,0.07126500,0.07390200,0.07015000,0.07232500,110907.97510000,7951.73532912,332499
1658880000000,2022-07-27 00:00:00,ETH/BTC,0.06817800,0.07166400,0.06752500,0.07126500,117305.66340000,8148.97630415,315995
1658793600000,2022-07-26 00:00:00,ETH/BTC,0.06760100,0.06831100,0.06513600,0.06817700,117186.22460000,7810.59756029,264998
1658707200000,2022-07-25 00:00:00,ETH/BTC,0.07076700,0.07101200,0.06745500,0.06760400,130600.73930000,9031.53633849,299871
1658620800000,2022-07-24 00:00:00,ETH/BTC,0.06898200,0.07233100,0.06898100,0.07076600,113567.13320000,8020.08028676,301730
1658534400000,2022-07-23 00:00:00,ETH/BTC,0.06768000,0.06954000,0.06749300,0.06898100,79520.79020000,5451.18811838,219652
1658448000000,2022-07-22 00:00:00,ETH/BTC,0.06804800,0.07028500,0.06730100,0.06768000,119095.63360000,8176.56982777,272688
