https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PLN,Volume ETH
1663549200000,2022-09-19 01:00:00,ETH/PLN,6346.8585,6346.8585,6346.8585,6346.8585,290.05143345,0.0457
1663545600000,2022-09-19 00:00:00,ETH/PLN,6327.154,6361.4962,6318.7143,6353.5963,4117.1304024,0.648
1663542000000,2022-09-18 23:00:00,ETH/PLN,6349.8804,6378.8039,6325.3923,6332.9781,3060.7283157300003,0.4833
1663538400000,2022-09-18 22:00:00,ETH/PLN,6330.6094,6356.6358,6326.0681,6341.0699,3462.8582723900004,0.5461
1663534800000,2022-09-18 21:00:00,ETH/PLN,6497.158,6497.158,6316.088,6344.8293,6119.024312111575,0.96441118
1663531200000,2022-09-18 20:00:00,ETH/PLN,6516.5827,6538.6796,6478.5585,6478.5585,4605.60723765,0.7109
1663527600000,2022-09-18 19:00:00,ETH/PLN,6500.0665,6551.7741,6470.7349,6533.3948,5248.92938232,0.8034
1663524000000,2022-09-18 18:00:00,ETH/PLN,6546.9642,6551.5131,6473.8928,6512.8733,4824.73654064,0.7408
1663520400000,2022-09-18 17:00:00,ETH/PLN,6591.2588,6611.6624,6465.9213,6465.9213,4324.40816544,0.6688
1663516800000,2022-09-18 16:00:00,ETH/PLN,6689.302,6703.0501,6582.1666,6589.2017,5733.92331934,0.8702
1663513200000,2022-09-18 15:00:00,ETH/PLN,6712.7235,6747.8601,6684.6781,6692.1294,5404.56370344,0.8076
1663509600000,2022-09-18 14:00:00,ETH/PLN,6757.3975,6779.6832,6693.2289,6694.9493,4186.35179729,0.6253
1663506000000,2022-09-18 13:00:00,ETH/PLN,6803.8046,6803.8046,6754.2969,6792.887,5549.109390299999,0.8169
1663502400000,2022-09-18 12:00:00,ETH/PLN,6791.4474,6804.6052,6730.5959,6804.6052,4673.40285136,0.6868
1663498800000,2022-09-18 11:00:00,ETH/PLN,6767.0782,6799.1093,6757.6725,6786.9042,5510.28751998,0.8119
1663495200000,2022-09-18 10:00:00,ETH/PLN,6710.6513,6793.7632,6695.1337,6750.8686,6359.99330806,0.9421
1663491600000,2022-09-18 09:00:00,ETH/PLN,6849.8431,6895.8599,6744.3772,6775.702,4540.3979102,0.6701
1663488000000,2022-09-18 08:00:00,ETH/PLN,6877.728,6905.6669,6845.261,6894.0681,4523.19808041,0.6561
1663484400000,2022-09-18 07:00:00,ETH/PLN,6853.4347,6891.3952,6853.4347,6857.5557,2974.1219070899997,0.4337
1663480800000,2022-09-18 06:00:00,ETH/PLN,6901.4328,6901.4328,6849.1662,6890.459,5323.5686233999995,0.7726
1663477200000,2022-09-18 05:00:00,ETH/PLN,6874.6879,6890.1786,6847.0595,6871.189,3610.8098195,0.5255
1663473600000,2022-09-18 04:00:00,ETH/PLN,6841.5432,6881.9671,6831.806,6841.3772,4655.5571846,0.6805
1663470000000,2022-09-18 03:00:00,ETH/PLN,6868.6549,6870.9059,6824.0842,6827.8415,4458.580499500001,0.653
1663466400000,2022-09-18 02:00:00,ETH/PLN,6874.4879,6877.1444,6838.9692,6873.8108,4964.953540840001,0.7223
1663462800000,2022-09-18 01:00:00,ETH/PLN,6892.8478,6892.8478,6849.9851,6875.7404,5862.94383908,0.8527
1663459200000,2022-09-18 00:00:00,ETH/PLN,6923.6329,6923.6329,6845.0786,6889.4717,3718.93682366,0.5398
1663455600000,2022-09-17 23:00:00,ETH/PLN,6898.5349,6921.7869,6898.5349,6916.3392,5930.069230080001,0.8574
1663452000000,2022-09-17 22:00:00,ETH/PLN,6841.661,6914.3277,6841.661,6899.1568,3990.47229312,0.5784
1663448400000,2022-09-17 21:00:00,ETH/PLN,6887.8926,6900.5798,6853.2321,6853.2321,4640.323454910001,0.6771
1663444800000,2022-09-17 20:00:00,ETH/PLN,6914.5437,6917.6775,6886.0501,6893.0521,5694.350339809999,0.8261
1663441200000,2022-09-17 19:00:00,ETH/PLN,6922.7555,6924.4832,6884.1994,6900.6751,6723.327749930001,0.9743
1663437600000,2022-09-17 18:00:00,ETH/PLN,6930.9443,6933.8895,6904.3108,6904.3108,5963.94366904,0.8638
1663434000000,2022-09-17 17:00:00,ETH/PLN,6925.2741,6935.0426,6911.2287,6920.0889,4352.7359181,0.629
