https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KOK,Volume USDT
1663459200,2022-09-18 00:00:00,KOK/USDT,0.2679,0.2679,0.2662,0.2663,11015.41206596,2941.110616855734
1663372800,2022-09-17 00:00:00,KOK/USDT,0.2726,0.2738,0.2602,0.2679,6062427.46210007,1635321.448803696159
1663286400,2022-09-16 00:00:00,KOK/USDT,0.2834,0.2834,0.2691,0.2717,7456788.10088742,2024622.325859049632
1663200000,2022-09-15 00:00:00,KOK/USDT,0.2887,0.292,0.2814,0.2834,4481045.2971879,1285950.604340321602
1663113600,2022-09-14 00:00:00,KOK/USDT,0.2843,0.29,0.2728,0.2887,3496809.43423613,985256.98175077989
1663027200,2022-09-13 00:00:00,KOK/USDT,0.2973,0.2984,0.2832,0.2848,3479918.3072455,1015284.879610059322
1662940800,2022-09-12 00:00:00,KOK/USDT,0.2986,0.301,0.2957,0.2973,3532943.4685875,1056146.00456783505
1662854400,2022-09-11 00:00:00,KOK/USDT,0.3043,0.3046,0.2952,0.2986,3698241.11243379,1117184.95077386572
1662768000,2022-09-10 00:00:00,KOK/USDT,0.3063,0.3064,0.2991,0.3049,4210345.65086159,1274509.187066323843
1662681600,2022-09-09 00:00:00,KOK/USDT,0.3062,0.3093,0.3005,0.3059,3638866.44617145,1109467.528593346514
1662595200,2022-09-08 00:00:00,KOK/USDT,0.3097,0.3102,0.2994,0.3062,6017972.10488367,1840091.610668246278
1662508800,2022-09-07 00:00:00,KOK/USDT,0.3195,0.3195,0.291,0.3094,3451372.57522368,1068487.278167216995
1662422400,2022-09-06 00:00:00,KOK/USDT,0.3349,0.3358,0.3116,0.3199,2546733.354417,821922.875173374277
1662336000,2022-09-05 00:00:00,KOK/USDT,0.3395,0.3404,0.3087,0.3365,6042462.40554452,1983774.100429094241
1662249600,2022-09-04 00:00:00,KOK/USDT,0.3574,0.3574,0.3316,0.3389,6213889.35425808,2181444.98743451904
1662163200,2022-09-03 00:00:00,KOK/USDT,0.3593,0.3645,0.3501,0.358,3728408.85329018,1326618.644020149438
1662076800,2022-09-02 00:00:00,KOK/USDT,0.3708,0.38,0.3466,0.3598,5191292.29342616,1864258.711316531104
1661990400,2022-09-01 00:00:00,KOK/USDT,0.3574,0.3811,0.3461,0.3702,7327624.37942397,2619783.606927198029
1661904000,2022-08-31 00:00:00,KOK/USDT,0.3273,0.36,0.3201,0.3572,6787056.30721496,2248497.342155707919
1661817600,2022-08-30 00:00:00,KOK/USDT,0.3054,0.34,0.3017,0.3273,7302242.84668064,2258221.56641622928
1661731200,2022-08-29 00:00:00,KOK/USDT,0.3051,0.3142,0.2973,0.3055,6969861.08745559,2104080.871148725274
1661644800,2022-08-28 00:00:00,KOK/USDT,0.3034,0.31,0.2981,0.3046,6495970.89536644,1981775.714215125875
