https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GHST,Volume USDT
1663459200,2022-09-18 00:00:00,GHST/USDT,1.2066,1.2084,1.2034,1.2034,241.3188,290.7903406
1663455600,2022-09-17 23:00:00,GHST/USDT,1.2076,1.2084,1.2047,1.2047,2.075,2.50408779
1663452000,2022-09-17 22:00:00,GHST/USDT,1.2022,1.2048,1.1997,1.1997,518.1872,623.24696161
1663448400,2022-09-17 21:00:00,GHST/USDT,1.1991,1.2067,1.1973,1.2067,9.4066,11.31329932
1663444800,2022-09-17 20:00:00,GHST/USDT,1.2031,1.2037,1.1991,1.2037,0.6937,0.83306034
1663441200,2022-09-17 19:00:00,GHST/USDT,1.1991,1.2062,1.1991,1.2046,35.0432,42.03945426
1663437600,2022-09-17 18:00:00,GHST/USDT,1.202,1.2074,1.2016,1.2046,341.299,411.44480659
1663434000,2022-09-17 17:00:00,GHST/USDT,1.2034,1.2084,1.1959,1.1959,304.0351,366.53793234
1663430400,2022-09-17 16:00:00,GHST/USDT,1.2042,1.2075,1.2041,1.207,292.9945,352.95865658
1663426800,2022-09-17 15:00:00,GHST/USDT,1.2059,1.208,1.2057,1.208,2.3187,2.79947387
1663423200,2022-09-17 14:00:00,GHST/USDT,1.2077,1.2077,1.2032,1.2062,590.5678,710.80798345
1663419600,2022-09-17 13:00:00,GHST/USDT,1.206,1.2075,1.2009,1.2051,258.448,311.0280973
1663416000,2022-09-17 12:00:00,GHST/USDT,1.1991,1.1991,1.1991,1.1991,0,0
1663412400,2022-09-17 11:00:00,GHST/USDT,1.2071,1.2071,1.1991,1.1991,0.3464,0.41662984
1663408800,2022-09-17 10:00:00,GHST/USDT,1.2063,1.2071,1.1991,1.1991,13.7261,16.56279799
1663405200,2022-09-17 09:00:00,GHST/USDT,1.2032,1.2063,1.1944,1.2063,8.8829,10.67021763
1663401600,2022-09-17 08:00:00,GHST/USDT,1.1973,1.2018,1.1909,1.2018,1229.7317,1471.23590921
1663398000,2022-09-17 07:00:00,GHST/USDT,1.1973,1.2008,1.1973,1.1973,115.2163,137.94895899
1663394400,2022-09-17 06:00:00,GHST/USDT,1.2031,1.2077,1.1973,1.1973,180.9625,217.37589501
1663390800,2022-09-17 05:00:00,GHST/USDT,1.2034,1.2034,1.2005,1.2005,1.2352,1.4854676
1663387200,2022-09-17 04:00:00,GHST/USDT,1.2057,1.2108,1.1966,1.2104,140.9608,169.89348144
1663383600,2022-09-17 03:00:00,GHST/USDT,1.2076,1.2108,1.2052,1.2108,548.1978,662.0807445
1663380000,2022-09-17 02:00:00,GHST/USDT,1.2119,1.2119,1.2036,1.2083,127.9696,154.45763365
1663376400,2022-09-17 01:00:00,GHST/USDT,1.2075,1.21,1.2039,1.2082,683.5332,824.99036789
1663372800,2022-09-17 00:00:00,GHST/USDT,1.2031,1.2154,1.2011,1.2075,293.4626,354.55665323
1663369200,2022-09-16 23:00:00,GHST/USDT,1.2063,1.2162,1.2007,1.2014,620.9282,751.75285004
1663365600,2022-09-16 22:00:00,GHST/USDT,1.2009,1.2049,1.1997,1.2016,345.2951,415.16786723
1663362000,2022-09-16 21:00:00,GHST/USDT,1.199,1.2063,1.199,1.2016,157.1503,188.88262879
1663358400,2022-09-16 20:00:00,GHST/USDT,1.1991,1.1991,1.1938,1.199,3.4106,4.0802317
1663354800,2022-09-16 19:00:00,GHST/USDT,1.1948,1.1991,1.1938,1.1991,3.1507,3.76386172
