https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UMA,Volume EUR
1663545600,2022-09-19 00:00:00,UMA/EUR,2.40,2.40,2.40,2.40,0.00000000,0.0
1663542000,2022-09-18 23:00:00,UMA/EUR,2.40,2.40,2.40,2.40,0.00000000,0.0
1663538400,2022-09-18 22:00:00,UMA/EUR,2.42,2.42,2.40,2.40,34.11201813,81.868843512
1663534800,2022-09-18 21:00:00,UMA/EUR,2.45,2.46,2.43,2.43,49.88273157,121.2150377151
1663531200,2022-09-18 20:00:00,UMA/EUR,2.50,2.50,2.49,2.49,91.99030234,229.05585282660002
1663527600,2022-09-18 19:00:00,UMA/EUR,2.50,2.50,2.50,2.50,0.00000000,0.0
1663524000,2022-09-18 18:00:00,UMA/EUR,2.52,2.52,2.50,2.50,23.18880597,57.972014925
1663520400,2022-09-18 17:00:00,UMA/EUR,2.62,2.62,2.62,2.62,0.00000000,0.0
1663516800,2022-09-18 16:00:00,UMA/EUR,2.62,2.62,2.62,2.62,0.00000000,0.0
1663513200,2022-09-18 15:00:00,UMA/EUR,2.62,2.62,2.62,2.62,0.00000000,0.0
1663509600,2022-09-18 14:00:00,UMA/EUR,2.62,2.62,2.62,2.62,0.00000000,0.0
1663506000,2022-09-18 13:00:00,UMA/EUR,2.62,2.62,2.62,2.62,0.00000000,0.0
1663502400,2022-09-18 12:00:00,UMA/EUR,2.62,2.62,2.62,2.62,0.00000000,0.0
1663498800,2022-09-18 11:00:00,UMA/EUR,2.62,2.62,2.62,2.62,0.00000000,0.0
1663495200,2022-09-18 10:00:00,UMA/EUR,2.62,2.62,2.62,2.62,0.00000000,0.0
1663491600,2022-09-18 09:00:00,UMA/EUR,2.62,2.62,2.62,2.62,0.00000000,0.0
1663488000,2022-09-18 08:00:00,UMA/EUR,2.62,2.62,2.62,2.62,0.00000000,0.0
1663484400,2022-09-18 07:00:00,UMA/EUR,2.62,2.62,2.62,2.62,0.00000000,0.0
1663480800,2022-09-18 06:00:00,UMA/EUR,2.62,2.62,2.62,2.62,0.00000000,0.0
1663477200,2022-09-18 05:00:00,UMA/EUR,2.62,2.62,2.62,2.62,0.00000000,0.0
1663473600,2022-09-18 04:00:00,UMA/EUR,2.62,2.62,2.62,2.62,0.00000000,0.0
1663470000,2022-09-18 03:00:00,UMA/EUR,2.62,2.62,2.62,2.62,0.00000000,0.0
1663466400,2022-09-18 02:00:00,UMA/EUR,2.62,2.62,2.62,2.62,0.00000000,0.0
1663462800,2022-09-18 01:00:00,UMA/EUR,2.62,2.62,2.62,2.62,0.00000000,0.0
1663459200,2022-09-18 00:00:00,UMA/EUR,2.62,2.62,2.62,2.62,73.38571650,192.27057723000001
1663455600,2022-09-17 23:00:00,UMA/EUR,2.59,2.59,2.59,2.59,0.00000000,0.0
1663452000,2022-09-17 22:00:00,UMA/EUR,2.59,2.59,2.59,2.59,258.56362057,669.6797772763
1663448400,2022-09-17 21:00:00,UMA/EUR,2.59,2.59,2.59,2.59,0.00000000,0.0
1663444800,2022-09-17 20:00:00,UMA/EUR,2.59,2.59,2.59,2.59,0.00000000,0.0
1663441200,2022-09-17 19:00:00,UMA/EUR,2.59,2.59,2.59,2.59,0.00000000,0.0
1663437600,2022-09-17 18:00:00,UMA/EUR,2.59,2.59,2.59,2.59,151.87573744,393.35815996959997
1663434000,2022-09-17 17:00:00,UMA/EUR,2.60,2.60,2.60,2.60,245.51720323,638.344728398
1663430400,2022-09-17 16:00:00,UMA/EUR,2.58,2.58,2.57,2.58,476.39888715,1229.109128847
1663426800,2022-09-17 15:00:00,UMA/EUR,2.55,2.55,2.55,2.55,0.00000000,0.0
1663423200,2022-09-17 14:00:00,UMA/EUR,2.55,2.55,2.55,2.55,0.00000000,0.0
1663419600,2022-09-17 13:00:00,UMA/EUR,2.55,2.55,2.55,2.55,0.00000000,0.0
1663416000,2022-09-17 12:00:00,UMA/EUR,2.55,2.55,2.55,2.55,0.00000000,0.0
1663412400,2022-09-17 11:00:00,UMA/EUR,2.55,2.55,2.55,2.55,0.00000000,0.0
1663408800,2022-09-17 10:00:00,UMA/EUR,2.55,2.55,2.55,2.55,0.00000000,0.0
1663405200,2022-09-17 09:00:00,UMA/EUR,2.55,2.55,2.55,2.55,0.00000000,0.0
1663401600,2022-09-17 08:00:00,UMA/EUR,2.55,2.55,2.55,2.55,274.20063736,699.2116252679999
1663398000,2022-09-17 07:00:00,UMA/EUR,2.57,2.57,2.57,2.57,0.00000000,0.0
1663394400,2022-09-17 06:00:00,UMA/EUR,2.57,2.57,2.57,2.57,0.00000000,0.0
1663390800,2022-09-17 05:00:00,UMA/EUR,2.57,2.57,2.57,2.57,0.00000000,0.0
1663387200,2022-09-17 04:00:00,UMA/EUR,2.57,2.57,2.57,2.57,0.00000000,0.0
1663383600,2022-09-17 03:00:00,UMA/EUR,2.57,2.57,2.57,2.57,0.00000000,0.0
1663380000,2022-09-17 02:00:00,UMA/EUR,2.57,2.57,2.57,2.57,261.65270089,672.4474412873
1663376400,2022-09-17 01:00:00,UMA/EUR,2.57,2.57,2.57,2.57,7.96812749,20.478087649299997
1663372800,2022-09-17 00:00:00,UMA/EUR,2.51,2.51,2.51,2.51,0.00000000,0.0
1663369200,2022-09-16 23:00:00,UMA/EUR,2.51,2.51,2.51,2.51,0.00000000,0.0
1663365600,2022-09-16 22:00:00,UMA/EUR,2.51,2.51,2.51,2.51,0.00000000,0.0
1663362000,2022-09-16 21:00:00,UMA/EUR,2.51,2.51,2.51,2.51,0.00000000,0.0
1663358400,2022-09-16 20:00:00,UMA/EUR,2.51,2.51,2.51,2.51,0.00000000,0.0
1663354800,2022-09-16 19:00:00,UMA/EUR,2.51,2.51,2.51,2.51,0.00000000,0.0
1663351200,2022-09-16 18:00:00,UMA/EUR,2.51,2.51,2.51,2.51,224.96812749,564.6699999998999
1663347600,2022-09-16 17:00:00,UMA/EUR,2.55,2.55,2.55,2.55,0.00000000,0.0
1663344000,2022-09-16 16:00:00,UMA/EUR,2.55,2.55,2.55,2.55,0.00000000,0.0
1663340400,2022-09-16 15:00:00,UMA/EUR,2.57,2.57,2.55,2.55,506.33535387,1291.1551523685
1663336800,2022-09-16 14:00:00,UMA/EUR,2.61,2.61,2.61,2.61,0.00000000,0.0
1663333200,2022-09-16 13:00:00,UMA/EUR,2.61,2.61,2.61,2.61,0.00000000,0.0
