https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume BTC,tradecount
1663545600000,2022-09-19 00:00:00,ADA/BTC,0.00002305,0.00002306,0.00002291,0.00002291,181218.90000000,4.16491104,411
1663459200000,2022-09-18 00:00:00,ADA/BTC,0.00002416,0.00002444,0.00002269,0.00002305,19603448.20000000,464.67350713,36540
1663372800000,2022-09-17 00:00:00,ADA/BTC,0.00002396,0.00002440,0.00002369,0.00002416,17154912.10000000,412.61007562,30555
1663286400000,2022-09-16 00:00:00,ADA/BTC,0.00002366,0.00002403,0.00002322,0.00002397,17298763.70000000,407.19999283,31101
1663200000000,2022-09-15 00:00:00,ADA/BTC,0.00002377,0.00002382,0.00002323,0.00002366,17685210.80000000,416.89678898,34838
1663113600000,2022-09-14 00:00:00,ADA/BTC,0.00002299,0.00002421,0.00002294,0.00002378,20553063.90000000,485.53491020,39975
1663027200000,2022-09-13 00:00:00,ADA/BTC,0.00002238,0.00002340,0.00002186,0.00002298,29601548.30000000,668.02280814,56148
1662940800000,2022-09-12 00:00:00,ADA/BTC,0.00002336,0.00002343,0.00002237,0.00002238,24839641.60000000,570.95317535,46060
1662854400000,2022-09-11 00:00:00,ADA/BTC,0.00002366,0.00002408,0.00002321,0.00002335,20935652.10000000,496.09412500,34773
1662768000000,2022-09-10 00:00:00,ADA/BTC,0.00002351,0.00002464,0.00002330,0.00002365,23556683.10000000,566.22394154,50614
1662681600000,2022-09-09 00:00:00,ADA/BTC,0.00002480,0.00002517,0.00002294,0.00002352,24287072.00000000,576.75906934,47368
1662595200000,2022-09-08 00:00:00,ADA/BTC,0.00002481,0.00002492,0.00002425,0.00002480,12209068.30000000,300.14826162,26714
1662508800000,2022-09-07 00:00:00,ADA/BTC,0.00002462,0.00002501,0.00002424,0.00002482,13894759.10000000,342.31177338,31422
1662422400000,2022-09-06 00:00:00,ADA/BTC,0.00002519,0.00002590,0.00002436,0.00002461,24633927.80000000,616.72484866,52968
