https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UST,Volume USDT
1653523200000.0,2022-05-26 00:00:00,UST/USDT,0.0946,0.101,0.0861,0.0917,5289704.07742639,485065.8639
1653519600000.0,2022-05-25 23:00:00,UST/USDT,0.0921,0.0966,0.0889,0.0946,4319648.134249471,408638.7135
1653516000000.0,2022-05-25 22:00:00,UST/USDT,0.0927,0.0952,0.089,0.0921,5739264.453854505,528586.2562
1653512400000.0,2022-05-25 21:00:00,UST/USDT,0.0894,0.1054,0.0893,0.0927,16387914.819848975,1519159.7038
1653508800000.0,2022-05-25 20:00:00,UST/USDT,0.0892,0.0894,0.0822,0.0894,2164666.205816555,193521.1588
1653505200000.0,2022-05-25 19:00:00,UST/USDT,0.0934,0.0934,0.0877,0.0892,2683931.965246637,239406.7313
1653501600000.0,2022-05-25 18:00:00,UST/USDT,0.093,0.0965,0.0902,0.0934,684389.9453961457,63922.0209
1653498000000.0,2022-05-25 17:00:00,UST/USDT,0.0944,0.0956,0.0882,0.093,733416.5612903226,68207.7402
1653494400000.0,2022-05-25 16:00:00,UST/USDT,0.0947,0.0953,0.0874,0.0944,632845.6716101695,59740.6314
1653490800000.0,2022-05-25 15:00:00,UST/USDT,0.1005,0.1036,0.0909,0.0947,9573019.709609292,906564.9665
1653487200000.0,2022-05-25 14:00:00,UST/USDT,0.0896,0.1143,0.0884,0.1008,7573504.606150794,763409.2643
1653483600000.0,2022-05-25 13:00:00,UST/USDT,0.0755,0.095,0.0754,0.0895,2253596.073743017,201696.8486
1653480000000.0,2022-05-25 12:00:00,UST/USDT,0.0711,0.0784,0.0705,0.0755,1941859.905960265,146610.4229
1653476400000.0,2022-05-25 11:00:00,UST/USDT,0.0696,0.0719,0.0676,0.0711,3265473.4275668077,232175.1607
1653472800000.0,2022-05-25 10:00:00,UST/USDT,0.0672,0.0713,0.067,0.0696,2510761.195402299,174748.9792
1653469200000.0,2022-05-25 09:00:00,UST/USDT,0.0661,0.068,0.0657,0.0672,2583528.8764880956,173613.1405
1653465600000.0,2022-05-25 08:00:00,UST/USDT,0.0686,0.0686,0.0655,0.0661,346691.5234493192,22916.3097
1653462000000.0,2022-05-25 07:00:00,UST/USDT,0.067,0.0686,0.0665,0.0686,87448.36151603499,5998.9576
1653458400000.0,2022-05-25 06:00:00,UST/USDT,0.0655,0.067,0.0644,0.067,1121614.5164179103,75148.1726
1653454800000.0,2022-05-25 05:00:00,UST/USDT,0.0669,0.068,0.0654,0.0655,252862.32824427477,16562.4825
1653451200000.0,2022-05-25 04:00:00,UST/USDT,0.0698,0.0698,0.0661,0.0669,508414.7817638267,34012.9489
1653447600000.0,2022-05-25 03:00:00,UST/USDT,0.0707,0.0727,0.0692,0.0698,1141082.6389684812,79647.5682
1653444000000.0,2022-05-25 02:00:00,UST/USDT,0.0683,0.0718,0.0677,0.0707,1581227.6534653467,111792.7951
1653440400000.0,2022-05-25 01:00:00,UST/USDT,0.0684,0.0691,0.0672,0.0683,129915.91068814056,8873.2567
1653436800000.0,2022-05-25 00:00:00,UST/USDT,0.069,0.0695,0.0674,0.0684,531540.6461988303,36357.3802
1653433200000.0,2022-05-24 23:00:00,UST/USDT,0.0664,0.0703,0.0663,0.069,550731.8376811594,38000.4968
1653429600000.0,2022-05-24 22:00:00,UST/USDT,0.0652,0.0664,0.0648,0.0664,260811.9111445783,17317.9109
1653426000000.0,2022-05-24 21:00:00,UST/USDT,0.0646,0.0663,0.0646,0.0652,1078340.8726993867,70307.8249
