https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HOTCROSS,Volume USDT
1663459200,2022-09-18 00:00:00,HOTCROSS/USDT,0.01321,0.01328,0.01308,0.01319,434941.9606,5732.918717231
1663372800,2022-09-17 00:00:00,HOTCROSS/USDT,0.01328,0.01356,0.01288,0.01321,20674237.2978,271609.047376084
1663286400,2022-09-16 00:00:00,HOTCROSS/USDT,0.01337,0.01384,0.0124,0.01327,22281625.28912163,288463.494692351212
1663200000,2022-09-15 00:00:00,HOTCROSS/USDT,0.01374,0.01374,0.01319,0.01333,20227284.0203,272880.185028649
1663113600,2022-09-14 00:00:00,HOTCROSS/USDT,0.0138,0.01382,0.01346,0.01373,20079753.7692,274594.524083085
1663027200,2022-09-13 00:00:00,HOTCROSS/USDT,0.01425,0.01441,0.01366,0.01381,19369990.9568,272356.316578906
1662940800,2022-09-12 00:00:00,HOTCROSS/USDT,0.01467,0.01488,0.01404,0.01426,19798375.0691,287487.092339663
1662854400,2022-09-11 00:00:00,HOTCROSS/USDT,0.01474,0.01489,0.01437,0.01468,21727898.1721,319366.188985215
1662768000,2022-09-10 00:00:00,HOTCROSS/USDT,0.01491,0.01493,0.01448,0.01475,21580447.0454,317295.595363676
1662681600,2022-09-09 00:00:00,HOTCROSS/USDT,0.01414,0.01497,0.01404,0.01487,23428316.356,335528.909411977
1662595200,2022-09-08 00:00:00,HOTCROSS/USDT,0.01395,0.01505,0.0137,0.01415,23472044.9683,328700.139717184
1662508800,2022-09-07 00:00:00,HOTCROSS/USDT,0.01378,0.01399,0.01325,0.01387,23808835.2823,323304.176985393
1662422400,2022-09-06 00:00:00,HOTCROSS/USDT,0.01429,0.01463,0.01369,0.01384,22387085.1545,322157.274860178
1662336000,2022-09-05 00:00:00,HOTCROSS/USDT,0.01458,0.01464,0.0142,0.0143,21941392.3024,316307.297512678
1662249600,2022-09-04 00:00:00,HOTCROSS/USDT,0.01437,0.01502,0.01435,0.01461,21542916.3637,317273.419332116
1662163200,2022-09-03 00:00:00,HOTCROSS/USDT,0.01426,0.01449,0.01399,0.01439,23231579.8648,328973.119126436
1662076800,2022-09-02 00:00:00,HOTCROSS/USDT,0.01418,0.01448,0.01409,0.01425,22179377.9741,315636.705926148
1661990400,2022-09-01 00:00:00,HOTCROSS/USDT,0.01466,0.01473,0.01412,0.01419,22036286.0366,316598.882204332
1661904000,2022-08-31 00:00:00,HOTCROSS/USDT,0.01524,0.01551,0.01457,0.01466,14295804.59214208,217388.1624478488528
1661817600,2022-08-30 00:00:00,HOTCROSS/USDT,0.01581,0.01619,0.01499,0.01524,19036348.43938479,300421.3643066572676
1661731200,2022-08-29 00:00:00,HOTCROSS/USDT,0.01583,0.01604,0.01553,0.01581,19580096.63496971,310459.9904385019859
1661644800,2022-08-28 00:00:00,HOTCROSS/USDT,0.01588,0.01621,0.01569,0.01581,19584742.53471025,313270.2917235389707
