https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ICP,Volume BTC
1663459200,2022-09-18 00:00:00,ICP/BTC,0.0003131,0.0003131,0.0003108,0.0003109,9.4841,0.00295583
1663372800,2022-09-17 00:00:00,ICP/BTC,0.0003133,0.0003187,0.0003113,0.0003132,1980.1274,0.6190942057
1663286400,2022-09-16 00:00:00,ICP/BTC,0.0003108,0.0003189,0.0003021,0.0003123,954.5441,0.29634201874
1663200000,2022-09-15 00:00:00,ICP/BTC,0.0003115,0.000318,0.0003018,0.000311,2008.5414,0.61999563896
1663113600,2022-09-14 00:00:00,ICP/BTC,0.000318,0.0003234,0.000308,0.0003109,1639.8248,0.52093452414
1663027200,2022-09-13 00:00:00,ICP/BTC,0.000309,0.0003396,0.0003062,0.0003171,2317.7125,0.73960337396
1662940800,2022-09-12 00:00:00,ICP/BTC,0.0003288,0.0003289,0.0003083,0.0003098,937.7164,0.29574422607
1662854400,2022-09-11 00:00:00,ICP/BTC,0.0003297,0.0003448,0.0003253,0.000329,1846.3721,0.61549232734
1662768000,2022-09-10 00:00:00,ICP/BTC,0.0003321,0.00034,0.0003279,0.0003296,919.5536,0.30746833731
1662681600,2022-09-09 00:00:00,ICP/BTC,0.0003355,0.000347,0.0003241,0.0003313,2184.8698,0.72919661317
1662595200,2022-09-08 00:00:00,ICP/BTC,0.0003354,0.0003389,0.0003309,0.0003355,809.9094,0.27081836296
1662508800,2022-09-07 00:00:00,ICP/BTC,0.0003304,0.000339,0.0003258,0.0003354,1370.0326,0.45588257925
1662422400,2022-09-06 00:00:00,ICP/BTC,0.0003412,0.0003511,0.0003254,0.0003304,3186.0341,1.07484652186
1662336000,2022-09-05 00:00:00,ICP/BTC,0.0003351,0.000346,0.0003255,0.0003412,1630.8444,0.54825460691
1662249600,2022-09-04 00:00:00,ICP/BTC,0.0003274,0.0003433,0.0003204,0.0003346,4084.3807,1.35511001653
1662163200,2022-09-03 00:00:00,ICP/BTC,0.0003147,0.0003333,0.0003108,0.0003273,1686.7747,0.5476660014
1662076800,2022-09-02 00:00:00,ICP/BTC,0.0003133,0.000318,0.0003049,0.0003154,831.811,0.25982532936
1661990400,2022-09-01 00:00:00,ICP/BTC,0.000311,0.0003156,0.0003056,0.0003141,536.0347,0.1657495697
1661904000,2022-08-31 00:00:00,ICP/BTC,0.000316,0.0003202,0.0003099,0.0003114,482.409,0.1522338584
1661817600,2022-08-30 00:00:00,ICP/BTC,0.0003295,0.0003335,0.000315,0.0003157,1208.788,0.39053842747
1661731200,2022-08-29 00:00:00,ICP/BTC,0.0003221,0.0003333,0.0003118,0.0003295,2078.8272,0.67145010527
1661644800,2022-08-28 00:00:00,ICP/BTC,0.0003143,0.00033,0.0003039,0.000322,3078.1832,0.98355425759
1661558400,2022-08-27 00:00:00,ICP/BTC,0.0002846,0.000321,0.0002823,0.0003143,11236.183,3.33004912118
