https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BOBA,Volume USDT
1663459200,2022-09-18 00:00:00,BOBA/USDT,0.3182,0.3182,0.3152,0.3152,654.1649,206.82671606
1663372800,2022-09-17 00:00:00,BOBA/USDT,0.3156,0.3318,0.3126,0.3188,26625.3541,8475.3444842
1663286400,2022-09-16 00:00:00,BOBA/USDT,0.3176,0.3223,0.3083,0.3156,11285.2951,3541.27232949
1663200000,2022-09-15 00:00:00,BOBA/USDT,0.3395,0.3545,0.3032,0.3176,76025.6274,25412.71742948
1663113600,2022-09-14 00:00:00,BOBA/USDT,0.3113,0.3426,0.3078,0.3387,33984.5234,11117.69578033
1663027200,2022-09-13 00:00:00,BOBA/USDT,0.3348,0.3475,0.3062,0.3099,48735.4536,15775.48968075
1662940800,2022-09-12 00:00:00,BOBA/USDT,0.3339,0.3499,0.3277,0.3355,25712.8875,8706.85201708
1662854400,2022-09-11 00:00:00,BOBA/USDT,0.3393,0.3464,0.3245,0.3367,33998.5707,11355.89971324
1662768000,2022-09-10 00:00:00,BOBA/USDT,0.3317,0.3428,0.3274,0.339,27518.6525,9244.61038639
1662681600,2022-09-09 00:00:00,BOBA/USDT,0.3134,0.3572,0.3104,0.3317,153827.9822,50639.74486465
1662595200,2022-09-08 00:00:00,BOBA/USDT,0.3129,0.3281,0.2955,0.3162,72630.1644,22480.2323549
1662508800,2022-09-07 00:00:00,BOBA/USDT,0.302,0.3247,0.2884,0.3129,54010.8351,16348.68294434
1662422400,2022-09-06 00:00:00,BOBA/USDT,0.309,0.326,0.2987,0.3026,30765.755,9571.47903098
1662336000,2022-09-05 00:00:00,BOBA/USDT,0.3121,0.316,0.3063,0.3091,13196.9909,4096.46595611
1662249600,2022-09-04 00:00:00,BOBA/USDT,0.31,0.318,0.3039,0.3104,15872.194,4936.64655129
1662163200,2022-09-03 00:00:00,BOBA/USDT,0.3193,0.3263,0.3058,0.3098,48205.7009,15175.9956511
1662076800,2022-09-02 00:00:00,BOBA/USDT,0.3182,0.3428,0.3106,0.3179,73495.2091,23915.65724652
1661990400,2022-09-01 00:00:00,BOBA/USDT,0.322,0.331,0.308,0.318,72322.3299,23030.23133848
1661904000,2022-08-31 00:00:00,BOBA/USDT,0.3222,0.3478,0.3142,0.323,66705.1661,22075.01894459
1661817600,2022-08-30 00:00:00,BOBA/USDT,0.3365,0.3485,0.3211,0.3211,48312.537,16159.01729877
1661731200,2022-08-29 00:00:00,BOBA/USDT,0.3214,0.3742,0.3164,0.3363,92014.2095,31111.75315975
1661644800,2022-08-28 00:00:00,BOBA/USDT,0.3534,0.3581,0.3189,0.322,44876.0498,15412.13631795
1661558400,2022-08-27 00:00:00,BOBA/USDT,0.3991,0.4048,0.3397,0.3534,100811.061,36620.29982145
1661472000,2022-08-26 00:00:00,BOBA/USDT,0.3805,0.5676,0.3675,0.3988,432406.7867,191609.27724378
1661385600,2022-08-25 00:00:00,BOBA/USDT,0.4086,0.415,0.3805,0.3818,33391.5183,13206.17052513
1661299200,2022-08-24 00:00:00,BOBA/USDT,0.3902,0.4212,0.3686,0.4074,44609.184,18110.67600217
1661212800,2022-08-23 00:00:00,BOBA/USDT,0.3765,0.3942,0.3735,0.3906,12513.335,4817.68970544
1661126400,2022-08-22 00:00:00,BOBA/USDT,0.3845,0.3845,0.361,0.3764,15764.7074,5847.47515325
1661040000,2022-08-21 00:00:00,BOBA/USDT,0.3816,0.396,0.3816,0.3865,18182.8073,7100.662689
1660953600,2022-08-20 00:00:00,BOBA/USDT,0.3791,0.4053,0.3742,0.3825,28331.2827,10944.72175172
1660867200,2022-08-19 00:00:00,BOBA/USDT,0.4225,0.4255,0.3779,0.3779,35410.5907,13808.37428811
1660780800,2022-08-18 00:00:00,BOBA/USDT,0.4379,0.4528,0.4225,0.4232,23899.5645,10627.4846047
1660694400,2022-08-17 00:00:00,BOBA/USDT,0.4776,0.502,0.4351,0.4378,17302.4917,8006.28464694
1660608000,2022-08-16 00:00:00,BOBA/USDT,0.5016,0.5042,0.4664,0.4769,34140.0718,16381.91835309
1660521600,2022-08-15 00:00:00,BOBA/USDT,0.5167,0.5321,0.4978,0.4994,15216.9487,7717.34839345
1660435200,2022-08-14 00:00:00,BOBA/USDT,0.5238,0.589,0.5101,0.5193,42528.5261,22896.04982036
1660348800,2022-08-13 00:00:00,BOBA/USDT,0.5485,0.5564,0.5218,0.5222,26096.9956,13998.57134954
1660262400,2022-08-12 00:00:00,BOBA/USDT,0.5354,0.5585,0.5081,0.5523,26311.187,14163.21118794
1660176000,2022-08-11 00:00:00,BOBA/USDT,0.5368,0.5819,0.5017,0.5387,44519.9486,24113.56101347
1660089600,2022-08-10 00:00:00,BOBA/USDT,0.5201,0.564,0.49,0.5366,134113.8193,68779.40508063
1660003200,2022-08-09 00:00:00,BOBA/USDT,0.5592,0.5722,0.5087,0.52,142849.632,75932.68983072
1659916800,2022-08-08 00:00:00,BOBA/USDT,0.5618,0.591,0.549,0.5589,143908.6647,82538.30505474
1659830400,2022-08-07 00:00:00,BOBA/USDT,0.5648,0.5829,0.55,0.558,50374.6271,28605.09809476
1659744000,2022-08-06 00:00:00,BOBA/USDT,0.5679,0.6095,0.5597,0.5695,60735.1989,35255.47187099
1659657600,2022-08-05 00:00:00,BOBA/USDT,0.5792,0.625,0.5216,0.5701,138699.3433,79905.5336515
1659571200,2022-08-04 00:00:00,BOBA/USDT,0.5404,0.6398,0.5368,0.576,121346.72,69571.5246476
1659484800,2022-08-03 00:00:00,BOBA/USDT,0.5475,0.6084,0.5188,0.5402,35330.8237,19274.61771161
1659398400,2022-08-02 00:00:00,BOBA/USDT,0.5395,0.5662,0.5125,0.548,16302.2708,8784.80671265
1659312000,2022-08-01 00:00:00,BOBA/USDT,0.5649,0.5707,0.5195,0.5375,33702.3805,18289.02809557
1659225600,2022-07-31 00:00:00,BOBA/USDT,0.5689,0.6074,0.5335,0.5657,63957.8797,36337.06337758
1659139200,2022-07-30 00:00:00,BOBA/USDT,0.5213,0.6698,0.5043,0.5689,123916.0838,73393.24742107
1659052800,2022-07-29 00:00:00,BOBA/USDT,0.4843,0.5409,0.4825,0.5222,60041.2583,30600.66758721
1658966400,2022-07-28 00:00:00,BOBA/USDT,0.4525,0.5259,0.4293,0.4834,90359.0322,43707.99050985
1658880000,2022-07-27 00:00:00,BOBA/USDT,0.4227,0.4645,0.4186,0.4531,23967.5994,10494.36323892
1658793600,2022-07-26 00:00:00,BOBA/USDT,0.422,0.4226,0.4,0.4212,10701.2355,4411.6033457
1658707200,2022-07-25 00:00:00,BOBA/USDT,0.4609,0.4609,0.4204,0.4204,30401.0508,13401.73166133
1658620800,2022-07-24 00:00:00,BOBA/USDT,0.4497,0.4834,0.448,0.4609,57856.0438,26878.950244
1658534400,2022-07-23 00:00:00,BOBA/USDT,0.4441,0.4597,0.4308,0.4497,17989.7489,7914.5886483
1658448000,2022-07-22 00:00:00,BOBA/USDT,0.4639,0.4868,0.4394,0.4441,12614.7118,5866.37467057
1658361600,2022-07-21 00:00:00,BOBA/USDT,0.4468,0.4672,0.4374,0.4639,14540.6189,6585.23564143
1658275200,2022-07-20 00:00:00,BOBA/USDT,0.4649,0.4902,0.427,0.4451,22897.96165896,10569.697140086976
1658188800,2022-07-19 00:00:00,BOBA/USDT,0.4483,0.4786,0.4244,0.4654,42776.19534799,19190.865403228538
1658102400,2022-07-18 00:00:00,BOBA/USDT,0.3907,0.4575,0.3907,0.4483,33444.5078498,14561.361045032368
1658016000,2022-07-17 00:00:00,BOBA/USDT,0.3992,0.4202,0.3878,0.3878,19013.02571263,7687.853935793441
1657929600,2022-07-16 00:00:00,BOBA/USDT,0.4046,0.4236,0.3898,0.3992,29219.05512173,11732.974285188694
1657843200,2022-07-15 00:00:00,BOBA/USDT,0.3875,0.4515,0.3688,0.4073,40651.56539941,16361.293593830279
1657756800,2022-07-14 00:00:00,BOBA/USDT,0.3736,0.3964,0.3598,0.3887,14972.39234438,5635.638969801743
1657670400,2022-07-13 00:00:00,BOBA/USDT,0.3624,0.3772,0.3459,0.369,15398.51050557,5558.13514826516
1657584000,2022-07-12 00:00:00,BOBA/USDT,0.3712,0.3808,0.3616,0.3627,11433.4730237,4216.47517966465
1657497600,2022-07-11 00:00:00,BOBA/USDT,0.4008,0.4016,0.3712,0.3715,29611.66565421,11583.20384638853
1657411200,2022-07-10 00:00:00,BOBA/USDT,0.4311,0.4343,0.3908,0.4008,83954.30658673,34159.140858911994
1657324800,2022-07-09 00:00:00,BOBA/USDT,0.4225,0.4427,0.4184,0.4317,60677.14695572,26104.264898539876
1657238400,2022-07-08 00:00:00,BOBA/USDT,0.3987,0.4478,0.3883,0.4225,179241.88611203,74738.750729826767
1657152000,2022-07-07 00:00:00,BOBA/USDT,0.3816,0.423,0.3726,0.396,60674.29025902,23512.53058791014
1657065600,2022-07-06 00:00:00,BOBA/USDT,0.3663,0.383,0.3587,0.3802,17570.91292991,6577.255378914776
1656979200,2022-07-05 00:00:00,BOBA/USDT,0.3892,0.3948,0.3492,0.3689,41954.74632926,15648.067257735831
1656892800,2022-07-04 00:00:00,BOBA/USDT,0.3379,0.4119,0.3225,0.3878,165993.85190942,60022.309775212674
1656806400,2022-07-03 00:00:00,BOBA/USDT,0.3277,0.3462,0.3201,0.3365,29584.21022159,9864.670939561156
1656720000,2022-07-02 00:00:00,BOBA/USDT,0.3511,0.3527,0.3123,0.3277,63490.34788032,20743.871579700246
1656633600,2022-07-01 00:00:00,BOBA/USDT,0.365,0.3962,0.316,0.3511,184280.1710315,64878.110712550165
1656547200,2022-06-30 00:00:00,BOBA/USDT,0.3879,0.425,0.3429,0.365,867403.55153177,321306.464273416211
1656460800,2022-06-29 00:00:00,BOBA/USDT,0.4074,0.6833,0.3643,0.3879,1535335.92995416,679075.488754099328
1656374400,2022-06-28 00:00:00,BOBA/USDT,0.3663,0.4279,0.3515,0.4066,164026.58613369,65027.329757576256
1656288000,2022-06-27 00:00:00,BOBA/USDT,0.3663,0.3771,0.3447,0.3631,43114.30296458,15509.615573511566
1656201600,2022-06-26 00:00:00,BOBA/USDT,0.3663,0.3801,0.36,0.3665,24166.7347631,8955.417457863255
1656115200,2022-06-25 00:00:00,BOBA/USDT,0.3842,0.3936,0.3501,0.3658,31318.72096259,11479.962557815838
1656028800,2022-06-24 00:00:00,BOBA/USDT,0.3511,0.3922,0.3473,0.3845,69365.57159633,25513.483404181459
1655942400,2022-06-23 00:00:00,BOBA/USDT,0.3462,0.3689,0.34,0.3535,123681.11983213,43534.049632957516
1655856000,2022-06-22 00:00:00,BOBA/USDT,0.338,0.41,0.322,0.3463,549381.39419301,194024.326639988263
1655769600,2022-06-21 00:00:00,BOBA/USDT,0.3184,1.0163,0.3055,0.338,670653.01674901,268154.095107262258
1655683200,2022-06-20 00:00:00,BOBA/USDT,0.3194,0.35,0.2961,0.3195,32365.05563255,10452.114075273958
1655596800,2022-06-19 00:00:00,BOBA/USDT,0.2874,0.3238,0.2665,0.3156,39944.21874327,11499.731907207088
1655510400,2022-06-18 00:00:00,BOBA/USDT,0.2981,0.2993,0.2684,0.2857,11903.64536244,3361.575437339416
1655424000,2022-06-17 00:00:00,BOBA/USDT,0.2904,0.3024,0.2857,0.2974,8705.90266107,2584.169203697966
1655337600,2022-06-16 00:00:00,BOBA/USDT,0.3006,0.3081,0.2824,0.2891,14634.77531232,4348.399269066542
1655251200,2022-06-15 00:00:00,BOBA/USDT,0.2898,0.3035,0.2663,0.2998,27402.94725704,7685.080815786181
1655164800,2022-06-14 00:00:00,BOBA/USDT,0.2819,0.3006,0.2663,0.2876,19600.72327079,5564.694450914721
1655078400,2022-06-13 00:00:00,BOBA/USDT,0.3222,0.3222,0.2677,0.2819,57909.4837325,16597.091926824668
1654992000,2022-06-12 00:00:00,BOBA/USDT,0.3625,0.3625,0.3201,0.3201,6146.38489245,2080.512817344994
1654905600,2022-06-11 00:00:00,BOBA/USDT,0.3947,0.3992,0.3599,0.3616,22747.2458746,8710.650010938622
1654819200,2022-06-10 00:00:00,BOBA/USDT,0.4182,0.4182,0.3897,0.3912,8813.34417624,3538.209147563509
1654732800,2022-06-09 00:00:00,BOBA/USDT,0.4152,0.452,0.4152,0.4166,12999.92494052,5618.473072967123
1654646400,2022-06-08 00:00:00,BOBA/USDT,0.4285,0.4446,0.4089,0.4155,30686.10762811,13120.608074541247
1654560000,2022-06-07 00:00:00,BOBA/USDT,0.4426,0.4426,0.4102,0.4289,14255.85750343,6037.455139617395
