https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume UST
1653436800,2022-05-25 00:00:00,USDT/UST,14.4618,14.7619,14.3276,14.5541,79828.21371478,1164408.598668996316
1653350400,2022-05-24 00:00:00,USDT/UST,14.4742,15.9191,14.1004,14.4619,2305067.15153757,35131320.313974260255
1653264000,2022-05-23 00:00:00,USDT/UST,15.6555,16.0775,12.75,14.4309,4346072.83772543,63389192.862462740408
1653177600,2022-05-22 00:00:00,USDT/UST,17.4712,17.9868,13.415,15.6519,4599692.70017806,71257223.616265385543
1653091200,2022-05-21 00:00:00,USDT/UST,15.4742,20.8871,15.3934,17.3851,2914255.00660407,52803279.897214278683
1653004800,2022-05-20 00:00:00,USDT/UST,13.4632,17.3329,12.8445,15.5362,4258058.93437295,63020732.03550628089
1652918400,2022-05-19 00:00:00,USDT/UST,10.8255,13.7172,10.5676,13.4447,10037565.68140296,123624442.301958486811
1652832000,2022-05-18 00:00:00,USDT/UST,11.3253,11.5039,7.6505,10.8364,17602585.50151557,170000379.486247042623
1652745600,2022-05-17 00:00:00,USDT/UST,10.0231,12.0696,7.8914,11.3254,13869703.19720242,138600784.471055432999
1652659200,2022-05-16 00:00:00,USDT/UST,6.7493,19.1826,5.9,10.0005,18270350.32174252,206838988.581991956519
1652572800,2022-05-15 00:00:00,USDT/UST,6.6302,7.6573,4.1913,6.751,11405092.63526424,65516777.100838871211
1652486400,2022-05-14 00:00:00,USDT/UST,12.4995,13.7179,5.01,6.6236,12336862.34977701,87435286.424451650666
1652400000,2022-05-13 00:00:00,USDT/UST,3.2998,27,3.2863,12.5,15439171.59417662,172784163.119004005874
1652313600,2022-05-12 00:00:00,USDT/UST,1.5788,4.2464,1.36,3.3,165353235.71785132,331576422.351343210943
1652227200,2022-05-11 00:00:00,USDT/UST,1.2541,4.7813,1.1758,1.5788,262808599.87225309,518276055.762744751839
1652140800,2022-05-10 00:00:00,USDT/UST,1.3185,1.626,1.062,1.2541,245630308.06320335,295737998.355935236507
1652054400,2022-05-09 00:00:00,USDT/UST,1.0048,1.335,1.0042,1.3185,133741339.8143904,141256437.371474694801
1651968000,2022-05-08 00:00:00,USDT/UST,1.0057,1.0138,1.0006,1.0049,113696331.6204901,114300442.795147710832
1651881600,2022-05-07 00:00:00,USDT/UST,1.0001,1.014,1,1.0057,119785174.90035294,120114360.915589772021
1651795200,2022-05-06 00:00:00,USDT/UST,1.0001,1.0003,0.9999,1.0002,34293092.51559003,34296909.74833185597
1651708800,2022-05-05 00:00:00,USDT/UST,1.0001,1.0005,0.9998,1.0001,24623268.92295336,24626986.448009549308
1651622400,2022-05-04 00:00:00,USDT/UST,1,1.0003,1,1.0001,14191268.63421798,14192690.591354726285
1651536000,2022-05-03 00:00:00,USDT/UST,1,1.0001,0.9999,1,10305550.47912702,10305415.455913887458
1651449600,2022-05-02 00:00:00,USDT/UST,1.0001,1.0002,0.9999,1,13096746.14416294,13096774.045374734555
1651363200,2022-05-01 00:00:00,USDT/UST,1.0001,1.0003,1,1,40029139.25019276,40034182.93415081099
1651276800,2022-04-30 00:00:00,USDT/UST,0.9999,1.0004,0.9999,1.0002,22311425.18022505,22313943.633446255602
1651190400,2022-04-29 00:00:00,USDT/UST,1,1.0003,0.9999,1,18724444.20259512,18725575.133702563307
1651104000,2022-04-28 00:00:00,USDT/UST,0.9998,1.0003,0.9997,0.9999,16011544.65288929,16011819.925846057931
1651017600,2022-04-27 00:00:00,USDT/UST,0.9994,0.9999,0.9993,0.9999,22316640.56140258,22307340.5450675861
1650931200,2022-04-26 00:00:00,USDT/UST,0.9992,0.9996,0.9991,0.9994,21472273.68604754,21460060.497817983198
1650844800,2022-04-25 00:00:00,USDT/UST,0.9989,0.9993,0.9986,0.9991,20008170.05205777,19988680.65528783346
1650758400,2022-04-24 00:00:00,USDT/UST,0.9984,0.9998,0.9983,0.9989,19645318.49487351,19627583.138916631302
1650672000,2022-04-23 00:00:00,USDT/UST,0.9976,0.9988,0.9975,0.9983,9255603.91809817,9239404.764718672165
1650585600,2022-04-22 00:00:00,USDT/UST,0.9966,0.9983,0.9952,0.9975,16955811.56956093,16915769.131186475487
1650499200,2022-04-21 00:00:00,USDT/UST,0.9958,0.9975,0.9954,0.9966,22036565.65184828,21964918.20729830133
1650412800,2022-04-20 00:00:00,USDT/UST,0.9967,0.9969,0.9953,0.9958,17471702.56139754,17409114.702831763864
1650326400,2022-04-19 00:00:00,USDT/UST,0.9972,0.9973,0.9965,0.9967,20268931.20171975,20204408.114058357098
1650240000,2022-04-18 00:00:00,USDT/UST,0.9974,0.998,0.9966,0.9971,31108238.56990005,31021532.260607667189
1650153600,2022-04-17 00:00:00,USDT/UST,0.9971,0.9975,0.997,0.9975,8942143.96147234,8918401.264201549358
1650067200,2022-04-16 00:00:00,USDT/UST,0.9978,0.9978,0.9963,0.997,10231869.7752521,10206237.015094371062
1649980800,2022-04-15 00:00:00,USDT/UST,0.9982,0.9983,0.9977,0.9978,15240680.4102947,15209662.381892621427
1649894400,2022-04-14 00:00:00,USDT/UST,0.9992,0.9994,0.998,0.9982,23837478.40549835,23809565.84929171833
1649808000,2022-04-13 00:00:00,USDT/UST,0.9994,0.9997,0.9989,0.9992,19663934.48509804,19650878.607583080855
1649721600,2022-04-12 00:00:00,USDT/UST,0.9999,1.001,0.9994,0.9994,32048694.76112763,32042910.954078707532
1649635200,2022-04-11 00:00:00,USDT/UST,0.9999,1.0001,0.9991,0.9998,44297195.85755207,44284702.987307994946
1649548800,2022-04-10 00:00:00,USDT/UST,0.9999,1,0.9997,0.9998,28612775.95610481,28609100.607887880938
1649462400,2022-04-09 00:00:00,USDT/UST,0.9999,1.0003,0.9998,0.9999,24169099.8177046,24168395.547741039918
1649376000,2022-04-08 00:00:00,USDT/UST,1,1.0003,0.9997,0.9999,40502934.11613259,40501991.981437337106
1649289600,2022-04-07 00:00:00,USDT/UST,1.0001,1.0003,0.9997,1,32466228.84454314,32466490.423263927181
1649203200,2022-04-06 00:00:00,USDT/UST,1,1.0004,0.9998,1.0001,54732418.41158536,54733656.786374958782
1649116800,2022-04-05 00:00:00,USDT/UST,0.9999,1.0003,0.999,1,38043329.6174774,38041329.359429221259
1649030400,2022-04-04 00:00:00,USDT/UST,1.0002,1.0004,0.9998,0.9999,40361366.84491984,40361140.778834554716
1648944000,2022-04-03 00:00:00,USDT/UST,1,1.0002,0.9998,1.0001,21762982.44526082,21762868.033013372758
1648857600,2022-04-02 00:00:00,USDT/UST,0.9999,1.0001,0.9998,0.9999,54589484.9446029,54585184.796475502938
1648771200,2022-04-01 00:00:00,USDT/UST,1,1.0003,0.9999,0.9999,31028099.43431429,31030097.534479640945
1648684800,2022-03-31 00:00:00,USDT/UST,0.9999,1.0004,0.9998,1,39140188.63557871,39141883.573522328777
1648598400,2022-03-30 00:00:00,USDT/UST,0.9999,1.0001,0.999,0.9999,37125034.86057746,37122503.170906966802
1648512000,2022-03-29 00:00:00,USDT/UST,1.0001,1.0002,0.9995,0.9999,50355941.17924638,50351853.345248499199
1648425600,2022-03-28 00:00:00,USDT/UST,0.9997,1.0002,0.9996,1,29560841.43234591,29557926.804559577428
1648339200,2022-03-27 00:00:00,USDT/UST,0.9995,0.9998,0.9991,0.9997,17772624.97042866,17763064.764465686432
1648252800,2022-03-26 00:00:00,USDT/UST,0.9996,0.9997,0.9992,0.9996,14427919.33147707,14421698.597150668435
1648166400,2022-03-25 00:00:00,USDT/UST,0.9999,1.0003,0.9992,0.9996,37020596.33946773,37016790.551908407958
1648080000,2022-03-24 00:00:00,USDT/UST,0.9968,0.9999,0.9968,0.9999,26806649.30085491,26751892.683744255486
1647993600,2022-03-23 00:00:00,USDT/UST,0.997,0.9976,0.9967,0.9968,21502103.59727532,21440790.453051479891
1647907200,2022-03-22 00:00:00,USDT/UST,0.9971,0.9975,0.9963,0.9969,24207781.15854734,24138614.320301868024
1647820800,2022-03-21 00:00:00,USDT/UST,0.997,0.9974,0.9964,0.9971,17342563.18706471,17290711.775338881768
1647734400,2022-03-20 00:00:00,USDT/UST,0.9972,0.9976,0.9961,0.997,14687884.8007913,14644833.375363381322
1647648000,2022-03-19 00:00:00,USDT/UST,0.9968,0.998,0.9964,0.9971,17141264.96110944,17090332.796733900478
1647561600,2022-03-18 00:00:00,USDT/UST,0.9962,0.9973,0.996,0.9969,19613941.18781821,19551433.084313738149
1647475200,2022-03-17 00:00:00,USDT/UST,0.9963,0.9973,0.9955,0.9962,15828122.44124629,15775684.000812784039
1647388800,2022-03-16 00:00:00,USDT/UST,0.9963,0.9974,0.995,0.9964,27087995.47514961,26990712.074009589645
1647302400,2022-03-15 00:00:00,USDT/UST,0.9957,0.9971,0.9952,0.9963,23369924.0241635,23282929.960399574898
1647216000,2022-03-14 00:00:00,USDT/UST,0.9965,0.9969,0.995,0.9956,18110229.5138777,18039863.457207862044
1647129600,2022-03-13 00:00:00,USDT/UST,0.9962,0.9971,0.9951,0.9965,22001181.55044472,21922557.135263543268
