https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XLM,Volume EUR
1663545600,2022-09-19 00:00:00,XLM/EUR,0.10702,0.10702,0.10691,0.10698,7268.63240000,777.5982941520001
1663459200,2022-09-18 00:00:00,XLM/EUR,0.11293,0.11567,0.10632,0.10653,4825194.62610187,514027.98351863225
1663372800,2022-09-17 00:00:00,XLM/EUR,0.10696,0.11378,0.10569,0.11323,2504239.22708273,283555.0076825775
1663286400,2022-09-16 00:00:00,XLM/EUR,0.10191,0.10740,0.10143,0.10707,2169162.75381779,232252.2560512708
1663200000,2022-09-15 00:00:00,XLM/EUR,0.10539,0.10617,0.10144,0.10221,1900621.31448306,194262.50455331357
1663113600,2022-09-14 00:00:00,XLM/EUR,0.10445,0.10576,0.10290,0.10549,1827241.84302265,192755.74202045935
1663027200,2022-09-13 00:00:00,XLM/EUR,0.11194,0.11231,0.10479,0.10484,2912346.53270584,305330.4104888803
1662940800,2022-09-12 00:00:00,XLM/EUR,0.11314,0.11513,0.11055,0.11234,903255.71904077,101471.74747704009
1662854400,2022-09-11 00:00:00,XLM/EUR,0.11434,0.11580,0.11179,0.11365,1540269.17911241,175051.59220612538
1662768000,2022-09-10 00:00:00,XLM/EUR,0.11353,0.11541,0.11254,0.11405,2951254.75098083,336590.60434936365
1662681600,2022-09-09 00:00:00,XLM/EUR,0.10452,0.11383,0.10400,0.11374,3636185.96115742,413579.79122204497
1662595200,2022-09-08 00:00:00,XLM/EUR,0.10308,0.10447,0.10116,0.10441,1981364.16930677,206874.23291731987
1662508800,2022-09-07 00:00:00,XLM/EUR,0.10062,0.10332,0.09959,0.10298,2572719.27333794,264938.63076834107
1662422400,2022-09-06 00:00:00,XLM/EUR,0.10563,0.10790,0.10030,0.10074,2314001.09948023,233112.47076163834
1662336000,2022-09-05 00:00:00,XLM/EUR,0.10750,0.10773,0.10425,0.10526,967652.56413659,101855.10890101746
1662249600,2022-09-04 00:00:00,XLM/EUR,0.10585,0.10923,0.10533,0.10721,742621.31224875,79616.4308861885
1662163200,2022-09-03 00:00:00,XLM/EUR,0.10495,0.10610,0.10428,0.10571,1065478.43123150,112631.72496548187
1662076800,2022-09-02 00:00:00,XLM/EUR,0.10558,0.10614,0.10345,0.10489,680886.97221864,71418.23451601315
1661990400,2022-09-01 00:00:00,XLM/EUR,0.10407,0.10557,0.10262,0.10548,1471688.59370287,155233.71286377872
1661904000,2022-08-31 00:00:00,XLM/EUR,0.10285,0.10541,0.10265,0.10330,1025757.16930992,105960.71558971475
1661817600,2022-08-30 00:00:00,XLM/EUR,0.10575,0.10665,0.10026,0.10231,1869636.15339818,191282.47485416778
1661731200,2022-08-29 00:00:00,XLM/EUR,0.10300,0.10595,0.10168,0.10595,2221838.16807675,235403.75390773165
1661644800,2022-08-28 00:00:00,XLM/EUR,0.10602,0.10724,0.10267,0.10267,1857589.82086076,190718.74690777424
1661558400,2022-08-27 00:00:00,XLM/EUR,0.10444,0.10622,0.10294,0.10574,1981900.34414619,209566.14239001813
1661472000,2022-08-26 00:00:00,XLM/EUR,0.10987,0.11407,0.10303,0.10394,3565869.28776118,370636.4537698971
1661385600,2022-08-25 00:00:00,XLM/EUR,0.10977,0.11089,0.10936,0.11060,2306781.26559718,255130.00797504812
1661299200,2022-08-24 00:00:00,XLM/EUR,0.11108,0.11127,0.10893,0.10964,3188017.36772459,349534.2241973241
1661212800,2022-08-23 00:00:00,XLM/EUR,0.11029,0.11157,0.10831,0.11135,2748942.14207987,306094.70752059354
1661126400,2022-08-22 00:00:00,XLM/EUR,0.10999,0.11025,0.10646,0.11020,2104839.51822894,231953.31490882923
1661040000,2022-08-21 00:00:00,XLM/EUR,0.10864,0.11183,0.10741,0.11065,3227992.53220772,357177.3736887842
1660953600,2022-08-20 00:00:00,XLM/EUR,0.10819,0.11005,0.10679,0.10879,1899718.20608403,206670.3436398816
1660867200,2022-08-19 00:00:00,XLM/EUR,0.11432,0.11535,0.10638,0.10771,2792989.39709898,300832.8879615311
1660780800,2022-08-18 00:00:00,XLM/EUR,0.11904,0.12001,0.11455,0.11490,2558967.36491932,294025.3502292299
1660694400,2022-08-17 00:00:00,XLM/EUR,0.12005,0.12532,0.11765,0.11915,5685185.51706235,677389.854357979
1660608000,2022-08-16 00:00:00,XLM/EUR,0.12146,0.12240,0.11900,0.11978,2242219.26413015,268573.02345750935
1660521600,2022-08-15 00:00:00,XLM/EUR,0.12244,0.12536,0.11938,0.12150,2888634.22860586,350969.058775612
1660435200,2022-08-14 00:00:00,XLM/EUR,0.12337,0.12644,0.12130,0.12224,2521306.13581493,308204.462042017
1660348800,2022-08-13 00:00:00,XLM/EUR,0.12289,0.12516,0.12246,0.12369,4326296.90568939,535119.6642647206
1660262400,2022-08-12 00:00:00,XLM/EUR,0.12126,0.12314,0.12000,0.12284,2535501.82309715,311461.0439492539
1660176000,2022-08-11 00:00:00,XLM/EUR,0.12218,0.12347,0.12063,0.12135,1552828.85307822,188435.781321042
1660089600,2022-08-10 00:00:00,XLM/EUR,0.11951,0.12226,0.11735,0.12226,2514447.52039852,307416.353843923
1660003200,2022-08-09 00:00:00,XLM/EUR,0.12744,0.12774,0.11800,0.11944,1638396.21314386,195690.04369790264
1659916800,2022-08-08 00:00:00,XLM/EUR,0.12180,0.13555,0.12150,0.12730,8170160.97089720,1040061.4915952135
1659830400,2022-08-07 00:00:00,XLM/EUR,0.11934,0.12275,0.11805,0.12170,2732788.57264259,332580.3692906032
1659744000,2022-08-06 00:00:00,XLM/EUR,0.11656,0.12075,0.11625,0.11950,651844.63521667,77895.43390839206
1659657600,2022-08-05 00:00:00,XLM/EUR,0.11135,0.11627,0.11125,0.11620,1220605.62219999,141834.37329963886
1659571200,2022-08-04 00:00:00,XLM/EUR,0.11243,0.11451,0.10988,0.11114,1306044.70432007,145153.8084381326
1659484800,2022-08-03 00:00:00,XLM/EUR,0.11256,0.11545,0.11132,0.11178,1438975.46520697,160848.67750083513
1659398400,2022-08-02 00:00:00,XLM/EUR,0.11562,0.11730,0.11097,0.11323,2059896.89895515,233242.12586869163
1659312000,2022-08-01 00:00:00,XLM/EUR,0.11498,0.11770,0.11402,0.11548,1912572.11990550,220863.82840668713
1659225600,2022-07-31 00:00:00,XLM/EUR,0.11737,0.11976,0.11446,0.11587,4288613.04548614,496921.59358047904
1659139200,2022-07-30 00:00:00,XLM/EUR,0.11615,0.12244,0.11362,0.11661,3733366.65542835,435347.8856894999
1659052800,2022-07-29 00:00:00,XLM/EUR,0.11473,0.11700,0.11245,0.11517,2123403.71399068,244552.4057403066
1658966400,2022-07-28 00:00:00,XLM/EUR,0.10967,0.11565,0.10845,0.11466,2315317.69728916,265474.3271711751
1658880000,2022-07-27 00:00:00,XLM/EUR,0.10407,0.11053,0.10205,0.11037,1817116.16956378,200555.1116347544
1658793600,2022-07-26 00:00:00,XLM/EUR,0.10330,0.10415,0.10114,0.10407,1843501.67386274,191853.21919889533
1658707200,2022-07-25 00:00:00,XLM/EUR,0.11123,0.11123,0.10344,0.10345,2089605.15250696,216169.65302684502
1658620800,2022-07-24 00:00:00,XLM/EUR,0.11029,0.11321,0.10995,0.11164,1152647.88291185,128681.60964827894
1658534400,2022-07-23 00:00:00,XLM/EUR,0.10911,0.11138,0.10699,0.10921,1512125.85211734,165139.26430973472
1658448000,2022-07-22 00:00:00,XLM/EUR,0.11070,0.11374,0.10823,0.10983,2003011.03346954,219990.70180595957
1658361600,2022-07-21 00:00:00,XLM/EUR,0.10986,0.11170,0.10729,0.11110,2703855.93388782,300398.39425493684
1658275200,2022-07-20 00:00:00,XLM/EUR,0.11639,0.11809,0.10899,0.10994,3873731.85339100,425878.07996180654
1658188800,2022-07-19 00:00:00,XLM/EUR,0.11338,0.11696,0.10974,0.11572,3356286.82692789,388389.51161209546
