https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WSIENNA,Volume USDT
1663459200,2022-09-18 00:00:00,WSIENNA/USDT,0.7718,0.7914,0.761,0.7744,10291.8914,7951.55015779
1663372800,2022-09-17 00:00:00,WSIENNA/USDT,0.7118,0.7845,0.703,0.7718,450565.5035,333880.14470997
1663286400,2022-09-16 00:00:00,WSIENNA/USDT,0.7029,0.7567,0.6883,0.7131,353078.4025,249555.14570129
1663200000,2022-09-15 00:00:00,WSIENNA/USDT,0.7645,0.7779,0.6915,0.7066,391755.9257,287071.98394686
1663113600,2022-09-14 00:00:00,WSIENNA/USDT,0.7354,0.7812,0.7145,0.769,409059.9403,303079.86520073
1663027200,2022-09-13 00:00:00,WSIENNA/USDT,0.7722,0.8103,0.7177,0.7355,321552.7902,244922.77596561
1662940800,2022-09-12 00:00:00,WSIENNA/USDT,0.8581,0.8681,0.7593,0.7713,259814.6357,208931.59867749
1662854400,2022-09-11 00:00:00,WSIENNA/USDT,0.8376,0.8986,0.8268,0.8629,336785.4451,289376.91467483
1662768000,2022-09-10 00:00:00,WSIENNA/USDT,0.8074,0.8739,0.8017,0.8379,71824.8978,60121.33813793
1662681600,2022-09-09 00:00:00,WSIENNA/USDT,0.7633,0.8523,0.7579,0.808,329281.8433,264948.59615373
1662595200,2022-09-08 00:00:00,WSIENNA/USDT,0.7842,0.7943,0.746,0.7669,359644.9123,278038.0877911
1662508800,2022-09-07 00:00:00,WSIENNA/USDT,0.7453,0.8143,0.7309,0.7791,317185.9954,238997.28916639
1662422400,2022-09-06 00:00:00,WSIENNA/USDT,0.75,0.782,0.7307,0.7453,393217.5433,294865.32960563
1662336000,2022-09-05 00:00:00,WSIENNA/USDT,0.7759,0.7936,0.7405,0.7499,445108.362,341738.34896219
1662249600,2022-09-04 00:00:00,WSIENNA/USDT,0.8079,0.8528,0.7645,0.7773,370529.342,304773.34326355
1662163200,2022-09-03 00:00:00,WSIENNA/USDT,0.8258,0.8489,0.7859,0.8107,342627.5771,278913.33015434
1662076800,2022-09-02 00:00:00,WSIENNA/USDT,0.8251,0.8523,0.8136,0.8288,365054.8981,303580.00065374
1661990400,2022-09-01 00:00:00,WSIENNA/USDT,0.8123,0.849,0.7954,0.826,356259.0965,290394.30701365
1661904000,2022-08-31 00:00:00,WSIENNA/USDT,0.8046,0.8452,0.789,0.8129,317446.4407,259503.830299
1661817600,2022-08-30 00:00:00,WSIENNA/USDT,0.832,0.8419,0.8037,0.8064,315024.0284,259338.0468101
1661731200,2022-08-29 00:00:00,WSIENNA/USDT,0.8029,0.84,0.7765,0.8322,334303.179,269290.25829791
1661644800,2022-08-28 00:00:00,WSIENNA/USDT,0.8166,0.8408,0.7886,0.8053,363872.5518,292676.23661435
1661558400,2022-08-27 00:00:00,WSIENNA/USDT,0.8487,0.8735,0.8069,0.818,340002.3415,281182.66753732
1661472000,2022-08-26 00:00:00,WSIENNA/USDT,0.9171,0.934,0.84,0.8487,308857.0679,276270.60487544
1661385600,2022-08-25 00:00:00,WSIENNA/USDT,0.9019,0.96,0.8803,0.9188,287926.4687,261250.55645605
1661299200,2022-08-24 00:00:00,WSIENNA/USDT,0.9146,0.945,0.8806,0.9005,307203.8708,278428.24177828
