https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1663545600000.0,2022-09-19 00:00:00,ETH/USD,1334.8,1340.3,1331.7,1334.3,8227.415993404782,10977841.16
1663459200000.0,2022-09-18 00:00:00,ETH/USD,1469.3,1469.8,1325.5,1334.6,403588.4639834408,538629164.0323
1663372800000.0,2022-09-17 00:00:00,ETH/USD,1433.8,1475.8,1409.0,1469.3,180795.30510011571,265642541.7836
1663286400000.0,2022-09-16 00:00:00,ETH/USD,1472.4,1483.1,1405.6,1433.8,439606.45221355837,630307731.1838
1663200000000.0,2022-09-15 00:00:00,ETH/USD,1639.0,1654.5,1452.2,1472.4,1121413.6510846915,1651169459.8571
1663113600000.0,2022-09-14 00:00:00,ETH/USD,1574.3,1647.7,1552.2,1639.0,492420.1756164124,807076667.8353
1663027200000.0,2022-09-13 00:00:00,ETH/USD,1716.6,1761.9,1561.0,1574.3,667125.7601894175,1050256084.2662
1662940800000.0,2022-09-12 00:00:00,ETH/USD,1766.9,1784.0,1692.9,1716.7,454885.41993435076,780901800.4013
1662854400000.0,2022-09-11 00:00:00,ETH/USD,1774.7,1790.3,1718.3,1766.9,134186.93703101476,237094899.0401
1662768000000.0,2022-09-10 00:00:00,ETH/USD,1719.1,1790.0,1707.0,1774.7,163280.44461075112,289773805.0507
1662681600000.0,2022-09-09 00:00:00,ETH/USD,1636.0,1746.4,1630.8,1719.1,340511.67535111395,585373621.0961
1662595200000.0,2022-09-08 00:00:00,ETH/USD,1630.1,1664.0,1595.1,1636.0,368681.256650978,603162535.881
1662508800000.0,2022-09-07 00:00:00,ETH/USD,1558.9,1659.3,1490.1,1630.1,410162.6346379977,668606110.7234
1662422400000.0,2022-09-06 00:00:00,ETH/USD,1618.0,1686.7,1552.2,1558.9,535552.7191273334,834873133.8476
1662336000000.0,2022-09-05 00:00:00,ETH/USD,1578.8,1632.2,1557.2,1618.0,226633.26714505564,366692626.2407
1662249600000.0,2022-09-04 00:00:00,ETH/USD,1557.5,1582.4,1540.4,1578.8,127901.23621034963,201930471.7289
1662163200000.0,2022-09-03 00:00:00,ETH/USD,1574.8,1581.9,1532.6,1557.5,148098.86152847513,230663976.8306
