https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PAX,Volume EUR
1660176000,2022-08-11 00:00:00,PAX/EUR,0.97317,0.97317,0.97317,0.97317,0.00000,0.0
1660089600,2022-08-10 00:00:00,PAX/EUR,0.97317,0.97317,0.97317,0.97317,1127.67883,1097.4232069911
1660003200,2022-08-09 00:00:00,PAX/EUR,0.97600,0.97758,0.97600,0.97758,204.89555,200.30179176899998
1659916800,2022-08-08 00:00:00,PAX/EUR,0.98186,0.98187,0.98186,0.98187,40.61856,39.8821455072
1659830400,2022-08-07 00:00:00,PAX/EUR,0.98315,0.98315,0.98315,0.98315,0.00000,0.0
1659744000,2022-08-06 00:00:00,PAX/EUR,0.98117,0.98315,0.98117,0.98315,1048.46514,1030.798502391
1659657600,2022-08-05 00:00:00,PAX/EUR,0.97568,0.98488,0.97568,0.98488,51.49281,50.7142387128
1659571200,2022-08-04 00:00:00,PAX/EUR,0.98297,0.98297,0.98297,0.98297,12.00000,11.79564
1659484800,2022-08-03 00:00:00,PAX/EUR,0.98257,0.98257,0.98257,0.98257,78927.26426,77551.5620439482
1659398400,2022-08-02 00:00:00,PAX/EUR,0.97845,0.98521,0.97845,0.98521,47.47411,46.771967913100006
1659312000,2022-08-01 00:00:00,PAX/EUR,0.97586,0.97812,0.97280,0.97280,86.97494,84.609221632
1659225600,2022-07-31 00:00:00,PAX/EUR,0.98001,0.98001,0.98001,0.98001,27.08636,26.5449036636
1659139200,2022-07-30 00:00:00,PAX/EUR,0.97767,0.97767,0.97767,0.97767,14.99790,14.662996893
1659052800,2022-07-29 00:00:00,PAX/EUR,0.97897,0.97897,0.97864,0.97865,188.85869,184.8265569685
1658966400,2022-07-28 00:00:00,PAX/EUR,0.98165,0.98331,0.98165,0.98331,1609.79808,1582.9305500448002
1658880000,2022-07-27 00:00:00,PAX/EUR,0.98366,0.98366,0.98366,0.98366,0.00000,0.0
1658793600,2022-07-26 00:00:00,PAX/EUR,0.98328,0.98366,0.98328,0.98366,1290.87671,1269.7837845586
1658707200,2022-07-25 00:00:00,PAX/EUR,0.97900,0.97900,0.97900,0.97900,11.00000,10.769
1658620800,2022-07-24 00:00:00,PAX/EUR,0.98200,0.98200,0.98200,0.98200,0.00000,0.0
1658534400,2022-07-23 00:00:00,PAX/EUR,0.98200,0.98200,0.98200,0.98200,0.00000,0.0
1658448000,2022-07-22 00:00:00,PAX/EUR,0.98199,0.98200,0.98199,0.98200,610.48704,599.4982732799999
1658361600,2022-07-21 00:00:00,PAX/EUR,0.97999,0.97999,0.97748,0.97748,211.87546,207.10402464080002
1658275200,2022-07-20 00:00:00,PAX/EUR,0.97617,0.97617,0.97617,0.97617,0.00000,0.0
1658188800,2022-07-19 00:00:00,PAX/EUR,0.97616,0.97617,0.97616,0.97617,163.10226,159.2155331442
1658102400,2022-07-18 00:00:00,PAX/EUR,0.98345,0.98345,0.98345,0.98345,74.89883,73.65925436350001
1658016000,2022-07-17 00:00:00,PAX/EUR,0.99120,0.99120,0.99120,0.99120,4964.82027,4921.129851624
1657929600,2022-07-16 00:00:00,PAX/EUR,0.99125,0.99125,0.99000,0.99000,1500.00000,1485.0
1657843200,2022-07-15 00:00:00,PAX/EUR,1.00000,1.00000,1.00000,1.00000,0.00000,0.0
1657756800,2022-07-14 00:00:00,PAX/EUR,0.99635,1.00000,0.99627,1.00000,1830.82660,1830.8266
