https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HBB,Volume USDT
1663459200,2022-09-18 00:00:00,HBB/USDT,0.2276,0.2285,0.2275,0.2278,14553.4107,3313.97565467
1663372800,2022-09-17 00:00:00,HBB/USDT,0.2261,0.228,0.2242,0.2276,387732.1926,87696.98094932
1663286400,2022-09-16 00:00:00,HBB/USDT,0.2276,0.2314,0.2221,0.2253,561484.1187,127161.151383
1663200000,2022-09-15 00:00:00,HBB/USDT,0.2138,0.2394,0.2104,0.2277,908553.0583,202562.72006874
1663113600,2022-09-14 00:00:00,HBB/USDT,0.2156,0.2207,0.2124,0.2137,474397.2285,102460.96835745
1663027200,2022-09-13 00:00:00,HBB/USDT,0.2206,0.2216,0.213,0.2157,548602.8827,119189.39425723
1662940800,2022-09-12 00:00:00,HBB/USDT,0.22,0.2247,0.2156,0.2209,578453.2592,127162.55594925
1662854400,2022-09-11 00:00:00,HBB/USDT,0.2154,0.2241,0.2152,0.2205,568581.1773,123953.00284838
1662768000,2022-09-10 00:00:00,HBB/USDT,0.2152,0.2185,0.2124,0.2154,469576.2457,100730.88348938
1662681600,2022-09-09 00:00:00,HBB/USDT,0.219,0.2222,0.214,0.2154,566988.3773,123924.14318676
1662595200,2022-09-08 00:00:00,HBB/USDT,0.2052,0.23,0.2046,0.2187,870994.1363,188794.73531995
1662508800,2022-09-07 00:00:00,HBB/USDT,0.2042,0.2067,0.1963,0.2055,534415.4931,107954.80998355
1662422400,2022-09-06 00:00:00,HBB/USDT,0.2059,0.214,0.1955,0.2037,747232.2557,152822.74446282
1662336000,2022-09-05 00:00:00,HBB/USDT,0.2038,0.214,0.2027,0.2063,521331.8593,107779.14387358
1662249600,2022-09-04 00:00:00,HBB/USDT,0.2074,0.2111,0.2005,0.2037,518218.4567,106371.17849743
1662163200,2022-09-03 00:00:00,HBB/USDT,0.2018,0.2437,0.2003,0.2077,706823.0673,147294.12932475
1662076800,2022-09-02 00:00:00,HBB/USDT,0.1989,0.2066,0.1963,0.2013,530393.0702,106734.77045481
1661990400,2022-09-01 00:00:00,HBB/USDT,0.1944,0.2071,0.1944,0.1983,582638.756,116910.60664183
1661904000,2022-08-31 00:00:00,HBB/USDT,0.2017,0.2053,0.1922,0.194,604704.5113,120008.54342244
1661817600,2022-08-30 00:00:00,HBB/USDT,0.19,0.216,0.1899,0.2007,742139.8353,148218.51869858
1661731200,2022-08-29 00:00:00,HBB/USDT,0.192,0.1924,0.1834,0.1901,556558.7832,105268.38723948
1661644800,2022-08-28 00:00:00,HBB/USDT,0.1891,0.1986,0.188,0.1917,513023.5136,98982.48267671
1661558400,2022-08-27 00:00:00,HBB/USDT,0.1904,0.1906,0.1851,0.1888,500532.1893,94688.62721352
1661472000,2022-08-26 00:00:00,HBB/USDT,0.1969,0.1984,0.1856,0.1893,661657.9133,128568.78913931
1661385600,2022-08-25 00:00:00,HBB/USDT,0.1958,0.2044,0.1933,0.1976,712633.5197,140581.08777099
1661299200,2022-08-24 00:00:00,HBB/USDT,0.1814,0.2042,0.18,0.1958,970858.3315,182985.19097715
1661212800,2022-08-23 00:00:00,HBB/USDT,0.1725,0.1827,0.1701,0.1814,653884.5429,114902.99223482
1661126400,2022-08-22 00:00:00,HBB/USDT,0.1732,0.192,0.1702,0.1727,1209051.4893,214221.64555729
1661040000,2022-08-21 00:00:00,HBB/USDT,0.1719,0.1797,0.1693,0.1732,613265.5702,105712.50109358
1660953600,2022-08-20 00:00:00,HBB/USDT,0.173,0.1777,0.1692,0.1719,594196.2562,102753.36108325
1660867200,2022-08-19 00:00:00,HBB/USDT,0.1892,0.1899,0.1716,0.1728,844853.8344,151877.73561971
1660780800,2022-08-18 00:00:00,HBB/USDT,0.1922,0.199,0.1835,0.1891,1014075.2444,194136.54072469
1660694400,2022-08-17 00:00:00,HBB/USDT,0.2037,0.204,0.1879,0.1923,1094038.94440265,216535.796801517935
1660608000,2022-08-16 00:00:00,HBB/USDT,0.2162,0.2174,0.1981,0.2042,976538.1967,205616.47563828
1660521600,2022-08-15 00:00:00,HBB/USDT,0.2227,0.2288,0.2103,0.2162,1114161.0984,245380.74335173
1660435200,2022-08-14 00:00:00,HBB/USDT,0.219,0.2344,0.2178,0.2227,1007331.412,223656.55612366
1660348800,2022-08-13 00:00:00,HBB/USDT,0.2172,0.2272,0.2169,0.219,932411.4855,206710.04494504
1660262400,2022-08-12 00:00:00,HBB/USDT,0.22,0.2263,0.2127,0.2172,1005893.2863,220361.5047868
1660176000,2022-08-11 00:00:00,HBB/USDT,0.2214,0.2338,0.2167,0.2198,1184016.6842,265080.98030966
1660089600,2022-08-10 00:00:00,HBB/USDT,0.224,0.227,0.2177,0.2214,956356.138,211917.69854387
1660003200,2022-08-09 00:00:00,HBB/USDT,0.2356,0.2395,0.2161,0.2232,1078718.8607,243675.16829536
1659916800,2022-08-08 00:00:00,HBB/USDT,0.2324,0.2357,0.2226,0.2357,1099573.0965,252698.67689029
1659830400,2022-08-07 00:00:00,HBB/USDT,0.2181,0.2438,0.2153,0.2322,1339452.5975,307457.10263792
1659744000,2022-08-06 00:00:00,HBB/USDT,0.2168,0.2214,0.2116,0.2179,996188.8718,216105.04144554
1659657600,2022-08-05 00:00:00,HBB/USDT,0.2298,0.2361,0.2101,0.2167,1117402.8137,246710.2985945
1659571200,2022-08-04 00:00:00,HBB/USDT,0.2334,0.2452,0.2253,0.23,1084829.2831,253724.80893044
1659484800,2022-08-03 00:00:00,HBB/USDT,0.2492,0.27,0.222,0.2331,1447189.4193,351330.97689878
1659398400,2022-08-02 00:00:00,HBB/USDT,0.2312,0.2859,0.2204,0.2492,1775122.62881461,441771.317540172005
1659312000,2022-08-01 00:00:00,HBB/USDT,0.2184,0.24,0.2092,0.2307,822493.0098,181868.74278187
1659225600,2022-07-31 00:00:00,HBB/USDT,0.2145,0.2305,0.209,0.2196,681086.285,148737.72076284
1659139200,2022-07-30 00:00:00,HBB/USDT,0.2147,0.2198,0.2044,0.2155,612812.3172,129210.52890773
1659052800,2022-07-29 00:00:00,HBB/USDT,0.2152,0.2241,0.21,0.2146,568766.9583,122765.9176104
1658966400,2022-07-28 00:00:00,HBB/USDT,0.2125,0.2241,0.2044,0.2153,691753.4593,146780.3703702
1658880000,2022-07-27 00:00:00,HBB/USDT,0.209,0.2219,0.208,0.2123,561219.2579,119216.90708574
1658793600,2022-07-26 00:00:00,HBB/USDT,0.2126,0.2159,0.2038,0.209,423121.6902,88735.503529
1658707200,2022-07-25 00:00:00,HBB/USDT,0.2376,0.2377,0.2017,0.2127,640733.68752619,139826.148317009179
1658620800,2022-07-24 00:00:00,HBB/USDT,0.239,0.2475,0.2334,0.2376,404160.291,96665.84386206
1658534400,2022-07-23 00:00:00,HBB/USDT,0.2523,0.2542,0.237,0.2395,432372.6343,105558.73488143
1658448000,2022-07-22 00:00:00,HBB/USDT,0.2417,0.2639,0.2378,0.2527,571252.58464224,143370.609506571024
1658361600,2022-07-21 00:00:00,HBB/USDT,0.2435,0.2485,0.2376,0.2415,388737.5299,94376.60979252
1658275200,2022-07-20 00:00:00,HBB/USDT,0.2629,0.2629,0.2381,0.2432,426884.18262253,107395.347364809684
1658188800,2022-07-19 00:00:00,HBB/USDT,0.2679,0.2747,0.2528,0.2628,545453.57476383,142852.389593656805
1658102400,2022-07-18 00:00:00,HBB/USDT,0.2709,0.32,0.2571,0.2675,726802.82292835,198875.136696797076
1658016000,2022-07-17 00:00:00,HBB/USDT,0.2556,0.2945,0.2494,0.2709,811832.91837427,219605.782176187229
1657929600,2022-07-16 00:00:00,HBB/USDT,0.2516,0.2658,0.2429,0.2545,475737.59537104,119391.942036311086
1657843200,2022-07-15 00:00:00,HBB/USDT,0.2614,0.2644,0.2412,0.2516,502805.94373235,125238.69768239502
1657756800,2022-07-14 00:00:00,HBB/USDT,0.243,0.266,0.2379,0.26,572452.74252847,143234.44143731405
1657670400,2022-07-13 00:00:00,HBB/USDT,0.249,0.2681,0.2344,0.2429,581623.22904217,144191.060948870651
1657584000,2022-07-12 00:00:00,HBB/USDT,0.2471,0.2584,0.2442,0.249,413584.96503379,103368.413279358307
1657497600,2022-07-11 00:00:00,HBB/USDT,0.2514,0.2576,0.244,0.2475,442783.47341265,110634.337687271192
1657411200,2022-07-10 00:00:00,HBB/USDT,0.2661,0.2671,0.2502,0.2511,431494.00090659,111046.14283379954
1657324800,2022-07-09 00:00:00,HBB/USDT,0.2731,0.2741,0.2629,0.2659,413497.25192603,110645.17821727759
1657238400,2022-07-08 00:00:00,HBB/USDT,0.2754,0.2905,0.2626,0.2737,479748.93591808,133988.082914072819
1657152000,2022-07-07 00:00:00,HBB/USDT,0.2727,0.3253,0.2667,0.2772,1144855.42778873,335229.65044905901
1657065600,2022-07-06 00:00:00,HBB/USDT,0.2607,0.3,0.2503,0.2734,922822.83144227,245692.156643539436
1656979200,2022-07-05 00:00:00,HBB/USDT,0.2527,0.2759,0.2344,0.261,870488.46070259,220864.686357693437
1656892800,2022-07-04 00:00:00,HBB/USDT,0.241,0.2693,0.2396,0.2542,678621.43721505,171115.727093228167
1656806400,2022-07-03 00:00:00,HBB/USDT,0.2423,0.2596,0.2327,0.2412,453900.1970359,109135.152056699898
1656720000,2022-07-02 00:00:00,HBB/USDT,0.2491,0.2512,0.2303,0.2421,554762.71024243,134181.910365809304
1656633600,2022-07-01 00:00:00,HBB/USDT,0.2741,0.2763,0.2387,0.2497,570437.33907753,148412.913169613798
1656547200,2022-06-30 00:00:00,HBB/USDT,0.3038,0.3098,0.2582,0.2741,480641.25911691,136830.331317765542
1656460800,2022-06-29 00:00:00,HBB/USDT,0.3157,0.3196,0.29,0.3048,482739.83842555,149424.106605488636
1656374400,2022-06-28 00:00:00,HBB/USDT,0.3389,0.3407,0.3112,0.3159,442193.42466415,145394.539360781938
1656288000,2022-06-27 00:00:00,HBB/USDT,0.3406,0.3457,0.3224,0.3388,453302.33327843,151337.804219557316
1656201600,2022-06-26 00:00:00,HBB/USDT,0.3358,0.38,0.332,0.3399,743720.31692263,260751.293001236515
1656115200,2022-06-25 00:00:00,HBB/USDT,0.3333,0.3376,0.3212,0.3372,367625.78491915,121508.869401328116
1656028800,2022-06-24 00:00:00,HBB/USDT,0.325,0.3407,0.3204,0.3312,440762.78240383,145353.519608768565
1655942400,2022-06-23 00:00:00,HBB/USDT,0.3084,0.325,0.3051,0.325,437595.52499265,136305.93580720076
