https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOL,Volume USDT
1663462800,2022-09-18 01:00:00,SOL/USDT,33.668,33.744,33.658,33.739,2435.32836235,82084.91187330753
1663459200,2022-09-18 00:00:00,SOL/USDT,33.694,33.785,33.42,33.67,22415.32596581,753481.37783216684
1663455600,2022-09-17 23:00:00,SOL/USDT,33.599,33.893,33.569,33.678,19776.88536715,666447.99219682837
1663452000,2022-09-17 22:00:00,SOL/USDT,33.25,33.641,33.223,33.593,13394.68365373,449128.75132435868
1663448400,2022-09-17 21:00:00,SOL/USDT,33.417,33.429,33.189,33.252,12685.68399794,422332.4561562494
1663444800,2022-09-17 20:00:00,SOL/USDT,33.265,33.416,33.212,33.411,14881.52224932,495620.27295485779
1663441200,2022-09-17 19:00:00,SOL/USDT,33.197,33.274,33.106,33.258,10713.74169999,355338.99724039753
1663437600,2022-09-17 18:00:00,SOL/USDT,33.236,33.303,33.181,33.195,9009.14998753,299571.18784015614
1663434000,2022-09-17 17:00:00,SOL/USDT,33.359,33.589,33.18,33.25,13682.39287433,456524.36415729549
1663430400,2022-09-17 16:00:00,SOL/USDT,33.297,33.612,33.27,33.354,29080.28488389,971159.74948113196
1663426800,2022-09-17 15:00:00,SOL/USDT,33.225,33.318,33.058,33.296,9478.89951769,314463.40556659042
1663423200,2022-09-17 14:00:00,SOL/USDT,32.794,33.255,32.794,33.226,20764.23601374,685422.39938031585
1663419600,2022-09-17 13:00:00,SOL/USDT,32.801,32.846,32.713,32.801,9951.87880027,326235.75014710605
1663416000,2022-09-17 12:00:00,SOL/USDT,32.628,32.829,32.529,32.802,4583.75584023,149801.9121116799
1663412400,2022-09-17 11:00:00,SOL/USDT,32.82,32.841,32.62,32.629,6663.97835302,218326.43009302299
1663408800,2022-09-17 10:00:00,SOL/USDT,32.925,32.986,32.683,32.822,14226.97307507,467378.83580022998
1663405200,2022-09-17 09:00:00,SOL/USDT,32.906,32.942,32.844,32.915,5146.90653753,169288.48887636053
1663401600,2022-09-17 08:00:00,SOL/USDT,32.851,32.915,32.835,32.901,5605.83159798,184321.12888499344
1663398000,2022-09-17 07:00:00,SOL/USDT,32.674,32.865,32.593,32.844,5109.60477969,167155.08585378554
1663394400,2022-09-17 06:00:00,SOL/USDT,32.701,32.723,32.538,32.674,4991.75871188,163013.51630046571
1663390800,2022-09-17 05:00:00,SOL/USDT,32.87,32.87,32.606,32.702,4045.34784152,132349.01144842158
1663387200,2022-09-17 04:00:00,SOL/USDT,32.686,33.071,32.684,32.875,8779.8488084,288789.3053183233
1663383600,2022-09-17 03:00:00,SOL/USDT,32.701,32.769,32.664,32.686,10647.85067371,348227.52178731642
1663380000,2022-09-17 02:00:00,SOL/USDT,32.856,32.914,32.648,32.709,9033.03117649,296072.39007455008
1663376400,2022-09-17 01:00:00,SOL/USDT,32.718,32.876,32.674,32.876,7601.50509665,249094.46334258945
1663372800,2022-09-17 00:00:00,SOL/USDT,32.247,32.967,32.229,32.722,17548.32942489,572357.38744792295
1663369200,2022-09-16 23:00:00,SOL/USDT,32.087,32.253,32.072,32.248,10321.02742467,331679.68062494914
1663365600,2022-09-16 22:00:00,SOL/USDT,32.22,32.31,32.057,32.085,9159.91800843,295122.45106918501
