https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SLCL,Volume USDT
1663459200,2022-09-18 00:00:00,SLCL/USDT,0.0535,0.0538,0.0535,0.0538,1699.5138,91.20499898
1663455600,2022-09-17 23:00:00,SLCL/USDT,0.0533,0.0535,0.0533,0.0535,2341,124.99426495
1663452000,2022-09-17 22:00:00,SLCL/USDT,0.0532,0.0532,0.0532,0.0532,0,0
1663448400,2022-09-17 21:00:00,SLCL/USDT,0.0532,0.0532,0.053,0.0532,3770.3539,200.58202748
1663444800,2022-09-17 20:00:00,SLCL/USDT,0.0533,0.0533,0.0533,0.0533,2.7359,0.14582347
1663441200,2022-09-17 19:00:00,SLCL/USDT,0.0537,0.0537,0.0529,0.0532,8100.8687,432.10693275
1663437600,2022-09-17 18:00:00,SLCL/USDT,0.0535,0.054,0.0535,0.054,3220.1819,173.24300431
1663434000,2022-09-17 17:00:00,SLCL/USDT,0.0534,0.0535,0.0532,0.0532,1716.4122,91.63896332
1663430400,2022-09-17 16:00:00,SLCL/USDT,0.0531,0.0534,0.053,0.0534,1986.3917,105.6585601
1663426800,2022-09-17 15:00:00,SLCL/USDT,0.0531,0.0531,0.0531,0.0531,104,5.5224
1663423200,2022-09-17 14:00:00,SLCL/USDT,0.0531,0.0531,0.0531,0.0531,242,12.8502
1663419600,2022-09-17 13:00:00,SLCL/USDT,0.0534,0.0534,0.0534,0.0534,0,0
1663416000,2022-09-17 12:00:00,SLCL/USDT,0.0531,0.0534,0.0531,0.0534,135.0862,7.21240308
1663412400,2022-09-17 11:00:00,SLCL/USDT,0.0535,0.0538,0.053,0.0533,10970.3038,584.23569447
1663408800,2022-09-17 10:00:00,SLCL/USDT,0.0538,0.0538,0.0535,0.0535,194.4037,10.45771906
1663405200,2022-09-17 09:00:00,SLCL/USDT,0.0537,0.0538,0.0535,0.0535,1115.6355,59.94937854
1663401600,2022-09-17 08:00:00,SLCL/USDT,0.0539,0.0539,0.0534,0.0534,25206.5099,1347.67193238
1663398000,2022-09-17 07:00:00,SLCL/USDT,0.0536,0.0539,0.0536,0.0537,3439.4605,184.93419342
1663394400,2022-09-17 06:00:00,SLCL/USDT,0.0538,0.0538,0.0534,0.0534,32000.6982,1711.91023884
1663390800,2022-09-17 05:00:00,SLCL/USDT,0.0538,0.054,0.0538,0.0538,2248.2294,121.06602886
1663387200,2022-09-17 04:00:00,SLCL/USDT,0.0541,0.0541,0.0538,0.0538,549.3989,29.63214747
1663383600,2022-09-17 03:00:00,SLCL/USDT,0.0538,0.0538,0.0538,0.0538,0,0
1663380000,2022-09-17 02:00:00,SLCL/USDT,0.0543,0.0543,0.0537,0.0538,22593.4953,1218.09769076
