https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETHO,Volume USDT
1663372800,2022-09-17 00:00:00,ETHO/USDT,0.02788,0.02793,0.02764,0.02793,1971.3025,54.595168881
1663286400,2022-09-16 00:00:00,ETHO/USDT,0.02785,0.02876,0.026,0.02772,554882.4524,15193.970549613
1663200000,2022-09-15 00:00:00,ETHO/USDT,0.02696,0.03054,0.02634,0.02787,989353.2609,28204.518694049
1663113600,2022-09-14 00:00:00,ETHO/USDT,0.02719,0.02848,0.02534,0.02696,589647.7829,15874.141824157
1663027200,2022-09-13 00:00:00,ETHO/USDT,0.02724,0.02836,0.02533,0.02719,1512912.0773,40116.753824682
1662940800,2022-09-12 00:00:00,ETHO/USDT,0.0267,0.03118,0.02658,0.02724,1235506.1073,35505.64641612
1662854400,2022-09-11 00:00:00,ETHO/USDT,0.02762,0.0314,0.0264,0.02668,2008362.6876,58529.474209274
1662768000,2022-09-10 00:00:00,ETHO/USDT,0.02655,0.02814,0.02572,0.02766,354498.9407,9473.48597129
1662681600,2022-09-09 00:00:00,ETHO/USDT,0.02613,0.02858,0.02447,0.02655,1414531.3845,37996.542893822
1662595200,2022-09-08 00:00:00,ETHO/USDT,0.02493,0.02731,0.0249,0.02632,699377.0556,17895.141663916
1662508800,2022-09-07 00:00:00,ETHO/USDT,0.02543,0.02694,0.02456,0.02476,1497320.404,38208.182690089
1662422400,2022-09-06 00:00:00,ETHO/USDT,0.02798,0.02878,0.02521,0.02564,4442064.3723,117945.72999855
1662336000,2022-09-05 00:00:00,ETHO/USDT,0.026,0.0288,0.02585,0.028,657583.3551,18061.085763421
1662249600,2022-09-04 00:00:00,ETHO/USDT,0.02652,0.02717,0.02501,0.02603,406107.8602,10535.095564862
1662163200,2022-09-03 00:00:00,ETHO/USDT,0.02632,0.02698,0.02538,0.02652,272603.5456,7141.585366989
1662076800,2022-09-02 00:00:00,ETHO/USDT,0.02756,0.02761,0.02487,0.0263,803965.5625,21024.975896339
1661990400,2022-09-01 00:00:00,ETHO/USDT,0.02474,0.03244,0.02452,0.02754,4071436.35145971,114891.4863559876975
1661904000,2022-08-31 00:00:00,ETHO/USDT,0.02499,0.02556,0.02434,0.02455,139539.7434129,3480.8257114040612
1661817600,2022-08-30 00:00:00,ETHO/USDT,0.0263,0.0279,0.0244,0.02478,430414.89703848,11176.6960811693864
1661731200,2022-08-29 00:00:00,ETHO/USDT,0.02601,0.02675,0.024,0.0263,668432.41414027,16771.9667868377271
1661644800,2022-08-28 00:00:00,ETHO/USDT,0.02642,0.02707,0.02519,0.02602,408694.17596891,10679.5897976042664
1661558400,2022-08-27 00:00:00,ETHO/USDT,0.02814,0.02818,0.026,0.02625,305784.46783243,8091.2442659501795
1661472000,2022-08-26 00:00:00,ETHO/USDT,0.02792,0.02893,0.02681,0.02788,650564.34849405,18080.2569246076547
1661385600,2022-08-25 00:00:00,ETHO/USDT,0.02901,0.02958,0.02736,0.0279,298107.95606432,8555.502304903101
1661299200,2022-08-24 00:00:00,ETHO/USDT,0.02895,0.02949,0.02732,0.02901,756117.94294348,21235.6216050365389
1661212800,2022-08-23 00:00:00,ETHO/USDT,0.0293,0.02947,0.02737,0.02899,491913.85927741,13984.0183306433148
1661126400,2022-08-22 00:00:00,ETHO/USDT,0.0293,0.03051,0.02788,0.0291,933424.57863747,27197.9594753902528
1661040000,2022-08-21 00:00:00,ETHO/USDT,0.02937,0.03131,0.02887,0.0293,1179438.72282107,35658.0605526451823
1660953600,2022-08-20 00:00:00,ETHO/USDT,0.0293,0.0299,0.02834,0.02918,590265.0545261,17211.2095820917311
1660867200,2022-08-19 00:00:00,ETHO/USDT,0.0326,0.03324,0.0283,0.029,1515816.98451975,45685.5123249217005
1660780800,2022-08-18 00:00:00,ETHO/USDT,0.03401,0.03515,0.032,0.0325,1407746.38032829,46905.2144563107184
1660694400,2022-08-17 00:00:00,ETHO/USDT,0.0419,0.04409,0.03308,0.03401,5898946.99034177,220247.2072509598619
