https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XPR,Volume USDT
1663459200,2022-09-18 00:00:00,XPR/USDT,0.002848,0.002851,0.002812,0.002839,49305118.18549864,139712.53384521998726
1663372800,2022-09-17 00:00:00,XPR/USDT,0.002807,0.002908,0.002795,0.002846,1208823057.33624929,3431998.63897791175642
1663286400,2022-09-16 00:00:00,XPR/USDT,0.002756,0.002878,0.0027,0.002807,1649924814.01395617,4579695.57543439883356
1663200000,2022-09-15 00:00:00,XPR/USDT,0.002869,0.003082,0.002754,0.002756,1803397239.33894212,5261383.88021908174294
1663113600,2022-09-14 00:00:00,XPR/USDT,0.002831,0.003017,0.00272,0.002872,1899682902.0942916,5497618.53821001497313
1663027200,2022-09-13 00:00:00,XPR/USDT,0.003101,0.003268,0.00282,0.002827,1416980906.79685205,4266714.65586637714165
1662940800,2022-09-12 00:00:00,XPR/USDT,0.002899,0.003369,0.002834,0.003106,960783737.96782295,2939367.54620203136302
1662854400,2022-09-11 00:00:00,XPR/USDT,0.002909,0.003075,0.00281,0.002904,556924773.86974441,1614406.55215787428755
1662768000,2022-09-10 00:00:00,XPR/USDT,0.002898,0.003012,0.00284,0.002911,267340923.50679318,778325.18779806343495
1662681600,2022-09-09 00:00:00,XPR/USDT,0.002725,0.003018,0.002721,0.002899,376656156.41888912,1066043.92061082172472
1662595200,2022-09-08 00:00:00,XPR/USDT,0.002773,0.002786,0.00264,0.002728,968776032.86701742,2625959.9536430702579
1662508800,2022-09-07 00:00:00,XPR/USDT,0.002762,0.002872,0.00265,0.002775,763288222.12200899,2092358.34133007550772
1662422400,2022-09-06 00:00:00,XPR/USDT,0.002931,0.003199,0.002745,0.002767,896594972.1778955,2603892.56922450544597
1662336000,2022-09-05 00:00:00,XPR/USDT,0.002946,0.003201,0.00283,0.002935,615536842.18386875,1815983.41825157396935
1662249600,2022-09-04 00:00:00,XPR/USDT,0.002941,0.00298,0.002875,0.002943,344252472.02718129,1003307.6094939415113
1662163200,2022-09-03 00:00:00,XPR/USDT,0.002991,0.00309,0.0029,0.002948,247987514.59651273,731907.15609378266335
1662076800,2022-09-02 00:00:00,XPR/USDT,0.002876,0.003215,0.002801,0.002989,407529300.43578745,1190037.59741383792535
1661990400,2022-09-01 00:00:00,XPR/USDT,0.002987,0.002996,0.002765,0.002879,350350361.41684969,1008405.24151220556541
1661904000,2022-08-31 00:00:00,XPR/USDT,0.002998,0.003089,0.002921,0.002994,355574824.53180306,1068667.51024586796269
1661817600,2022-08-30 00:00:00,XPR/USDT,0.003235,0.003238,0.00292,0.002993,354773516.01253463,1087102.85299383341203
1661731200,2022-08-29 00:00:00,XPR/USDT,0.002991,0.003257,0.002921,0.003238,442432795.9440571,1344065.88524967464275
1661644800,2022-08-28 00:00:00,XPR/USDT,0.00304,0.003161,0.00297,0.002987,386682012.45026381,1179124.43479916147246
1661558400,2022-08-27 00:00:00,XPR/USDT,0.003119,0.003339,0.00299,0.003041,333675637.23220606,1029591.80902800942051
1661472000,2022-08-26 00:00:00,XPR/USDT,0.0035,0.00356,0.003101,0.00312,523738615.84309131,1782857.04915224987601
1661385600,2022-08-25 00:00:00,XPR/USDT,0.003431,0.003604,0.003415,0.003495,225570474.27314399,789869.34362060832913
1661299200,2022-08-24 00:00:00,XPR/USDT,0.003619,0.00366,0.0034,0.003426,286219337.03981375,1003828.49195447574754
1661212800,2022-08-23 00:00:00,XPR/USDT,0.003504,0.0038,0.003258,0.003625,345830028.08713364,1233295.40052049364786
1661126400,2022-08-22 00:00:00,XPR/USDT,0.003743,0.003744,0.003409,0.003502,327094617.69120935,1156343.74211918000574
1661040000,2022-08-21 00:00:00,XPR/USDT,0.003387,0.004134,0.00338,0.003742,368859944.47454634,1392365.74964847942943
1660953600,2022-08-20 00:00:00,XPR/USDT,0.00332,0.003615,0.003311,0.003393,233864942.50539434,796205.84420184676802
1660867200,2022-08-19 00:00:00,XPR/USDT,0.00374,0.003768,0.003279,0.003321,262305259.10671407,913191.05468935371676
1660780800,2022-08-18 00:00:00,XPR/USDT,0.003927,0.0042,0.003715,0.003748,312219532.99777136,1229766.57276266238722
1660694400,2022-08-17 00:00:00,XPR/USDT,0.004097,0.00443,0.003836,0.003936,450306874.37069564,1840368.8462298064037
1660608000,2022-08-16 00:00:00,XPR/USDT,0.004233,0.004373,0.004014,0.004101,272480531.2230505,1120880.57147817970509
1660521600,2022-08-15 00:00:00,XPR/USDT,0.004185,0.004653,0.004132,0.004238,322240569.83148234,1385229.16319937787512
1660435200,2022-08-14 00:00:00,XPR/USDT,0.004631,0.004703,0.004136,0.00419,410901208.45015991,1826171.98893711563448
