https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SKU,Volume USDT
1663459200,2022-09-18 00:00:00,SKU/USDT,0.01925,0.01947,0.01916,0.01932,81719.7374,1572.619551672
1663372800,2022-09-17 00:00:00,SKU/USDT,0.01826,0.0245,0.01822,0.01919,7099283.2813,143727.889834236
1663286400,2022-09-16 00:00:00,SKU/USDT,0.01826,0.01849,0.01795,0.01824,4338164.391,78906.540690822
1663200000,2022-09-15 00:00:00,SKU/USDT,0.01799,0.01909,0.01794,0.01822,6158957.829,112097.218759355
1663113600,2022-09-14 00:00:00,SKU/USDT,0.01755,0.01909,0.01737,0.01796,5704483.3334,102487.235224925
1663027200,2022-09-13 00:00:00,SKU/USDT,0.01763,0.0179,0.017,0.01749,11660299.5347,201670.086532191
1662940800,2022-09-12 00:00:00,SKU/USDT,0.02052,0.02199,0.01725,0.01757,7914746.1287,150620.828258247
1662854400,2022-09-11 00:00:00,SKU/USDT,0.01697,0.022,0.01686,0.0205,6392977.3155,119378.922057142
1662768000,2022-09-10 00:00:00,SKU/USDT,0.01706,0.01767,0.01641,0.01699,3557963.847,59992.473759225
1662681600,2022-09-09 00:00:00,SKU/USDT,0.01661,0.01747,0.01659,0.01707,8526442.8992,144306.773350354
1662595200,2022-09-08 00:00:00,SKU/USDT,0.01751,0.01756,0.01657,0.01661,4662643.3839,79257.737694415
1662508800,2022-09-07 00:00:00,SKU/USDT,0.01715,0.02482,0.01659,0.01751,10732993.8423,205617.801456216
1662422400,2022-09-06 00:00:00,SKU/USDT,0.01739,0.01839,0.01657,0.01716,9019816.6804,156360.061322427
1662336000,2022-09-05 00:00:00,SKU/USDT,0.01634,0.01808,0.01594,0.01742,4546036.2683,76165.192386388
1662249600,2022-09-04 00:00:00,SKU/USDT,0.01659,0.01692,0.0162,0.01634,3303072.1978,54487.669917535
1662163200,2022-09-03 00:00:00,SKU/USDT,0.01783,0.01784,0.01591,0.01667,3450937.1051,58741.194461538
1662076800,2022-09-02 00:00:00,SKU/USDT,0.01944,0.01989,0.01708,0.01781,5187780.1045037,96382.439398276337
1661990400,2022-09-01 00:00:00,SKU/USDT,0.01711,0.0206,0.0171,0.01948,6473410.202,119717.322473438
1661904000,2022-08-31 00:00:00,SKU/USDT,0.01847,0.01847,0.01667,0.01725,3994044.1884,69201.657538236
