https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PBR,Volume USDT
1663459200,2022-09-18 00:00:00,PBR/USDT,0.06279,0.063,0.06233,0.06295,26079.7978,1634.630197864
1663372800,2022-09-17 00:00:00,PBR/USDT,0.06326,0.06692,0.05916,0.06279,1712301.0223,110789.972922069
1663286400,2022-09-16 00:00:00,PBR/USDT,0.06563,0.06749,0.06191,0.06353,1336899.3223,87508.209465678
1663200000,2022-09-15 00:00:00,PBR/USDT,0.06588,0.0681,0.0637,0.06521,1366683.0122,89953.92041217
1663113600,2022-09-14 00:00:00,PBR/USDT,0.068,0.0697,0.0638,0.0662,1346220.482,88349.41448785
1663027200,2022-09-13 00:00:00,PBR/USDT,0.07338,0.07694,0.065,0.068,1543627.4766,108939.707564195
1662940800,2022-09-12 00:00:00,PBR/USDT,0.07443,0.07926,0.0711,0.07351,1372011.539,102810.547357498
1662854400,2022-09-11 00:00:00,PBR/USDT,0.08178,0.0853,0.0725,0.07451,1467909.0329,115749.428097187
1662768000,2022-09-10 00:00:00,PBR/USDT,0.0719,0.0927,0.0718,0.08178,1637497.0632,129554.894126956
1662681600,2022-09-09 00:00:00,PBR/USDT,0.06442,0.0719,0.0639,0.07184,1575942.4443,106415.830501864
1662595200,2022-09-08 00:00:00,PBR/USDT,0.06594,0.066,0.06267,0.0648,737029.0733,47365.40107325
1662508800,2022-09-07 00:00:00,PBR/USDT,0.06402,0.0672,0.061,0.06596,1740474.0366,109836.695339206
1662422400,2022-09-06 00:00:00,PBR/USDT,0.0655,0.07018,0.06211,0.06398,557107.6666,37069.430446629
1662336000,2022-09-05 00:00:00,PBR/USDT,0.06644,0.06793,0.06411,0.0655,434782.2948,28700.973001455
1662249600,2022-09-04 00:00:00,PBR/USDT,0.06797,0.0718,0.06401,0.067,705553.5443,47537.961096662
1662163200,2022-09-03 00:00:00,PBR/USDT,0.0669,0.072,0.065,0.0686,1033817.5579,71326.448528011
1662076800,2022-09-02 00:00:00,PBR/USDT,0.06558,0.0727,0.06481,0.0669,609066.7328,41890.876199226
1661990400,2022-09-01 00:00:00,PBR/USDT,0.0694,0.06994,0.06406,0.06618,638778.4245,42616.144639076
1661904000,2022-08-31 00:00:00,PBR/USDT,0.07187,0.07399,0.06861,0.069,654269.4412,46510.903553788
1661817600,2022-08-30 00:00:00,PBR/USDT,0.0722,0.07589,0.0703,0.0718,476777.2445,34704.349851378
1661731200,2022-08-29 00:00:00,PBR/USDT,0.0741,0.0781,0.0701,0.07266,655465.3074,47490.839820914
1661644800,2022-08-28 00:00:00,PBR/USDT,0.073,0.07636,0.07141,0.0741,646934.5748,47515.017925585
1661558400,2022-08-27 00:00:00,PBR/USDT,0.07254,0.082,0.071,0.0735,1055957.1845,78844.034084565
1661472000,2022-08-26 00:00:00,PBR/USDT,0.0814,0.095,0.07193,0.07254,2549057.6571,212246.457404951
1661385600,2022-08-25 00:00:00,PBR/USDT,0.076,0.08531,0.07423,0.08186,1777984.8403,140857.115397902
1661299200,2022-08-24 00:00:00,PBR/USDT,0.08784,0.08913,0.0693,0.0763,3985532.9896,310199.652327248
1661212800,2022-08-23 00:00:00,PBR/USDT,0.10555,0.1076,0.08511,0.0878,2246099.6075,204348.29912688
1661126400,2022-08-22 00:00:00,PBR/USDT,0.1199,0.13786,0.08972,0.10559,2590745.1401,276665.468076619
1661040000,2022-08-21 00:00:00,PBR/USDT,0.11068,0.13069,0.109,0.1199,1369041.72842175,162443.209844708325
1660953600,2022-08-20 00:00:00,PBR/USDT,0.11776,0.1445,0.10421,0.1108,2686185.2398,324845.457490052
1660867200,2022-08-19 00:00:00,PBR/USDT,0.16011,0.16013,0.1138,0.11771,5920291.59030208,746116.153422502704
1660780800,2022-08-18 00:00:00,PBR/USDT,0.156,0.2,0.1528,0.16011,2254717.7191,388604.958222469
1660694400,2022-08-17 00:00:00,PBR/USDT,0.16919,0.18033,0.14737,0.156,1883564.6463,306861.684849237
1660608000,2022-08-16 00:00:00,PBR/USDT,0.1385,0.1899,0.13464,0.16919,2987253.6918,471656.514505243
1660521600,2022-08-15 00:00:00,PBR/USDT,0.1211,0.14228,0.1194,0.1385,2010430.1076,257152.975921165
1660435200,2022-08-14 00:00:00,PBR/USDT,0.12191,0.13383,0.11791,0.1211,1433135.1912,179670.752884055
1660348800,2022-08-13 00:00:00,PBR/USDT,0.13489,0.1397,0.1162,0.12206,1375106.9869,176046.182271558
1660262400,2022-08-12 00:00:00,PBR/USDT,0.1472,0.175,0.1239,0.1359,4227396.3133,614439.658051404
1660176000,2022-08-11 00:00:00,PBR/USDT,0.10244,0.16342,0.10132,0.1475,3104384.08458429,385224.153558470837
1660089600,2022-08-10 00:00:00,PBR/USDT,0.08601,0.11495,0.08302,0.10176,1887345.53473409,186282.2689974267373
1660003200,2022-08-09 00:00:00,PBR/USDT,0.085,0.09072,0.07993,0.08602,885614.0478,74134.467557254
1659916800,2022-08-08 00:00:00,PBR/USDT,0.08526,0.097,0.08175,0.08508,1475944.6199,129245.387060754
1659830400,2022-08-07 00:00:00,PBR/USDT,0.0758,0.09037,0.0726,0.08526,1830011.6827,151613.648122781
1659744000,2022-08-06 00:00:00,PBR/USDT,0.0746,0.07644,0.07223,0.07629,527016.1257,39529.785736838
1659657600,2022-08-05 00:00:00,PBR/USDT,0.0685,0.08439,0.06702,0.0746,2834368.8656,216680.767255748
