https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ILV,Volume USDT
1663462800,2022-09-18 01:00:00,ILV/USDT,63.397,63.453,63.225,63.225,0.3665,23.2327344
1663459200,2022-09-18 00:00:00,ILV/USDT,64.234,64.234,63.164,63.578,59.02456807,3747.53180370838
1663455600,2022-09-17 23:00:00,ILV/USDT,63.993,64.235,63.79,64.061,43.15850087,2765.0084579304
1663452000,2022-09-17 22:00:00,ILV/USDT,63.222,64,63.222,63.79,108.5669602,6921.25496870758
1663448400,2022-09-17 21:00:00,ILV/USDT,63.597,63.82,63.032,63.222,48.30386503,3062.25235558356
1663444800,2022-09-17 20:00:00,ILV/USDT,63.881,64.004,63.609,63.876,46.03389136,2933.93764102338
1663441200,2022-09-17 19:00:00,ILV/USDT,64.426,64.426,63.619,63.99,35.2918721,2255.47503703472
1663437600,2022-09-17 18:00:00,ILV/USDT,64.115,64.858,64.005,64.256,85.47010189,5504.9525848045
1663434000,2022-09-17 17:00:00,ILV/USDT,64.373,64.512,63.758,63.831,64.73988091,4148.31336980443
1663430400,2022-09-17 16:00:00,ILV/USDT,63.776,64.871,63.58,64.226,64.65107492,4159.07878095982
1663426800,2022-09-17 15:00:00,ILV/USDT,63.692,64.042,63.558,63.692,52.58492554,3353.67494792159
1663423200,2022-09-17 14:00:00,ILV/USDT,63.349,63.763,63.109,63.564,121.65512821,7713.48325754147
1663419600,2022-09-17 13:00:00,ILV/USDT,63.592,63.592,63.3,63.349,3.78292355,239.96340106167
1663416000,2022-09-17 12:00:00,ILV/USDT,63.177,63.585,62.838,63.585,41.30664647,2608.3149861814
1663412400,2022-09-17 11:00:00,ILV/USDT,63.57,63.639,63.031,63.296,117.84524437,7454.11434125529
1663408800,2022-09-17 10:00:00,ILV/USDT,63.565,63.944,63.131,63.57,99.34826756,6313.40464674299
1663405200,2022-09-17 09:00:00,ILV/USDT,63.624,63.998,63.255,63.694,132.06602708,8402.19648695465
1663401600,2022-09-17 08:00:00,ILV/USDT,63.669,64.41,63.427,63.784,60.22787581,3841.10807218842
1663398000,2022-09-17 07:00:00,ILV/USDT,63.406,63.692,63.22,63.438,51.53357073,3267.20975494257
1663394400,2022-09-17 06:00:00,ILV/USDT,63.358,63.692,62.973,63.692,63.40796872,4018.31971844508
1663390800,2022-09-17 05:00:00,ILV/USDT,63.918,63.918,63.157,63.492,56.80519162,3603.34380702489
1663387200,2022-09-17 04:00:00,ILV/USDT,63.428,64.118,63.407,64.08,54.37497709,3475.14189854532
1663383600,2022-09-17 03:00:00,ILV/USDT,63.446,63.508,63.257,63.451,23.31742933,1477.75952869739
1663380000,2022-09-17 02:00:00,ILV/USDT,63.89,63.942,63.22,63.436,33.75332016,2139.88331609692
1663376400,2022-09-17 01:00:00,ILV/USDT,64.334,64.412,63.707,63.908,81.36664146,5207.91667145543
1663372800,2022-09-17 00:00:00,ILV/USDT,64.26,64.9,64.061,64.384,40.66502787,2626.47719779796
1663369200,2022-09-16 23:00:00,ILV/USDT,64.324,64.324,63.785,64.065,92.34506797,5922.2109695952
1663365600,2022-09-16 22:00:00,ILV/USDT,64.561,64.604,64.211,64.324,34.50128342,2220.19163242382
1663362000,2022-09-16 21:00:00,ILV/USDT,64.586,64.772,64.41,64.488,33.25846669,2143.38739598539
1663358400,2022-09-16 20:00:00,ILV/USDT,64.287,64.858,64.271,64.763,99.60464091,6442.53317007154
1663354800,2022-09-16 19:00:00,ILV/USDT,64.605,64.9,64.269,64.296,108.91701967,7039.43674119223
1663351200,2022-09-16 18:00:00,ILV/USDT,64.113,64.637,63.662,64.493,138.44451,8919.90225019497
1663347600,2022-09-16 17:00:00,ILV/USDT,64.303,64.427,63.614,64.113,233.94323623,15005.97773547557
1663344000,2022-09-16 16:00:00,ILV/USDT,64.755,64.883,63.585,64.394,98.60993921,6314.62787131054
1663340400,2022-09-16 15:00:00,ILV/USDT,64.637,65.56,64.5,65.019,108.05482258,7027.99069451173
1663336800,2022-09-16 14:00:00,ILV/USDT,63.798,65.178,63.31,64.839,213.54908125,13733.52741305257
1663333200,2022-09-16 13:00:00,ILV/USDT,64.828,65.324,63.75,63.797,80.46600204,5191.75893585247
1663329600,2022-09-16 12:00:00,ILV/USDT,65.352,65.767,64.716,64.828,63.21307929,4117.52249592411
1663326000,2022-09-16 11:00:00,ILV/USDT,65.3,65.53,65.118,65.521,42.65474875,2786.04726737715
1663322400,2022-09-16 10:00:00,ILV/USDT,65.01,65.541,64.622,65.301,58.96445992,3841.55824289973
1663318800,2022-09-16 09:00:00,ILV/USDT,64.192,65.473,64.192,64.904,64.99857528,4222.79974931036
1663315200,2022-09-16 08:00:00,ILV/USDT,65.538,65.538,64.01,64.348,36.35824299,2354.14237279891
1663311600,2022-09-16 07:00:00,ILV/USDT,65.34,65.703,65.34,65.348,48.38475892,3169.06333431515
1663308000,2022-09-16 06:00:00,ILV/USDT,65.321,65.767,65.181,65.31,37.93894579,2479.098198919
1663304400,2022-09-16 05:00:00,ILV/USDT,65.74,65.74,65.248,65.32,12.9505042,848.17985860504
1663300800,2022-09-16 04:00:00,ILV/USDT,65.431,67.34,65.431,65.876,92.5398738,6120.07578232683
1663297200,2022-09-16 03:00:00,ILV/USDT,65.263,65.456,64.871,65.431,15.56648318,1014.48963907697
1663293600,2022-09-16 02:00:00,ILV/USDT,65.394,65.47,64.568,65.034,92.61251151,6021.11601645992
1663290000,2022-09-16 01:00:00,ILV/USDT,66.071,67.111,64.887,65.394,224.09661186,14800.51720684953
