https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EPX,Volume USDT
1663459200,2022-09-18 00:00:00,EPX/USDT,0.000471,0.000473,0.000467,0.00047,626385.1702,294.3832074208
1663372800,2022-09-17 00:00:00,EPX/USDT,0.00047,0.000483,0.000466,0.000471,9296391.2072,4388.9721161096
1663286400,2022-09-16 00:00:00,EPX/USDT,0.000481,0.000485,0.000461,0.000469,8271994.5218,3883.6980008004
1663200000,2022-09-15 00:00:00,EPX/USDT,0.000499,0.000508,0.000464,0.000481,21154480.8575,10103.1517413342
1663113600,2022-09-14 00:00:00,EPX/USDT,0.000491,0.000509,0.000486,0.000497,10584400.7675,5264.4971514665
1663027200,2022-09-13 00:00:00,EPX/USDT,0.000522,0.000529,0.000488,0.000491,18534971.3281,9317.5897282838
1662940800,2022-09-12 00:00:00,EPX/USDT,0.000531,0.000539,0.000512,0.000522,27747276.9464,14678.5716508782
1662854400,2022-09-11 00:00:00,EPX/USDT,0.00053,0.00055,0.000523,0.000533,15073547.1467,8118.9849811347
1662768000,2022-09-10 00:00:00,EPX/USDT,0.00053,0.000561,0.000523,0.000531,36826648.5235,19796.0003346028
1662681600,2022-09-09 00:00:00,EPX/USDT,0.000507,0.000535,0.000506,0.000529,39264643.7746,20560.8968868814
1662595200,2022-09-08 00:00:00,EPX/USDT,0.000502,0.000517,0.000491,0.000506,16411623.7655,8249.183732588
1662508800,2022-09-07 00:00:00,EPX/USDT,0.000486,0.000514,0.000474,0.000504,15724690.616,7774.1163279632
1662422400,2022-09-06 00:00:00,EPX/USDT,0.000514,0.00056,0.00048,0.000487,46937973.8531,24476.8846561596
1662336000,2022-09-05 00:00:00,EPX/USDT,0.00052,0.000524,0.000507,0.000511,8378790.3327,4275.3159115158
1662249600,2022-09-04 00:00:00,EPX/USDT,0.00051,0.000526,0.000507,0.000517,1856061.0388,953.3765780461
