https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume PRQ
1663549200000,2022-09-19 01:00:00,PRQ/BTC,5.67e-06,5.71e-06,5.63e-06,5.71e-06,0.012556290000000001,2199.0
1663545600000,2022-09-19 00:00:00,PRQ/BTC,5.65e-06,5.71e-06,5.58e-06,5.67e-06,0.0402003,7090.0
1663542000000,2022-09-18 23:00:00,PRQ/BTC,5.7e-06,5.71e-06,5.63e-06,5.64e-06,0.048757800000000004,8645.0
1663538400000,2022-09-18 22:00:00,PRQ/BTC,5.72e-06,5.74e-06,5.56e-06,5.68e-06,0.0359828,6335.0
1663534800000,2022-09-18 21:00:00,PRQ/BTC,5.69e-06,5.73e-06,5.63e-06,5.66e-06,0.0437616875922172,7731.74692442
1663531200000,2022-09-18 20:00:00,PRQ/BTC,5.66e-06,5.69e-06,5.61e-06,5.69e-06,0.04956559,8711.0
1663527600000,2022-09-18 19:00:00,PRQ/BTC,5.62e-06,5.71e-06,5.62e-06,5.66e-06,0.03657492,6462.0
1663524000000,2022-09-18 18:00:00,PRQ/BTC,5.61e-06,5.62e-06,5.58e-06,5.62e-06,0.03826658,6809.0
1663520400000,2022-09-18 17:00:00,PRQ/BTC,5.6e-06,5.61e-06,5.58e-06,5.6e-06,0.0557256,9951.0
1663516800000,2022-09-18 16:00:00,PRQ/BTC,5.61e-06,5.61e-06,5.58e-06,5.59e-06,0.04388709,7851.0
1663513200000,2022-09-18 15:00:00,PRQ/BTC,5.58e-06,5.61e-06,5.58e-06,5.6e-06,0.0502376,8971.0
1663509600000,2022-09-18 14:00:00,PRQ/BTC,5.6e-06,5.61e-06,5.58e-06,5.6e-06,0.044548,7955.0
1663506000000,2022-09-18 13:00:00,PRQ/BTC,5.57e-06,5.6e-06,5.52e-06,5.6e-06,0.047919199999999995,8557.0
1663502400000,2022-09-18 12:00:00,PRQ/BTC,5.52e-06,5.57e-06,5.51e-06,5.57e-06,0.0497373553976504,8929.50725272
1663498800000,2022-09-18 11:00:00,PRQ/BTC,5.53e-06,5.63e-06,5.51e-06,5.57e-06,0.0444833655061885,7986.24156305
1663495200000,2022-09-18 10:00:00,PRQ/BTC,5.61e-06,5.61e-06,5.58e-06,5.6e-06,0.0376376,6721.0
1663491600000,2022-09-18 09:00:00,PRQ/BTC,5.6e-06,5.63e-06,5.58e-06,5.61e-06,0.043801544760197396,7807.76198934
1663488000000,2022-09-18 08:00:00,PRQ/BTC,5.59e-06,5.81e-06,5.57e-06,5.59e-06,0.0549175264047306,9824.24443734
1663484400000,2022-09-18 07:00:00,PRQ/BTC,5.72e-06,5.73e-06,5.56e-06,5.59e-06,0.0602688320563667,10781.54419613
1663480800000,2022-09-18 06:00:00,PRQ/BTC,5.66e-06,5.78e-06,5.66e-06,5.74e-06,0.0455119038754506,7928.90311419
1663477200000,2022-09-18 05:00:00,PRQ/BTC,5.68e-06,5.71e-06,5.66e-06,5.66e-06,0.03248274,5739.0
1663473600000,2022-09-18 04:00:00,PRQ/BTC,5.69e-06,5.71e-06,5.66e-06,5.7e-06,0.047726099999999994,8373.0
1663470000000,2022-09-18 03:00:00,PRQ/BTC,5.7e-06,5.73e-06,5.66e-06,5.68e-06,0.040413199999999996,7115.0
1663466400000,2022-09-18 02:00:00,PRQ/BTC,5.64e-06,5.69e-06,5.63e-06,5.67e-06,0.04391982,7746.0
1663462800000,2022-09-18 01:00:00,PRQ/BTC,5.71e-06,5.73e-06,5.66e-06,5.68e-06,0.05276152,9289.0
1663459200000,2022-09-18 00:00:00,PRQ/BTC,5.71e-06,5.72e-06,5.66e-06,5.68e-06,0.052613839999999995,9263.0
1663455600000,2022-09-17 23:00:00,PRQ/BTC,5.7e-06,5.7e-06,5.64e-06,5.65e-06,0.03487745,6173.0
1663452000000,2022-09-17 22:00:00,PRQ/BTC,5.7e-06,5.71e-06,5.66e-06,5.68e-06,0.055896879999999996,9841.0
1663448400000,2022-09-17 21:00:00,PRQ/BTC,5.69e-06,5.74e-06,5.62e-06,5.73e-06,0.04354227,7599.0
1663444800000,2022-09-17 20:00:00,PRQ/BTC,5.66e-06,5.73e-06,5.6e-06,5.7e-06,0.049704,8720.0
1663441200000,2022-09-17 19:00:00,PRQ/BTC,5.7e-06,5.78e-06,5.67e-06,5.71e-06,0.034736460454677404,6083.44316194
1663437600000,2022-09-17 18:00:00,PRQ/BTC,5.68e-06,5.73e-06,5.67e-06,5.72e-06,0.03764904,6582.0
1663434000000,2022-09-17 17:00:00,PRQ/BTC,5.67e-06,5.74e-06,5.67e-06,5.69e-06,0.052700779999999996,9262.0
1663430400000,2022-09-17 16:00:00,PRQ/BTC,5.82e-06,5.87e-06,5.66e-06,5.72e-06,0.053911,9425.0
1663426800000,2022-09-17 15:00:00,PRQ/BTC,5.76e-06,5.83e-06,5.67e-06,5.8e-06,0.041952354609066,7233.16458777
1663423200000,2022-09-17 14:00:00,PRQ/BTC,5.72e-06,5.84e-06,5.67e-06,5.74e-06,0.04656288,8112.0
1663419600000,2022-09-17 13:00:00,PRQ/BTC,5.81e-06,5.83e-06,5.65e-06,5.82e-06,0.0397797,6835.0
1663416000000,2022-09-17 12:00:00,PRQ/BTC,5.74e-06,5.8e-06,5.63e-06,5.7e-06,0.0417183,7319.0
1663412400000,2022-09-17 11:00:00,PRQ/BTC,5.8e-06,5.82e-06,5.66e-06,5.77e-06,0.03978415,6895.0
1663408800000,2022-09-17 10:00:00,PRQ/BTC,5.76e-06,5.82e-06,5.63e-06,5.67e-06,0.048625919999999996,8576.0
1663405200000,2022-09-17 09:00:00,PRQ/BTC,5.78e-06,5.83e-06,5.64e-06,5.81e-06,0.04675888,8048.0
1663401600000,2022-09-17 08:00:00,PRQ/BTC,5.76e-06,5.83e-06,5.68e-06,5.77e-06,0.055016949999999995,9535.0
1663398000000,2022-09-17 07:00:00,PRQ/BTC,5.81e-06,5.81e-06,5.61e-06,5.67e-06,0.02916081,5143.0
1663394400000,2022-09-17 06:00:00,PRQ/BTC,5.67e-06,5.83e-06,5.66e-06,5.8e-06,0.0497698,8581.0
1663390800000,2022-09-17 05:00:00,PRQ/BTC,5.79e-06,5.82e-06,5.65e-06,5.77e-06,0.05594015,9695.0
1663387200000,2022-09-17 04:00:00,PRQ/BTC,5.77e-06,5.82e-06,5.69e-06,5.75e-06,0.03965775,6897.0
1663383600000,2022-09-17 03:00:00,PRQ/BTC,5.61e-06,5.85e-06,5.61e-06,5.74e-06,0.0417843012793934,7279.49499641
1663380000000,2022-09-17 02:00:00,PRQ/BTC,5.77e-06,5.84e-06,5.73e-06,5.77e-06,0.05168189,8957.0
1663376400000,2022-09-17 01:00:00,PRQ/BTC,5.65e-06,5.77e-06,5.5e-06,5.64e-06,0.0560004120342924,9929.15106991
1663372800000,2022-09-17 00:00:00,PRQ/BTC,5.74e-06,5.85e-06,5.69e-06,5.77e-06,0.04601575,7975.0
1663369200000,2022-09-16 23:00:00,PRQ/BTC,5.82e-06,5.84e-06,5.69e-06,5.81e-06,0.054428080000000004,9368.0
1663365600000,2022-09-16 22:00:00,PRQ/BTC,5.85e-06,5.85e-06,5.69e-06,5.79e-06,0.05305376999999999,9163.0
1663362000000,2022-09-16 21:00:00,PRQ/BTC,5.77e-06,5.84e-06,5.69e-06,5.84e-06,0.0438876,7515.0
1663358400000,2022-09-16 20:00:00,PRQ/BTC,5.8e-06,5.84e-06,5.69e-06,5.8e-06,0.045599600000000004,7862.0
1663354800000,2022-09-16 19:00:00,PRQ/BTC,5.72e-06,5.85e-06,5.71e-06,5.81e-06,0.05737956,9876.0
1663351200000,2022-09-16 18:00:00,PRQ/BTC,5.81e-06,5.84e-06,5.57e-06,5.82e-06,0.04787090263769281,8225.24100304
1663347600000,2022-09-16 17:00:00,PRQ/BTC,5.87e-06,5.95e-06,5.8e-06,5.86e-06,0.042051359999999996,7176.0
1663344000000,2022-09-16 16:00:00,PRQ/BTC,5.91e-06,5.97e-06,5.73e-06,5.92e-06,0.0414992,7010.0
1663340400000,2022-09-16 15:00:00,PRQ/BTC,5.86e-06,5.93e-06,5.79e-06,5.92e-06,0.04320416,7298.0
1663336800000,2022-09-16 14:00:00,PRQ/BTC,6.25e-06,6.25e-06,5.81e-06,5.82e-06,0.038010516039602996,6531.01650165
1663333200000,2022-09-16 13:00:00,PRQ/BTC,6.02e-06,6.04e-06,5.9e-06,6.04e-06,0.06915156393436879,11448.93442622
1663329600000,2022-09-16 12:00:00,PRQ/BTC,6.03e-06,6.04e-06,5.98e-06,6.01e-06,0.04374078,7278.0
1663326000000,2022-09-16 11:00:00,PRQ/BTC,6.04e-06,6.21e-06,5.91e-06,5.97e-06,0.049049226716586,8215.9508738
1663322400000,2022-09-16 10:00:00,PRQ/BTC,6.19e-06,6.2e-06,5.99e-06,5.99e-06,0.047967920000000004,8008.0
1663318800000,2022-09-16 09:00:00,PRQ/BTC,6.19e-06,6.19e-06,6e-06,6.11e-06,0.05047471,8261.0
1663315200000,2022-09-16 08:00:00,PRQ/BTC,6.01e-06,6.22e-06,5.98e-06,6.22e-06,0.05167576,8308.0
1663311600000,2022-09-16 07:00:00,PRQ/BTC,6.15e-06,6.21e-06,6e-06,6.06e-06,0.04978895999999999,8216.0
1663308000000,2022-09-16 06:00:00,PRQ/BTC,6.2e-06,6.2e-06,6.04e-06,6.04e-06,0.04123508,6827.0
1663304400000,2022-09-16 05:00:00,PRQ/BTC,6.05e-06,6.21e-06,6.05e-06,6.06e-06,0.0486012,8020.0
1663300800000,2022-09-16 04:00:00,PRQ/BTC,6.17e-06,6.22e-06,6.06e-06,6.18e-06,0.056151480000000004,9086.0
1663297200000,2022-09-16 03:00:00,PRQ/BTC,6.16e-06,6.23e-06,6.05e-06,6.05e-06,0.057620199999999996,9524.0
1663293600000,2022-09-16 02:00:00,PRQ/BTC,6.22e-06,6.23e-06,6.05e-06,6.17e-06,0.05093335,8255.0
1663290000000,2022-09-16 01:00:00,PRQ/BTC,6.1e-06,6.23e-06,6.06e-06,6.07e-06,0.05383483,8869.0
1663286400000,2022-09-16 00:00:00,PRQ/BTC,6.09e-06,6.23e-06,6.07e-06,6.09e-06,0.04149117,6813.0
1663282800000,2022-09-15 23:00:00,PRQ/BTC,6.05e-06,6.23e-06,6.05e-06,6.19e-06,0.06532307,10553.0
1663279200000,2022-09-15 22:00:00,PRQ/BTC,6.13e-06,6.23e-06,6.05e-06,6.05e-06,0.05421405,8961.0
1663275600000,2022-09-15 21:00:00,PRQ/BTC,6.06e-06,6.23e-06,5.9e-06,6.11e-06,0.04960709,8119.0
1663272000000,2022-09-15 20:00:00,PRQ/BTC,6.1e-06,6.23e-06,6.05e-06,6.15e-06,0.046057350000000004,7489.0
1663268400000,2022-09-15 19:00:00,PRQ/BTC,6.18e-06,6.33e-06,5.9e-06,6.27e-06,0.0422472656370435,6738.00089905
1663264800000,2022-09-15 18:00:00,PRQ/BTC,6.15e-06,6.22e-06,6.1e-06,6.18e-06,0.02019006,3267.0
1663261200000,2022-09-15 17:00:00,PRQ/BTC,6.63e-06,6.63e-06,6e-06,6.23e-06,0.044232999999999995,7100.0
1663257600000,2022-09-15 16:00:00,PRQ/BTC,6.58e-06,6.65e-06,6.39e-06,6.62e-06,0.07436908,11234.0
1663254000000,2022-09-15 15:00:00,PRQ/BTC,6.37e-06,6.87e-06,6.13e-06,6.48e-06,0.0528439047133824,8154.92356688
1663250400000,2022-09-15 14:00:00,PRQ/BTC,6.19e-06,6.64e-06,6.07e-06,6.27e-06,0.0502918334125647,8021.02606261
1663246800000,2022-09-15 13:00:00,PRQ/BTC,5.87e-06,6.4e-06,5.87e-06,6.24e-06,0.05964352423660801,9558.2570892
1663243200000,2022-09-15 12:00:00,PRQ/BTC,6.38e-06,6.38e-06,5.88e-06,5.98e-06,0.04428788,7406.0
1663239600000,2022-09-15 11:00:00,PRQ/BTC,6.3e-06,6.5e-06,6.3e-06,6.34e-06,0.04075352,6428.0
1663236000000,2022-09-15 10:00:00,PRQ/BTC,6.44e-06,6.48e-06,6.18e-06,6.4e-06,0.0484992,7578.0
1663232400000,2022-09-15 09:00:00,PRQ/BTC,6.35e-06,6.5e-06,6.25e-06,6.34e-06,0.05757354,9081.0
1663228800000,2022-09-15 08:00:00,PRQ/BTC,6.45e-06,6.48e-06,6.12e-06,6.43e-06,0.050154000000000004,7800.0
1663225200000,2022-09-15 07:00:00,PRQ/BTC,6.18e-06,6.7e-06,6.01e-06,6.26e-06,0.060705945258635804,9697.43534483
1663221600000,2022-09-15 06:00:00,PRQ/BTC,6.16e-06,6.49e-06,5.9e-06,6.33e-06,0.06222947052660001,9830.88002
1663218000000,2022-09-15 05:00:00,PRQ/BTC,6.23e-06,6.31e-06,6.08e-06,6.15e-06,0.0591261,9614.0
1663214400000,2022-09-15 04:00:00,PRQ/BTC,6.27e-06,6.34e-06,6.08e-06,6.21e-06,0.054828089999999996,8829.0
1663210800000,2022-09-15 03:00:00,PRQ/BTC,6.03e-06,6.29e-06,6.03e-06,6.13e-06,0.04913195,8015.0
1663207200000,2022-09-15 02:00:00,PRQ/BTC,6.04e-06,6.27e-06,6.01e-06,6.03e-06,0.038911589999999996,6453.0
1663203600000,2022-09-15 01:00:00,PRQ/BTC,6.08e-06,6.29e-06,6.07e-06,6.2e-06,0.0484406,7813.0
1663200000000,2022-09-15 00:00:00,PRQ/BTC,6.38e-06,6.44e-06,6.03e-06,6.03e-06,0.05685687,9429.0
1663196400000,2022-09-14 23:00:00,PRQ/BTC,6.5e-06,6.5e-06,6.1e-06,6.2e-06,0.0503502,8121.0
