https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume STRONG,Volume USDT
1663459200,2022-09-18 00:00:00,STRONG/USDT,7.03,7.049,7.001,7.029,72.3415,508.4685938
1663372800,2022-09-17 00:00:00,STRONG/USDT,6.888,7.182,6.728,7.027,6424.6138,44217.7319139
1663286400,2022-09-16 00:00:00,STRONG/USDT,7.304,7.306,6.724,6.886,4928.3245,34454.7010821
1663200000,2022-09-15 00:00:00,STRONG/USDT,7.296,8.061,7.228,7.303,5002.5166,37919.517664
1663113600,2022-09-14 00:00:00,STRONG/USDT,7.532,7.659,7.111,7.295,4718.7991,35185.8390924
1663027200,2022-09-13 00:00:00,STRONG/USDT,8.07,8.388,7.271,7.531,7634.8636,58779.5313601
1662940800,2022-09-12 00:00:00,STRONG/USDT,8.787,8.827,7.961,8.07,6174.0019,50864.4499428
1662854400,2022-09-11 00:00:00,STRONG/USDT,8.576,8.842,8.152,8.79,4402.8107,37232.7762644
1662768000,2022-09-10 00:00:00,STRONG/USDT,7.896,9,7.589,8.579,11220.0699,91113.5473188
1662681600,2022-09-09 00:00:00,STRONG/USDT,6.647,9.45,6.508,7.893,37000.6031,297990.3708779
1662595200,2022-09-08 00:00:00,STRONG/USDT,6.221,7.232,6.211,6.646,7983.8054,52779.9644814
1662508800,2022-09-07 00:00:00,STRONG/USDT,6.187,6.24,5.86,6.223,6212.1416,37447.7595635
1662422400,2022-09-06 00:00:00,STRONG/USDT,6.316,6.515,5.878,6.186,5293.0885,33187.6434019
1662336000,2022-09-05 00:00:00,STRONG/USDT,6.392,6.407,6.181,6.313,4530.3644,28573.4250536
1662249600,2022-09-04 00:00:00,STRONG/USDT,6.215,6.498,6.001,6.389,6012.8766,37428.5299161
1662163200,2022-09-03 00:00:00,STRONG/USDT,6.389,6.622,6.138,6.218,5466.8398,34521.4132793
1662076800,2022-09-02 00:00:00,STRONG/USDT,6.244,6.668,6.167,6.392,8118.4222,51621.0414887
1661990400,2022-09-01 00:00:00,STRONG/USDT,6.378,6.405,6.1,6.241,5586.1079,35016.1451242
1661904000,2022-08-31 00:00:00,STRONG/USDT,6.208,6.524,6.205,6.379,6406.5653,40498.6081542
1661817600,2022-08-30 00:00:00,STRONG/USDT,6.273,6.321,6.017,6.205,5252.4183,32584.4788779
1661731200,2022-08-29 00:00:00,STRONG/USDT,6.326,6.326,5.946,6.275,5034.8763,30902.6575868
1661644800,2022-08-28 00:00:00,STRONG/USDT,6.241,6.393,6.138,6.327,4795.0668,30092.31847061238
1661558400,2022-08-27 00:00:00,STRONG/USDT,6.462,6.494,6.2,6.243,4033.07905342,25529.730344104
1661472000,2022-08-26 00:00:00,STRONG/USDT,7.041,7.138,6.446,6.461,5098.9998,34575.4067987
1661385600,2022-08-25 00:00:00,STRONG/USDT,7.156,7.429,7.025,7.044,5034.8534,36451.3345115
1661299200,2022-08-24 00:00:00,STRONG/USDT,7.308,7.392,7.04,7.158,4487.1221,32369.1705001
1661212800,2022-08-23 00:00:00,STRONG/USDT,7.196,7.466,7.092,7.307,4535.7097,33014.9749568
1661126400,2022-08-22 00:00:00,STRONG/USDT,7.557,7.598,7.004,7.193,3428.5358,24897.1318316
1661040000,2022-08-21 00:00:00,STRONG/USDT,7.239,7.644,7.146,7.555,4395.4746,32135.9319077
1660953600,2022-08-20 00:00:00,STRONG/USDT,7.545,7.66,7.215,7.238,3920.8352,29338.555663
1660867200,2022-08-19 00:00:00,STRONG/USDT,8.093,8.193,7.517,7.547,4447.2114,35044.3870039
1660780800,2022-08-18 00:00:00,STRONG/USDT,8.278,8.704,8.029,8.096,4377.3523,36693.9777794
1660694400,2022-08-17 00:00:00,STRONG/USDT,8.942,9.089,8.273,8.278,4304.0151,37331.5685037
1660608000,2022-08-16 00:00:00,STRONG/USDT,8.818,9.031,8.601,8.966,3742.5277,32855.6660193
1660521600,2022-08-15 00:00:00,STRONG/USDT,8.985,9.421,8.437,8.82,4498.8976,40089.04052
1660435200,2022-08-14 00:00:00,STRONG/USDT,9.278,9.572,8.94,8.987,4508.7408,41679.9451392
1660348800,2022-08-13 00:00:00,STRONG/USDT,8.999,9.378,8.955,9.276,3513.7509,32150.9703075
1660262400,2022-08-12 00:00:00,STRONG/USDT,8.773,9.222,8.549,9,3697.7958,32614.2674306
1660176000,2022-08-11 00:00:00,STRONG/USDT,8.988,9.422,8.557,8.776,3782.5989,34033.7548644
1660089600,2022-08-10 00:00:00,STRONG/USDT,8.822,9.14,8.11,8.987,4886.7267,42123.1704692
1660003200,2022-08-09 00:00:00,STRONG/USDT,9.503,9.55,8.62,8.819,4732.3619,43232.462028
1659916800,2022-08-08 00:00:00,STRONG/USDT,9.794,10.369,9.25,9.524,7349.7165,71446.5505651
1659830400,2022-08-07 00:00:00,STRONG/USDT,9.919,9.951,9.496,9.791,4664.8967,44882.3312241
1659744000,2022-08-06 00:00:00,STRONG/USDT,9.921,10.257,9.424,9.918,5873.9444,58024.1188512
1659657600,2022-08-05 00:00:00,STRONG/USDT,8.931,9.945,8.911,9.92,5169.3403,48958.651582
1659571200,2022-08-04 00:00:00,STRONG/USDT,8.472,9.139,8.351,8.932,6145.2632,53439.1803181
1659484800,2022-08-03 00:00:00,STRONG/USDT,8.303,9.037,7.92,8.471,4614.7719,39326.809658
1659398400,2022-08-02 00:00:00,STRONG/USDT,8.464,9.172,8.061,8.3,6196.3433,52705.9208382
1659312000,2022-08-01 00:00:00,STRONG/USDT,8.758,8.979,8.18,8.461,4607.9285,39830.588232
1659225600,2022-07-31 00:00:00,STRONG/USDT,9.229,9.593,8.592,8.761,5025.14109415,46179.4206766741
1659139200,2022-07-30 00:00:00,STRONG/USDT,10.092,10.455,9.055,9.23,8549.372,83681.5627558
1659052800,2022-07-29 00:00:00,STRONG/USDT,9.709,10.75,9.046,10.115,7924.4912,78042.9046893
1658966400,2022-07-28 00:00:00,STRONG/USDT,9.324,10.796,9.078,9.712,11948.44327862,116743.01641828842
1658880000,2022-07-27 00:00:00,STRONG/USDT,7.989,9.89,7.986,9.356,7837.0394,69518.0759708
1658793600,2022-07-26 00:00:00,STRONG/USDT,8.2,8.467,7.661,7.984,4209.9441,33695.5681548
1658707200,2022-07-25 00:00:00,STRONG/USDT,7.991,8.847,7.559,8.154,7048.5964,56040.6502901
1658620800,2022-07-24 00:00:00,STRONG/USDT,7.589,8.4,7.465,7.994,5879.6606,46504.4517507
1658534400,2022-07-23 00:00:00,STRONG/USDT,7.71,8.161,7.24,7.592,7538.2872,57858.9873747
