https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB3L,Volume USDT
1663462800,2022-09-18 01:00:00,BNB3L/USDT,0.232,0.232,0.232,0.232,6.3156,1.4652192
1663459200,2022-09-18 00:00:00,BNB3L/USDT,0.236,0.236,0.232,0.232,565.7577,132.1183475
1663455600,2022-09-17 23:00:00,BNB3L/USDT,0.237,0.238,0.236,0.2362,1887.4095,446.27323828
1663452000,2022-09-17 22:00:00,BNB3L/USDT,0.2348,0.2372,0.2348,0.2363,1153.5245,272.82549969
1663448400,2022-09-17 21:00:00,BNB3L/USDT,0.2378,0.2378,0.2341,0.2341,2383.2059,562.97688018
1663444800,2022-09-17 20:00:00,BNB3L/USDT,0.2358,0.238,0.2358,0.238,484.2421,115.07738237
1663441200,2022-09-17 19:00:00,BNB3L/USDT,0.236,0.236,0.2344,0.2355,54.3563,12.7583878
1663437600,2022-09-17 18:00:00,BNB3L/USDT,0.2357,0.2361,0.2348,0.2361,26.6404,6.27675665
1663434000,2022-09-17 17:00:00,BNB3L/USDT,0.2367,0.237,0.2354,0.2366,327.2996,77.35953329
1663430400,2022-09-17 16:00:00,BNB3L/USDT,0.2335,0.2385,0.2335,0.236,6607.6156,1557.53780859
1663426800,2022-09-17 15:00:00,BNB3L/USDT,0.2339,0.2341,0.231,0.2339,3499.1551,813.89620787
1663423200,2022-09-17 14:00:00,BNB3L/USDT,0.2309,0.2339,0.2309,0.2334,978.999,227.28730105
1663419600,2022-09-17 13:00:00,BNB3L/USDT,0.2313,0.2313,0.2298,0.23,183.8999,42.43165768
1663416000,2022-09-17 12:00:00,BNB3L/USDT,0.2317,0.2318,0.2295,0.2313,385.2525,88.99549512
1663412400,2022-09-17 11:00:00,BNB3L/USDT,0.2321,0.2327,0.2317,0.2326,31.9445,7.42497412
1663408800,2022-09-17 10:00:00,BNB3L/USDT,0.2312,0.2325,0.2305,0.2321,2870.8443,664.48680698
1663405200,2022-09-17 09:00:00,BNB3L/USDT,0.2309,0.2311,0.2303,0.2303,172.8945,39.95477625
1663401600,2022-09-17 08:00:00,BNB3L/USDT,0.2304,0.2323,0.2304,0.2314,4394.2979,1019.09081645
1663398000,2022-09-17 07:00:00,BNB3L/USDT,0.2302,0.2308,0.2302,0.2308,101.1432,23.28316518
1663394400,2022-09-17 06:00:00,BNB3L/USDT,0.2314,0.2318,0.2289,0.2302,5872.1619,1355.41191413
1663390800,2022-09-17 05:00:00,BNB3L/USDT,0.232,0.232,0.23,0.2318,4389.6028,1013.01056339
1663387200,2022-09-17 04:00:00,BNB3L/USDT,0.231,0.2339,0.231,0.2322,6279.5167,1465.30644562
1663383600,2022-09-17 03:00:00,BNB3L/USDT,0.231,0.231,0.231,0.231,0,0
1663380000,2022-09-17 02:00:00,BNB3L/USDT,0.2341,0.2355,0.23,0.231,8064.1665,1879.75830774
1663376400,2022-09-17 01:00:00,BNB3L/USDT,0.2319,0.2335,0.2319,0.2332,445.2631,103.81537433
1663372800,2022-09-17 00:00:00,BNB3L/USDT,0.2251,0.2349,0.2251,0.2304,4080.8127,947.77496115
1663369200,2022-09-16 23:00:00,BNB3L/USDT,0.2248,0.2251,0.2226,0.225,3281.8763,737.99827035
1663365600,2022-09-16 22:00:00,BNB3L/USDT,0.2253,0.2262,0.2253,0.2253,1014.3575,228.62495497
1663362000,2022-09-16 21:00:00,BNB3L/USDT,0.2246,0.2253,0.2246,0.2248,191.6129,43.13291693
1663358400,2022-09-16 20:00:00,BNB3L/USDT,0.2221,0.2246,0.2221,0.2246,320.13,71.51443469
