https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SHFT,Volume BTC
1663459200,2022-09-18 00:00:00,SHFT/BTC,0.00000092,0.00000093,0.00000092,0.00000092,2774.449,0.002572566002
1663455600,2022-09-17 23:00:00,SHFT/BTC,0.00000091,0.00000091,0.00000091,0.00000091,931.5508,0.000847711228
1663452000,2022-09-17 22:00:00,SHFT/BTC,0.00000091,0.00000091,0.00000091,0.00000091,0,0
1663448400,2022-09-17 21:00:00,SHFT/BTC,0.00000091,0.00000091,0.00000091,0.00000091,2.1923,0.000001994993
1663444800,2022-09-17 20:00:00,SHFT/BTC,0.00000089,0.0000009,0.00000089,0.0000009,2033.9448,0.001829099761
1663441200,2022-09-17 19:00:00,SHFT/BTC,0.00000089,0.00000089,0.00000089,0.00000089,1481.1685,0.001318239965
1663437600,2022-09-17 18:00:00,SHFT/BTC,0.0000009,0.0000009,0.00000089,0.00000089,3156.4429,0.002812302543
1663434000,2022-09-17 17:00:00,SHFT/BTC,0.0000009,0.0000009,0.0000009,0.0000009,25.2498,0.00002272482
1663430400,2022-09-17 16:00:00,SHFT/BTC,0.00000091,0.00000092,0.0000009,0.00000091,7635.2292,0.006921705854
1663426800,2022-09-17 15:00:00,SHFT/BTC,0.00000092,0.00000092,0.00000092,0.00000092,0,0
1663423200,2022-09-17 14:00:00,SHFT/BTC,0.00000092,0.00000092,0.00000092,0.00000092,579.0566,0.000532732072
1663419600,2022-09-17 13:00:00,SHFT/BTC,0.00000093,0.00000093,0.00000093,0.00000093,1839.2941,0.001710543513
1663416000,2022-09-17 12:00:00,SHFT/BTC,0.00000092,0.00000092,0.00000092,0.00000092,4.3783,0.000004028036
1663412400,2022-09-17 11:00:00,SHFT/BTC,0.00000093,0.00000093,0.00000093,0.00000093,4.1401,0.000003850293
1663408800,2022-09-17 10:00:00,SHFT/BTC,0.00000094,0.00000095,0.00000093,0.00000093,628.2998,0.000586412958
1663405200,2022-09-17 09:00:00,SHFT/BTC,0.00000094,0.00000095,0.00000093,0.00000095,1791.3213,0.001701718284
1663401600,2022-09-17 08:00:00,SHFT/BTC,0.00000094,0.00000094,0.00000094,0.00000094,0,0
1663398000,2022-09-17 07:00:00,SHFT/BTC,0.00000094,0.00000094,0.00000094,0.00000094,123.3775,0.00011597485
1663394400,2022-09-17 06:00:00,SHFT/BTC,0.00000094,0.00000094,0.00000094,0.00000094,4.282,0.00000402508
1663390800,2022-09-17 05:00:00,SHFT/BTC,0.00000094,0.00000097,0.00000094,0.00000097,987.8429,0.000933675672
1663387200,2022-09-17 04:00:00,SHFT/BTC,0.00000092,0.00000092,0.00000092,0.00000092,151.5147,0.000139393524
1663383600,2022-09-17 03:00:00,SHFT/BTC,0.00000091,0.00000093,0.00000091,0.00000093,129.3224,0.000120048976
