https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KDON,Volume USDT
1663459200,2022-09-18 00:00:00,KDON/USDT,0.01822,0.0185,0.01803,0.01821,18130.2696,332.330849629
1663372800,2022-09-17 00:00:00,KDON/USDT,0.0182,0.01878,0.01765,0.01822,922126.0103,16852.840282724
1663286400,2022-09-16 00:00:00,KDON/USDT,0.01936,0.02025,0.01689,0.01838,1871852.081,35061.673846667
1663200000,2022-09-15 00:00:00,KDON/USDT,0.02029,0.02099,0.01927,0.01934,1288632.8545,25679.961884775
1663113600,2022-09-14 00:00:00,KDON/USDT,0.02006,0.0208,0.01912,0.02029,1847676.6862,36924.400951167
1663027200,2022-09-13 00:00:00,KDON/USDT,0.02094,0.0224,0.019,0.02022,2493709.9576,50942.581967914
1662940800,2022-09-12 00:00:00,KDON/USDT,0.02211,0.0222,0.02021,0.02094,1829431.6691,39101.004139397
1662854400,2022-09-11 00:00:00,KDON/USDT,0.02104,0.0224,0.02104,0.02233,1320991.9049,28872.579920503
1662768000,2022-09-10 00:00:00,KDON/USDT,0.02174,0.02248,0.02102,0.02103,1138230.693,24842.302929618
1662681600,2022-09-09 00:00:00,KDON/USDT,0.0218,0.02399,0.02159,0.02175,3079467.4461,69442.232934568
1662595200,2022-09-08 00:00:00,KDON/USDT,0.02135,0.028,0.02061,0.0216,8062578.1217,192501.567661561
1662508800,2022-09-07 00:00:00,KDON/USDT,0.01997,0.02367,0.01931,0.02132,3463272.1439,73985.125234973
1662422400,2022-09-06 00:00:00,KDON/USDT,0.02172,0.02282,0.01857,0.01997,2586380.779,54845.678851089
1662336000,2022-09-05 00:00:00,KDON/USDT,0.0228,0.0231,0.02081,0.02175,1501837.612,32496.392453041
1662249600,2022-09-04 00:00:00,KDON/USDT,0.02484,0.02586,0.0226,0.0228,3411987.5963,80056.873975138
1662163200,2022-09-03 00:00:00,KDON/USDT,0.02084,0.035,0.02055,0.0248,20970080.2441,582711.72959688
1662076800,2022-09-02 00:00:00,KDON/USDT,0.02118,0.02164,0.0202,0.02084,1100497.4018,23057.682116688
1661990400,2022-09-01 00:00:00,KDON/USDT,0.02132,0.02241,0.01989,0.02118,961587.6046,20097.579917083
1661904000,2022-08-31 00:00:00,KDON/USDT,0.02273,0.02384,0.02077,0.02151,1093525.8409,24285.604317568
1661817600,2022-08-30 00:00:00,KDON/USDT,0.02295,0.02509,0.0221,0.02249,1151115.1098,27335.17106358
1661731200,2022-08-29 00:00:00,KDON/USDT,0.0224,0.02434,0.022,0.02316,1392839.763,32253.605176812
1661644800,2022-08-28 00:00:00,KDON/USDT,0.02338,0.02495,0.0224,0.0224,979599.6533,23340.467645927
1661558400,2022-08-27 00:00:00,KDON/USDT,0.02425,0.02599,0.02308,0.02338,1406770.0742,33939.016854768
1661472000,2022-08-26 00:00:00,KDON/USDT,0.02597,0.027,0.02425,0.02425,1273235.8304,32549.015477734
1661385600,2022-08-25 00:00:00,KDON/USDT,0.02559,0.02969,0.02548,0.026,3523425.2943,96327.617523471
