https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEO,Volume BTC,tradecount
1663545600000,2022-09-19 00:00:00,NEO/BTC,0.00042500,0.00042500,0.00042300,0.00042400,650.17000000,0.27559985,34
1663459200000,2022-09-18 00:00:00,NEO/BTC,0.00045200,0.00045400,0.00041900,0.00042400,45169.52000000,19.74430430,2914
1663372800000,2022-09-17 00:00:00,NEO/BTC,0.00045400,0.00045800,0.00044700,0.00045200,24224.72000000,10.93809431,1614
1663286400000,2022-09-16 00:00:00,NEO/BTC,0.00046400,0.00046800,0.00044700,0.00045400,112383.55000000,51.04402787,4765
1663200000000,2022-09-15 00:00:00,NEO/BTC,0.00044900,0.00046400,0.00043700,0.00046400,173553.53000000,77.87221653,7747
1663113600000,2022-09-14 00:00:00,NEO/BTC,0.00044100,0.00045400,0.00044000,0.00045000,41832.89000000,18.66311067,2377
1663027200000,2022-09-13 00:00:00,NEO/BTC,0.00044200,0.00045100,0.00043100,0.00044200,54867.18000000,24.06585678,3512
1662940800000,2022-09-12 00:00:00,NEO/BTC,0.00044900,0.00046500,0.00043800,0.00044200,56090.16000000,25.30589334,3772
1662854400000,2022-09-11 00:00:00,NEO/BTC,0.00045700,0.00046200,0.00044700,0.00044900,34930.48000000,15.90632318,2043
1662768000000,2022-09-10 00:00:00,NEO/BTC,0.00046300,0.00047400,0.00045500,0.00045600,37609.49000000,17.39465790,2753
1662681600000,2022-09-09 00:00:00,NEO/BTC,0.00049000,0.00049000,0.00045100,0.00046300,75529.49000000,34.92791150,4613
1662595200000,2022-09-08 00:00:00,NEO/BTC,0.00046100,0.00049700,0.00045600,0.00048900,73399.08000000,34.86956217,4341
1662508800000,2022-09-07 00:00:00,NEO/BTC,0.00045400,0.00046300,0.00044900,0.00046000,32529.31000000,14.88551994,2398
1662422400000,2022-09-06 00:00:00,NEO/BTC,0.00047300,0.00048200,0.00045000,0.00045400,47309.26000000,22.09514974,4035
1662336000000,2022-09-05 00:00:00,NEO/BTC,0.00047600,0.00047900,0.00046000,0.00047200,20111.98000000,9.40807157,1966
1662249600000,2022-09-04 00:00:00,NEO/BTC,0.00046200,0.00048000,0.00046100,0.00047500,26921.37000000,12.65153809,2156
1662163200000,2022-09-03 00:00:00,NEO/BTC,0.00045300,0.00046300,0.00045100,0.00046200,11002.04000000,5.03181171,1017
1662076800000,2022-09-02 00:00:00,NEO/BTC,0.00045500,0.00046100,0.00045000,0.00045300,14644.39000000,6.66043348,1245
1661990400000,2022-09-01 00:00:00,NEO/BTC,0.00045000,0.00045600,0.00044200,0.00045500,37102.86000000,16.60234158,1941
1661904000000,2022-08-31 00:00:00,NEO/BTC,0.00045800,0.00046000,0.00044900,0.00045100,21243.72000000,9.68896407,1363
1661817600000,2022-08-30 00:00:00,NEO/BTC,0.00046300,0.00046900,0.00045400,0.00045800,42040.33000000,19.42953252,2745
1661731200000,2022-08-29 00:00:00,NEO/BTC,0.00045400,0.00046400,0.00045000,0.00046200,22944.05000000,10.43538030,1520
1661644800000,2022-08-28 00:00:00,NEO/BTC,0.00045600,0.00046200,0.00045300,0.00045400,15667.37000000,7.16975021,1054
1661558400000,2022-08-27 00:00:00,NEO/BTC,0.00044500,0.00045800,0.00044300,0.00045600,29741.49000000,13.41298086,1880
1661472000000,2022-08-26 00:00:00,NEO/BTC,0.00046400,0.00046400,0.00044000,0.00044600,40441.40000000,18.26591868,3122
1661385600000,2022-08-25 00:00:00,NEO/BTC,0.00046500,0.00047300,0.00045800,0.00046300,21683.17000000,10.08779059,1540
1661299200000,2022-08-24 00:00:00,NEO/BTC,0.00046300,0.00048100,0.00045600,0.00046400,49871.29000000,23.39605613,3008
1661212800000,2022-08-23 00:00:00,NEO/BTC,0.00045200,0.00046400,0.00044800,0.00046300,25837.68000000,11.73761243,1627
1661126400000,2022-08-22 00:00:00,NEO/BTC,0.00045900,0.00045900,0.00043900,0.00045300,24012.15000000,10.72257184,1645
1661040000000,2022-08-21 00:00:00,NEO/BTC,0.00045100,0.00046200,0.00045100,0.00045900,11231.85000000,5.12598277,960
1660953600000,2022-08-20 00:00:00,NEO/BTC,0.00045800,0.00046300,0.00044500,0.00045100,21605.40000000,9.85247637,1683
1660867200000,2022-08-19 00:00:00,NEO/BTC,0.00045100,0.00045900,0.00043600,0.00045800,60389.23000000,27.00534399,4079
1660780800000,2022-08-18 00:00:00,NEO/BTC,0.00046900,0.00047000,0.00044300,0.00045000,27879.70000000,12.81753819,2120
1660694400000,2022-08-17 00:00:00,NEO/BTC,0.00046800,0.00049300,0.00046600,0.00046900,53860.75000000,25.80911362,3730
1660608000000,2022-08-16 00:00:00,NEO/BTC,0.00046800,0.00047100,0.00046100,0.00046800,25033.65000000,11.68964149,1533
1660521600000,2022-08-15 00:00:00,NEO/BTC,0.00047400,0.00047800,0.00046200,0.00046800,33914.92000000,15.85343704,3009
1660435200000,2022-08-14 00:00:00,NEO/BTC,0.00049000,0.00049700,0.00047100,0.00047400,28193.33000000,13.63886336,2075
1660348800000,2022-08-13 00:00:00,NEO/BTC,0.00049300,0.00049900,0.00048500,0.00049200,15909.82000000,7.81706084,1219
1660262400000,2022-08-12 00:00:00,NEO/BTC,0.00049000,0.00049700,0.00048600,0.00049300,17190.03000000,8.46041908,1663
1660176000000,2022-08-11 00:00:00,NEO/BTC,0.00048800,0.00051300,0.00048100,0.00049000,78099.04000000,38.26829013,4206
1660089600000,2022-08-10 00:00:00,NEO/BTC,0.00047500,0.00048900,0.00047100,0.00048800,74899.27000000,35.86709301,3150
1660003200000,2022-08-09 00:00:00,NEO/BTC,0.00049100,0.00049200,0.00047300,0.00047600,32933.38000000,15.83191149,2128
1659916800000,2022-08-08 00:00:00,NEO/BTC,0.00049500,0.00050200,0.00048700,0.00049100,28880.12000000,14.25698863,2244
1659830400000,2022-08-07 00:00:00,NEO/BTC,0.00049900,0.00050000,0.00049000,0.00049500,11621.01000000,5.75771874,1102
1659744000000,2022-08-06 00:00:00,NEO/BTC,0.00050600,0.00050700,0.00049500,0.00049900,20988.88000000,10.45847287,1382
1659657600000,2022-08-05 00:00:00,NEO/BTC,0.00047900,0.00051300,0.00047700,0.00050600,99823.90000000,49.59172737,6488
1659571200000,2022-08-04 00:00:00,NEO/BTC,0.00047100,0.00048200,0.00046900,0.00047800,39397.08000000,18.65896370,2504
1659484800000,2022-08-03 00:00:00,NEO/BTC,0.00047700,0.00048200,0.00046700,0.00047100,23885.31000000,11.33421285,2179
