https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume VXV,Volume USDT
1663372800,2022-09-17 00:00:00,VXV/USDT,0.3265,0.3278,0.3248,0.3278,2116.1505,691.11444751
1663286400,2022-09-16 00:00:00,VXV/USDT,0.3351,0.3384,0.3211,0.3231,54668.4072,18074.06959478
1663200000,2022-09-15 00:00:00,VXV/USDT,0.34,0.34,0.3155,0.3381,118600.9601,39112.15789827
1663113600,2022-09-14 00:00:00,VXV/USDT,0.3409,0.3426,0.32,0.34,80381.7291,26764.24930514
1663027200,2022-09-13 00:00:00,VXV/USDT,0.3607,0.3649,0.3303,0.3409,169863.0222,59040.32559513
1662940800,2022-09-12 00:00:00,VXV/USDT,0.3561,0.3681,0.3362,0.3577,209112.8362,73719.97143869
1662854400,2022-09-11 00:00:00,VXV/USDT,0.3176,0.3645,0.3176,0.3561,190376.6976,66140.1966419
1662768000,2022-09-10 00:00:00,VXV/USDT,0.3189,0.3305,0.3033,0.32,172889.0457,54231.31176551
1662681600,2022-09-09 00:00:00,VXV/USDT,0.3215,0.3316,0.31,0.3189,214829.3991,69572.37774276
1662595200,2022-09-08 00:00:00,VXV/USDT,0.3276,0.33,0.3025,0.3215,186213.8107,59692.61958193
1662508800,2022-09-07 00:00:00,VXV/USDT,0.3332,0.344,0.3091,0.3276,160993.2627,52731.54438989
1662422400,2022-09-06 00:00:00,VXV/USDT,0.3478,0.3647,0.32,0.3296,201030.8427,68829.12326705
1662336000,2022-09-05 00:00:00,VXV/USDT,0.36,0.3769,0.341,0.3478,141615.1677,49970.21790231
1662249600,2022-09-04 00:00:00,VXV/USDT,0.3822,0.39,0.352,0.36,105033.1919,39012.28832375
1662163200,2022-09-03 00:00:00,VXV/USDT,0.3663,0.39,0.36,0.3858,90845.5295,33859.77192551
1662076800,2022-09-02 00:00:00,VXV/USDT,0.3841,0.3908,0.36,0.3664,93320.0832,35039.05954301
1661990400,2022-09-01 00:00:00,VXV/USDT,0.3623,0.39,0.3623,0.3801,83531.6784,31398.61469766
1661904000,2022-08-31 00:00:00,VXV/USDT,0.3782,0.4,0.3578,0.3618,112677.5037,42682.12406982
1661817600,2022-08-30 00:00:00,VXV/USDT,0.3565,0.3991,0.3498,0.3782,111629.805,41323.71536254
1661731200,2022-08-29 00:00:00,VXV/USDT,0.363,0.3666,0.344,0.3524,101602.4449,36079.71616637
1661644800,2022-08-28 00:00:00,VXV/USDT,0.372,0.38,0.3508,0.3664,62621.7282,22660.48229079
1661558400,2022-08-27 00:00:00,VXV/USDT,0.3664,0.3789,0.3601,0.372,37074.6011,13654.87542655
1661472000,2022-08-26 00:00:00,VXV/USDT,0.3852,0.3885,0.3626,0.3664,74716.5611,28090.51089443
1661385600,2022-08-25 00:00:00,VXV/USDT,0.3757,0.39,0.3757,0.3885,96478.2232,37109.3861492
1661299200,2022-08-24 00:00:00,VXV/USDT,0.381,0.39,0.351,0.3757,237998.5103,88679.29575345
1661212800,2022-08-23 00:00:00,VXV/USDT,0.4,0.42,0.3622,0.381,110691.7154,43704.58085736
1661126400,2022-08-22 00:00:00,VXV/USDT,0.3967,0.4,0.3871,0.3999,59139.3292,23305.98700679
1661040000,2022-08-21 00:00:00,VXV/USDT,0.3859,0.405,0.3765,0.3967,84888.9367,33372.57266362
1660953600,2022-08-20 00:00:00,VXV/USDT,0.375,0.42,0.369,0.3815,174243.2096,68505.76823265
1660867200,2022-08-19 00:00:00,VXV/USDT,0.4278,0.4299,0.3679,0.375,252810.2455,98468.05060557
1660780800,2022-08-18 00:00:00,VXV/USDT,0.4299,0.4309,0.4151,0.424,147403.3052,62643.1770531
1660694400,2022-08-17 00:00:00,VXV/USDT,0.4506,0.4568,0.4215,0.4299,109250.5929,47657.67588515
1660608000,2022-08-16 00:00:00,VXV/USDT,0.4611,0.465,0.4449,0.4506,91420.003,41333.98820385
1660521600,2022-08-15 00:00:00,VXV/USDT,0.4675,0.4706,0.4594,0.4612,66904.7326,30945.98628314
1660435200,2022-08-14 00:00:00,VXV/USDT,0.4661,0.5,0.46,0.4675,163982.0178,77521.87979107
1660348800,2022-08-13 00:00:00,VXV/USDT,0.4799,0.49,0.4609,0.4661,99045.11665513,46928.060313751469
1660262400,2022-08-12 00:00:00,VXV/USDT,0.4723,0.4896,0.4603,0.476,74790.5641,35463.8426575
1660176000,2022-08-11 00:00:00,VXV/USDT,0.4773,0.4928,0.46,0.4741,123655.0466,58746.58371568
1660089600,2022-08-10 00:00:00,VXV/USDT,0.4731,0.4859,0.46,0.4773,89513.8457,42053.16020881
1660003200,2022-08-09 00:00:00,VXV/USDT,0.4801,0.498,0.46,0.4731,125921.8154,59789.04469759
1659916800,2022-08-08 00:00:00,VXV/USDT,0.4871,0.513,0.4791,0.48,1558177.417,778098.06359497
1659830400,2022-08-07 00:00:00,VXV/USDT,0.4679,0.4985,0.459,0.4871,1146441.9309,544757.0783093
1659744000,2022-08-06 00:00:00,VXV/USDT,0.477,0.4875,0.458,0.4679,557928.8784,265450.8263889
1659657600,2022-08-05 00:00:00,VXV/USDT,0.457,0.49,0.4553,0.477,847784.7813,397443.90620243
1659571200,2022-08-04 00:00:00,VXV/USDT,0.4869,0.4978,0.445,0.4581,1167659.32498979,542008.082798585529
1659484800,2022-08-03 00:00:00,VXV/USDT,0.4971,0.504,0.487,0.487,262616.3177,130651.83872334
1659398400,2022-08-02 00:00:00,VXV/USDT,0.494,0.502,0.4859,0.5,181966.6541,90351.20368895
1659312000,2022-08-01 00:00:00,VXV/USDT,0.5101,0.513,0.4701,0.494,167444.7323,81906.55146374
1659225600,2022-07-31 00:00:00,VXV/USDT,0.4857,0.52,0.4695,0.5146,119427.362,58831.14431941
1659139200,2022-07-30 00:00:00,VXV/USDT,0.4899,0.5225,0.4623,0.4857,172234.04437301,84757.4252015352
1659052800,2022-07-29 00:00:00,VXV/USDT,0.5032,0.5066,0.46,0.4902,117631.6925,57045.30149974
1658966400,2022-07-28 00:00:00,VXV/USDT,0.4838,0.5063,0.4774,0.5041,86348.95509412,42535.156226213814
1658880000,2022-07-27 00:00:00,VXV/USDT,0.4637,0.5,0.45,0.4837,58570.3667,27720.35214263
1658793600,2022-07-26 00:00:00,VXV/USDT,0.4382,0.4722,0.425,0.4637,118709.8186,52667.20427989
1658707200,2022-07-25 00:00:00,VXV/USDT,0.4636,0.47,0.4316,0.44,63028.7883,28041.16205156
1658620800,2022-07-24 00:00:00,VXV/USDT,0.4537,0.472,0.449,0.4669,80841.324,37529.25365408
1658534400,2022-07-23 00:00:00,VXV/USDT,0.4467,0.4664,0.44,0.45,54825.9696,24919.11612168
1658448000,2022-07-22 00:00:00,VXV/USDT,0.4669,0.4999,0.4407,0.4489,101835.5016,47688.72427173
1658361600,2022-07-21 00:00:00,VXV/USDT,0.4499,0.47,0.44,0.4669,101933.4966,46691.42590513
1658275200,2022-07-20 00:00:00,VXV/USDT,0.487,0.4987,0.4498,0.4499,150132.13143666,70206.960940233007
1658188800,2022-07-19 00:00:00,VXV/USDT,0.4895,0.5086,0.4674,0.4872,136623.65302039,67355.663800988407
1658102400,2022-07-18 00:00:00,VXV/USDT,0.4607,0.5,0.4562,0.4893,211293.3926379,101328.234251877662
1658016000,2022-07-17 00:00:00,VXV/USDT,0.4938,0.4999,0.45,0.46,132895.73730273,62882.386831835443
1657929600,2022-07-16 00:00:00,VXV/USDT,0.5069,0.5226,0.4413,0.4954,332997.19908006,160500.174435095435
1657843200,2022-07-15 00:00:00,VXV/USDT,0.431,0.58,0.431,0.5069,587216.31940206,300276.982949017175
1657756800,2022-07-14 00:00:00,VXV/USDT,0.4345,0.4423,0.4005,0.431,137302.32317627,58193.993929577665
1657670400,2022-07-13 00:00:00,VXV/USDT,0.4352,0.45,0.3518,0.4341,272108.19720304,109725.406197450235
1657584000,2022-07-12 00:00:00,VXV/USDT,0.4523,0.4676,0.4261,0.4352,63454.47899476,28178.844545931358
1657497600,2022-07-11 00:00:00,VXV/USDT,0.4418,0.47,0.426,0.4489,106675.56687662,47822.676723671318
1657411200,2022-07-10 00:00:00,VXV/USDT,0.458,0.479,0.4198,0.4439,292917.31094414,128602.285720664177
1657324800,2022-07-09 00:00:00,VXV/USDT,0.4754,0.48,0.4214,0.458,220314.60627678,99820.917657855375
1657238400,2022-07-08 00:00:00,VXV/USDT,0.4791,0.4848,0.4341,0.4781,277639.18640398,127347.418871265687
1657152000,2022-07-07 00:00:00,VXV/USDT,0.4816,0.5,0.4689,0.48,132471.49371374,64222.340987164845
1657065600,2022-07-06 00:00:00,VXV/USDT,0.4659,0.49,0.451,0.4816,91080.3582132,43099.72530127534
1656979200,2022-07-05 00:00:00,VXV/USDT,0.4803,0.49,0.45,0.4659,95246.86258217,44673.175505695034
1656892800,2022-07-04 00:00:00,VXV/USDT,0.4605,0.5173,0.46,0.4803,137268.77489663,65743.576940365018
1656806400,2022-07-03 00:00:00,VXV/USDT,0.461,0.4775,0.43,0.4651,85241.67282871,38931.243048953386
1656720000,2022-07-02 00:00:00,VXV/USDT,0.4863,0.5073,0.461,0.4627,118399.17221624,55847.645053656835
1656633600,2022-07-01 00:00:00,VXV/USDT,0.4684,0.55,0.4601,0.4863,279674.31380162,136593.319744972516
1656547200,2022-06-30 00:00:00,VXV/USDT,0.4944,0.5,0.45,0.4684,120357.52056333,56162.510471554672
1656460800,2022-06-29 00:00:00,VXV/USDT,0.512,0.5175,0.48,0.4946,136305.36373947,67362.788098249173
1656374400,2022-06-28 00:00:00,VXV/USDT,0.5467,0.5702,0.5,0.5119,101466.74206048,54446.000020833413
1656288000,2022-06-27 00:00:00,VXV/USDT,0.585,0.6028,0.5038,0.5482,175491.28704923,98632.779766911337
1656201600,2022-06-26 00:00:00,VXV/USDT,0.5959,0.6226,0.5801,0.585,54704.29142082,33176.113752556313
1656115200,2022-06-25 00:00:00,VXV/USDT,0.6013,0.62,0.58,0.5979,76438.32482746,45830.368321778442
1656028800,2022-06-24 00:00:00,VXV/USDT,0.5552,0.607,0.55,0.6008,120880.45465465,70268.922228386817
1655942400,2022-06-23 00:00:00,VXV/USDT,0.5419,0.58,0.54,0.5552,113893.17182779,63984.783790508987
1655856000,2022-06-22 00:00:00,VXV/USDT,0.57,0.578,0.5362,0.542,111805.76077409,62214.204406757655
1655769600,2022-06-21 00:00:00,VXV/USDT,0.5606,0.66,0.55,0.57,227158.22371225,134158.758738615333
1655683200,2022-06-20 00:00:00,VXV/USDT,0.6134,0.64,0.5416,0.5639,235999.22917094,136588.897499112762
1655596800,2022-06-19 00:00:00,VXV/USDT,0.4776,0.7756,0.47,0.6145,1083746.5168692,652419.784862841973
1655510400,2022-06-18 00:00:00,VXV/USDT,0.4936,0.5004,0.4401,0.479,302536.76762691,141810.80864765928
1655424000,2022-06-17 00:00:00,VXV/USDT,0.4999,0.5339,0.48,0.4936,148720.61623053,74761.773711176535
1655337600,2022-06-16 00:00:00,VXV/USDT,0.5672,0.62,0.4998,0.5,276602.59876982,148846.307369527032
1655251200,2022-06-15 00:00:00,VXV/USDT,0.5,0.6,0.46,0.5662,377593.97207073,194853.598289075344
1655164800,2022-06-14 00:00:00,VXV/USDT,0.49,0.53,0.44,0.49,429731.64608137,201978.675101129
1655078400,2022-06-13 00:00:00,VXV/USDT,0.42,0.56,0.35,0.48,874131.3251299,390211.2228156736
1654992000,2022-06-12 00:00:00,VXV/USDT,0.52,0.54,0.4,0.42,733323.06115341,323885.6998611457
1654905600,2022-06-11 00:00:00,VXV/USDT,0.64,0.67,0.49,0.53,457919.34847089,249884.5318868135
1654819200,2022-06-10 00:00:00,VXV/USDT,0.69,0.73,0.62,0.64,161856.26818441,107625.2729509731
1654732800,2022-06-09 00:00:00,VXV/USDT,0.71,0.71,0.68,0.69,63767.61333418,43995.8058390638
1654646400,2022-06-08 00:00:00,VXV/USDT,0.74,0.75,0.67,0.7,116690.81057665,81400.1054149171
1654560000,2022-06-07 00:00:00,VXV/USDT,0.72,0.78,0.63,0.73,306895.2031654,213401.027231363
1654473600,2022-06-06 00:00:00,VXV/USDT,0.68,0.79,0.67,0.72,191686.79220083,138910.1377120554
1654387200,2022-06-05 00:00:00,VXV/USDT,0.73,0.75,0.67,0.69,293347.52515313,205123.4494386394
1654300800,2022-06-04 00:00:00,VXV/USDT,0.78,0.8,0.72,0.73,158383.5217415,120012.0562835172
1654214400,2022-06-03 00:00:00,VXV/USDT,0.84,0.87,0.77,0.78,153296.43386534,123882.7499545069
1654128000,2022-06-02 00:00:00,VXV/USDT,0.81,0.88,0.79,0.84,110240.89638645,90790.8068414295
1654041600,2022-06-01 00:00:00,VXV/USDT,0.9,0.91,0.8,0.81,158307.1383527,133718.6193657755
1653955200,2022-05-31 00:00:00,VXV/USDT,0.92,0.95,0.87,0.9,138007.87224978,123820.0104697437
1653868800,2022-05-30 00:00:00,VXV/USDT,0.9,0.95,0.82,0.93,242451.35087231,215827.5236146789
1653782400,2022-05-29 00:00:00,VXV/USDT,0.9,0.95,0.85,0.89,114340.24386103,102847.385101687
1653696000,2022-05-28 00:00:00,VXV/USDT,0.91,0.95,0.89,0.9,109092.07780836,100811.5328089336
1653609600,2022-05-27 00:00:00,VXV/USDT,0.92,0.96,0.87,0.91,162105.9647308,147179.0306964152
1653523200,2022-05-26 00:00:00,VXV/USDT,0.96,1,0.89,0.92,173043.01866594,161183.0378312798
1653436800,2022-05-25 00:00:00,VXV/USDT,0.97,1.1,0.95,0.96,197532.20439386,200899.0779315998
1653350400,2022-05-24 00:00:00,VXV/USDT,0.94,0.97,0.91,0.97,111506.9657245,105796.631878269
1653264000,2022-05-23 00:00:00,VXV/USDT,0.94,1.06,0.91,0.94,197060.54834806,191368.2143031741
1653177600,2022-05-22 00:00:00,VXV/USDT,0.92,0.95,0.9,0.93,86492.29885505,80032.3697677908
1653091200,2022-05-21 00:00:00,VXV/USDT,0.89,0.94,0.88,0.93,88181.69456697,80517.5524578438
1653004800,2022-05-20 00:00:00,VXV/USDT,0.94,1,0.86,0.89,167069.89381788,154425.5433847336
1652918400,2022-05-19 00:00:00,VXV/USDT,0.89,0.95,0.82,0.94,185267.21166021,163236.1403942184
1652832000,2022-05-18 00:00:00,VXV/USDT,1.02,1.04,0.81,0.89,221853.02650687,201171.7632116531
1652745600,2022-05-17 00:00:00,VXV/USDT,1.12,1.12,0.92,1.02,451353.62130996,446168.2680849612
1652659200,2022-05-16 00:00:00,VXV/USDT,1.06,1.18,0.95,1.12,252908.38948527,262178.4735046235
1652572800,2022-05-15 00:00:00,VXV/USDT,0.89,1.09,0.78,1.07,291735.02798106,261963.3291861134
1652486400,2022-05-14 00:00:00,VXV/USDT,0.91,0.94,0.72,0.89,414088.59974732,339283.1122834734
1652400000,2022-05-13 00:00:00,VXV/USDT,0.84,1.06,0.82,0.92,252591.35372303,236424.8179422784
1652313600,2022-05-12 00:00:00,VXV/USDT,0.84,1,0.71,0.85,464539.73972142,395045.3453423904
1652227200,2022-05-11 00:00:00,VXV/USDT,1.12,1.22,0.81,0.83,716535.87547864,704096.5453566578
1652140800,2022-05-10 00:00:00,VXV/USDT,0.99,1.3,0.98,1.12,291850.72496422,334402.6747006953
1652054400,2022-05-09 00:00:00,VXV/USDT,1.29,1.37,0.9,1,611023.21432414,678178.5203419893
1651968000,2022-05-08 00:00:00,VXV/USDT,1.32,1.34,1.21,1.3,220903.28501027,280390.0365272516
1651881600,2022-05-07 00:00:00,VXV/USDT,1.49,1.56,1.24,1.33,266237.60297816,365129.6199484512
