https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MTL,Volume USDT
1663462800,2022-09-18 01:00:00,MTL/USDT,1.17,1.1712,1.17,1.1712,9.76134494,11.421994993728
1663459200,2022-09-18 00:00:00,MTL/USDT,1.1802,1.1802,1.1714,1.1742,212.24428428,249.528079515108
1663455600,2022-09-17 23:00:00,MTL/USDT,1.1796,1.1825,1.1781,1.18,2492.43698836,2938.825558817079
1663452000,2022-09-17 22:00:00,MTL/USDT,1.1745,1.1766,1.1745,1.1766,6.75125827,7.932411850107
1663448400,2022-09-17 21:00:00,MTL/USDT,1.1784,1.1784,1.1733,1.1747,1166.19487848,1372.035224737952
1663444800,2022-09-17 20:00:00,MTL/USDT,1.1727,1.1758,1.1727,1.1743,2324.3807,2729.18957278
1663441200,2022-09-17 19:00:00,MTL/USDT,1.1755,1.1755,1.1715,1.1735,93.9024,110.1240368
1663437600,2022-09-17 18:00:00,MTL/USDT,1.1753,1.1764,1.1753,1.1764,11.8866,13.98233472
1663434000,2022-09-17 17:00:00,MTL/USDT,1.176,1.1792,1.174,1.1749,5406.22459302,6364.909363429184
1663430400,2022-09-17 16:00:00,MTL/USDT,1.17,1.1754,1.1697,1.1754,109.38111742,128.042970182514
1663426800,2022-09-17 15:00:00,MTL/USDT,1.1688,1.17,1.1679,1.17,128.52775824,150.228730248384
1663423200,2022-09-17 14:00:00,MTL/USDT,1.1658,1.169,1.1658,1.1688,1784.20356678,2083.457242728336
1663419600,2022-09-17 13:00:00,MTL/USDT,1.1658,1.1658,1.1634,1.1656,144.48095937,168.14416746849
1663416000,2022-09-17 12:00:00,MTL/USDT,1.1613,1.1647,1.1613,1.1634,297.0646,345.33479857
1663412400,2022-09-17 11:00:00,MTL/USDT,1.1621,1.1637,1.1621,1.1637,72.7168,84.6201864
1663408800,2022-09-17 10:00:00,MTL/USDT,1.1605,1.1606,1.159,1.1606,47.99775229,55.686588062545
1663405200,2022-09-17 09:00:00,MTL/USDT,1.1601,1.1601,1.1601,1.1601,1.3256,1.53782856
1663401600,2022-09-17 08:00:00,MTL/USDT,1.1577,1.1641,1.1569,1.1622,97.03999192,112.321993653288
1663398000,2022-09-17 07:00:00,MTL/USDT,1.162,1.1626,1.1524,1.1567,959.16536598,1109.876415978002
1663394400,2022-09-17 06:00:00,MTL/USDT,1.163,1.1671,1.161,1.1625,127.45117361,148.370381234336
1663390800,2022-09-17 05:00:00,MTL/USDT,1.1674,1.1687,1.1635,1.1635,141.82515986,165.534111741215
