https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume TON
1663549200000,2022-09-19 01:00:00,TON/USDT,1.586624,1.607277,1.581452,1.600272,435.2030017270646,271.95564362
1663545600000,2022-09-19 00:00:00,TON/USDT,1.592765,1.5999,1.57,1.587541,3166.265032273819,1994.44614802
1663542000000,2022-09-18 23:00:00,TON/USDT,1.587866,1.588693,1.578231,1.583295,490.82144999999997,310.0
1663538400000,2022-09-18 22:00:00,TON/USDT,1.58815,1.592873,1.574262,1.588182,725.19449787563,456.61926522
1663534800000,2022-09-18 21:00:00,TON/USDT,1.597208,1.641,1.58,1.594823,5965.058219721811,3740.26347734
1663531200000,2022-09-18 20:00:00,TON/USDT,1.595996,1.601,1.59,1.596601,722.9140443627289,452.78315895
1663527600000,2022-09-18 19:00:00,TON/USDT,1.59544,1.601125,1.59,1.596958,1899.9220455505397,1189.71322073
1663524000000,2022-09-18 18:00:00,TON/USDT,1.59836,1.600129,1.584013,1.599492,780.7827603408119,488.144211
1663520400000,2022-09-18 17:00:00,TON/USDT,1.627453,1.62853,1.584014,1.597797,4769.994057561843,2985.35674905
1663516800000,2022-09-18 16:00:00,TON/USDT,1.63276,1.6428,1.607501,1.626977,2011.517816899992,1236.35295207
1663513200000,2022-09-18 15:00:00,TON/USDT,1.633274,1.642799,1.627091,1.629427,632.9382113079546,388.44220165
1663509600000,2022-09-18 14:00:00,TON/USDT,1.624734,1.642799,1.616101,1.628511,649.160152834186,398.62190236
1663506000000,2022-09-18 13:00:00,TON/USDT,1.638757,1.638757,1.622516,1.634382,968.84530578,592.79
1663502400000,2022-09-18 12:00:00,TON/USDT,1.623707,1.6366,1.619249,1.6366,1497.68420554683,915.11927505
1663498800000,2022-09-18 11:00:00,TON/USDT,1.621014,1.62998,1.6146,1.622807,781.7653050743603,481.73646347
1663495200000,2022-09-18 10:00:00,TON/USDT,1.614944,1.629999,1.611686,1.624798,490.9780895977243,302.17792587
1663491600000,2022-09-18 09:00:00,TON/USDT,1.637871,1.649998,1.60564,1.626278,994.7830088716892,611.69308622
1663488000000,2022-09-18 08:00:00,TON/USDT,1.641317,1.663995,1.633326,1.640259,30307.88866405357,18477.50182383
1663484400000,2022-09-18 07:00:00,TON/USDT,1.64072,1.660025,1.634864,1.639502,700.9310277176405,427.52679028
1663480800000,2022-09-18 06:00:00,TON/USDT,1.647297,1.647681,1.633394,1.639507,601.699069,367.0
1663477200000,2022-09-18 05:00:00,TON/USDT,1.62379,1.645856,1.622677,1.640851,884.5431783471234,539.07586877
1663473600000,2022-09-18 04:00:00,TON/USDT,1.631201,1.63864,1.6152,1.625597,653.4599356710879,401.98150936
1663470000000,2022-09-18 03:00:00,TON/USDT,1.628793,1.637207,1.624819,1.633222,573.2609219999999,351.0
1663466400000,2022-09-18 02:00:00,TON/USDT,1.636419,1.637214,1.624952,1.632254,564.759884,346.0
1663462800000,2022-09-18 01:00:00,TON/USDT,1.644143,1.646877,1.630963,1.633669,2590.672033911953,1585.799837
1663459200000,2022-09-18 00:00:00,TON/USDT,1.642812,1.664999,1.62105,1.640753,4111.288992603341,2505.73303392
1663455600000,2022-09-17 23:00:00,TON/USDT,1.633549,1.64,1.618012,1.64,737.7570079404,449.85183411
1663452000000,2022-09-17 22:00:00,TON/USDT,1.628654,1.635963,1.624078,1.626633,639.266769,393.0
1663448400000,2022-09-17 21:00:00,TON/USDT,1.631258,1.635975,1.615201,1.625496,608.7387140771208,374.4941323
1663444800000,2022-09-17 20:00:00,TON/USDT,1.635385,1.6452,1.624341,1.630004,480.11443511144154,294.54801038
1663441200000,2022-09-17 19:00:00,TON/USDT,1.629837,1.636026,1.620765,1.627903,586.04508,360.0
1663437600000,2022-09-17 18:00:00,TON/USDT,1.62579,1.645199,1.624234,1.63063,607.2162198451773,372.38136171
1663434000000,2022-09-17 17:00:00,TON/USDT,1.626665,1.645199,1.622462,1.628409,613.7709641607727,376.91450008
1663430400000,2022-09-17 16:00:00,TON/USDT,1.627016,1.632736,1.62047,1.622503,569.69122523125,351.11875
