https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PIVX,Volume USDT
1658880000,2022-07-27 00:00:00,PIVX/USDT,0.171,0.1744,0.1668,0.1682,16665.5241,2852.3934505
1658793600,2022-07-26 00:00:00,PIVX/USDT,0.151,0.189,0.1479,0.1725,105913.7341,17598.04775373
1658707200,2022-07-25 00:00:00,PIVX/USDT,0.1684,0.169,0.1486,0.1516,155287.0369,24119.24735109
1658620800,2022-07-24 00:00:00,PIVX/USDT,0.1717,0.179,0.1684,0.1684,49402.2058,8581.38061019
1658534400,2022-07-23 00:00:00,PIVX/USDT,0.1677,0.1773,0.1662,0.1717,62115.3366,10613.48063497
1658448000,2022-07-22 00:00:00,PIVX/USDT,0.1682,0.1849,0.1591,0.1688,137246.615,23502.00472079
1658361600,2022-07-21 00:00:00,PIVX/USDT,0.1606,0.1879,0.1526,0.1674,138303.1136,22948.13034013
1658275200,2022-07-20 00:00:00,PIVX/USDT,0.1739,0.179,0.16,0.1606,102258.5532,17133.9032901
1658188800,2022-07-19 00:00:00,PIVX/USDT,0.1644,0.1812,0.1624,0.1739,155868.5291,26926.25496982
1658102400,2022-07-18 00:00:00,PIVX/USDT,0.1417,0.2062,0.141,0.1655,654506.9864,115767.82346503
1658016000,2022-07-17 00:00:00,PIVX/USDT,0.1447,0.1479,0.1384,0.1417,51405.9587,7360.34404226
1657929600,2022-07-16 00:00:00,PIVX/USDT,0.1289,0.162,0.1271,0.1439,637984.2317,93022.44685557
1657843200,2022-07-15 00:00:00,PIVX/USDT,0.1347,0.1349,0.1267,0.1289,120088.9379,15668.4632202
1657756800,2022-07-14 00:00:00,PIVX/USDT,0.1393,0.1554,0.127,0.1349,1236004.9695,172406.62038645
1657670400,2022-07-13 00:00:00,PIVX/USDT,0.11,0.2083,0.1099,0.1398,2234975.1602121,359072.81976705786
1657584000,2022-07-12 00:00:00,PIVX/USDT,0.1052,0.1239,0.1038,0.11,257306.0374,29340.81914602
1657497600,2022-07-11 00:00:00,PIVX/USDT,0.1152,0.1156,0.1047,0.1056,46412.6686,5146.4098812
1657411200,2022-07-10 00:00:00,PIVX/USDT,0.1206,0.1206,0.1131,0.1147,26030.925,3056.54558355
1657324800,2022-07-09 00:00:00,PIVX/USDT,0.1233,0.1285,0.1182,0.1207,53003.1869,6551.82206819
1657238400,2022-07-08 00:00:00,PIVX/USDT,0.1215,0.141,0.119,0.1233,421068.8096,54147.61303409
1657152000,2022-07-07 00:00:00,PIVX/USDT,0.1153,0.123,0.1142,0.121,42189.86044902,5002.573108795808
1657065600,2022-07-06 00:00:00,PIVX/USDT,0.1083,0.1153,0.107,0.1146,51884.09641759,5809.476126915972
1656979200,2022-07-05 00:00:00,PIVX/USDT,0.1119,0.1135,0.1065,0.1084,32802.81642416,3615.314860952233
1656892800,2022-07-04 00:00:00,PIVX/USDT,0.1069,0.1273,0.1067,0.1124,274486.74843597,31178.04257161588
1656806400,2022-07-03 00:00:00,PIVX/USDT,0.1057,0.1122,0.0999,0.107,127529.14310031,13433.718449836601
1656720000,2022-07-02 00:00:00,PIVX/USDT,0.1018,0.1073,0.1018,0.1059,77037.08242277,8068.797141647373
1656633600,2022-07-01 00:00:00,PIVX/USDT,0.1007,0.1059,0.0967,0.1018,94697.40380382,9669.676533026931
1656547200,2022-06-30 00:00:00,PIVX/USDT,0.1007,0.1019,0.0946,0.1013,98788.59569671,9677.30215924661
1656460800,2022-06-29 00:00:00,PIVX/USDT,0.1055,0.1062,0.097,0.1009,121632.88110522,12278.569305373639
1656374400,2022-06-28 00:00:00,PIVX/USDT,0.102,0.1289,0.1001,0.1054,406477.93467064,45719.310378706764
1656288000,2022-06-27 00:00:00,PIVX/USDT,0.1008,0.1056,0.0988,0.102,53593.04225425,5480.578984029664
1656201600,2022-06-26 00:00:00,PIVX/USDT,0.1081,0.1201,0.1005,0.1013,168499.1713616,18416.225878504649
1656115200,2022-06-25 00:00:00,PIVX/USDT,0.1039,0.109,0.0996,0.1089,204638.23558984,21140.133321098114
1656028800,2022-06-24 00:00:00,PIVX/USDT,0.1002,0.1101,0.0987,0.104,192457.40541402,20347.002664411398
