https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume DOGE
1663549200000,2022-09-19 01:00:00,DOGE/EUR,0.05784298,0.05792445,0.05784298,0.05792035,117.63623085,2031.0
1663545600000,2022-09-19 00:00:00,DOGE/EUR,0.05732704,0.05809676,0.05732704,0.05793794,514.1695860646971,8874.48856595
1663542000000,2022-09-18 23:00:00,DOGE/EUR,0.05743224,0.05775882,0.05720896,0.05733572,514.3014084,8970.0
1663538400000,2022-09-18 22:00:00,DOGE/EUR,0.05768163,0.05769764,0.05691037,0.05747373,500.29380313567424,8704.73872386
1663534800000,2022-09-18 21:00:00,DOGE/EUR,0.05955216,0.05955216,0.05737651,0.05784009,6804.729501950134,117647.28412335
1663531200000,2022-09-18 20:00:00,DOGE/EUR,0.05973256,0.05978128,0.05946845,0.05952828,483.2876111063167,8118.62212559
1663527600000,2022-09-18 19:00:00,DOGE/EUR,0.05964224,0.05987699,0.05951436,0.05981103,435.36448737,7279.0
1663524000000,2022-09-18 18:00:00,DOGE/EUR,0.05984915,0.06007161,0.05947976,0.05972798,533.5237018658639,8932.55894249
1663520400000,2022-09-18 17:00:00,DOGE/EUR,0.06013725,0.06016769,0.05984363,0.0598483,551.148661965943,9209.09469385
1663516800000,2022-09-18 16:00:00,DOGE/EUR,0.0604397,0.06061584,0.05984164,0.06019379,527.4264234071101,8762.14013783
1663513200000,2022-09-18 15:00:00,DOGE/EUR,0.06050605,0.0607626,0.06045145,0.0604696,390.8150248,6463.0
1663509600000,2022-09-18 14:00:00,DOGE/EUR,0.0608223,0.06104374,0.0604293,0.06071227,548.65678399,9037.0
1663506000000,2022-09-18 13:00:00,DOGE/EUR,0.06080911,0.06094596,0.06068584,0.06086149,596.35636126867,9798.583
1663502400000,2022-09-18 12:00:00,DOGE/EUR,0.06069802,0.06082013,0.06046099,0.06081413,562.59151663,9251.0
1663498800000,2022-09-18 11:00:00,DOGE/EUR,0.06055444,0.06073502,0.06055444,0.06065386,512.8890401599999,8456.0
1663495200000,2022-09-18 10:00:00,DOGE/EUR,0.06069317,0.06079206,0.06044655,0.06060713,533.244394863448,8798.37726788
1663491600000,2022-09-18 09:00:00,DOGE/EUR,0.06146041,0.06152081,0.0606866,0.06068718,600.733105705236,9898.84693448
1663488000000,2022-09-18 08:00:00,DOGE/EUR,0.06139052,0.06155378,0.06137747,0.06140876,526.39589072,8572.0
1663484400000,2022-09-18 07:00:00,DOGE/EUR,0.06139309,0.06153598,0.06136091,0.06138021,554.07915567,9027.0
1663480800000,2022-09-18 06:00:00,DOGE/EUR,0.06156788,0.06162825,0.06138255,0.06138255,511.8077019,8338.0
1663477200000,2022-09-18 05:00:00,DOGE/EUR,0.06142085,0.06163878,0.06139338,0.06159516,510.56228124,8289.0
1663473600000,2022-09-18 04:00:00,DOGE/EUR,0.06136219,0.06148114,0.06136219,0.06142313,492.06069443,8011.0
1663470000000,2022-09-18 03:00:00,DOGE/EUR,0.06135722,0.06141009,0.0613477,0.06139923,643.4639304,10480.0
1663466400000,2022-09-18 02:00:00,DOGE/EUR,0.06174026,0.0618789,0.06131664,0.06135454,520.0358983379505,8475.91552863
1663462800000,2022-09-18 01:00:00,DOGE/EUR,0.06166395,0.06183372,0.06158668,0.0616877,605.958161744001,9822.99813
1663459200000,2022-09-18 00:00:00,DOGE/EUR,0.0621302,0.06213526,0.0616205,0.06166639,601.1797025699542,9748.90378
1663455600000,2022-09-17 23:00:00,DOGE/EUR,0.06189407,0.06218093,0.06184364,0.06210318,534.2794374481848,8603.09306944
1663452000000,2022-09-17 22:00:00,DOGE/EUR,0.06164506,0.06190703,0.0615829,0.06185298,562.2287147293496,9089.7595351
1663448400000,2022-09-17 21:00:00,DOGE/EUR,0.06165995,0.06185235,0.06152984,0.06164378,543.1433455800001,8811.0
1663444800000,2022-09-17 20:00:00,DOGE/EUR,0.06159393,0.06176562,0.0614744,0.06165354,521.95886964,8466.0
1663441200000,2022-09-17 19:00:00,DOGE/EUR,0.06161762,0.06163854,0.06133146,0.06161886,487.7313942380424,7915.29402261
