https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MKR,Volume USDT
1663462800,2022-09-18 01:00:00,MKR/USDT,682.14,682.14,682.14,682.14,0.06728823,45.8999932122
1663459200,2022-09-18 00:00:00,MKR/USDT,686.99,686.99,681.37,681.41,18.47285562,12615.7004613838
1663455600,2022-09-17 23:00:00,MKR/USDT,686.23,688.56,685.02,686.39,7.05812176,4842.7087900656
1663452000,2022-09-17 22:00:00,MKR/USDT,683.7,685.97,682.87,685.96,7.6286,5219.659794
1663448400,2022-09-17 21:00:00,MKR/USDT,685.2,685.31,682.58,683.31,6.13982261,4206.3180348591
1663444800,2022-09-17 20:00:00,MKR/USDT,683.05,685.15,682.48,684.7,4.3813,2994.343478
1663441200,2022-09-17 19:00:00,MKR/USDT,683.47,684.01,682,684.01,5.1065,3486.707213
1663437600,2022-09-17 18:00:00,MKR/USDT,684.53,686.42,682.57,683.64,9.72014268,6662.6304231128
1663434000,2022-09-17 17:00:00,MKR/USDT,683.67,688.26,683.09,685.47,11.5979,7940.834651
1663430400,2022-09-17 16:00:00,MKR/USDT,678.67,686.77,678.67,681.96,7.94799097,5425.2494923693
1663426800,2022-09-17 15:00:00,MKR/USDT,676.4,679.17,674.94,679.17,3.4468,2330.661186
1663423200,2022-09-17 14:00:00,MKR/USDT,670.11,676.59,670.11,676.59,8.73933989,5879.5170733448
1663419600,2022-09-17 13:00:00,MKR/USDT,669.67,671.47,668.32,671.09,3.04652728,2043.593997608
1663416000,2022-09-17 12:00:00,MKR/USDT,667.3,669.49,665.23,669.09,6.94145954,4633.3599781285
1663412400,2022-09-17 11:00:00,MKR/USDT,669.51,669.51,667.78,667.78,5.3397,3569.000403
1663408800,2022-09-17 10:00:00,MKR/USDT,670.88,671.86,665.07,669.31,6.34713303,4241.7043935304
1663405200,2022-09-17 09:00:00,MKR/USDT,671.38,672.45,670.65,670.89,1.518,1019.261828
1663401600,2022-09-17 08:00:00,MKR/USDT,670.19,672.72,670.17,671.93,4.3556,2924.395146
1663398000,2022-09-17 07:00:00,MKR/USDT,671.02,671.14,668.85,670.25,3.75364315,2512.1570543459
