https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOSBEAR,Volume USDT
1663545600000.0,2022-09-19 00:00:00,EOSBEAR/USDT,1.71e-06,1.72e-06,1.68e-06,1.7e-06,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,EOSBEAR/USDT,1.21e-06,1.74e-06,1.21e-06,1.71e-06,174635672.5146199,298.627
1663372800000.0,2022-09-17 00:00:00,EOSBEAR/USDT,1.37e-06,1.39e-06,1.17e-06,1.21e-06,15669421.487603305,18.96
1663286400000.0,2022-09-16 00:00:00,EOSBEAR/USDT,1.52e-06,1.52e-06,1.28e-06,1.37e-06,527669343.06569344,722.907
1663200000000.0,2022-09-15 00:00:00,EOSBEAR/USDT,1.28e-06,1.53e-06,1.26e-06,1.52e-06,87498026.31578948,132.997
1663113600000.0,2022-09-14 00:00:00,EOSBEAR/USDT,1.3e-06,1.42e-06,1.2e-06,1.28e-06,4087911718.75,5232.527
1663027200000.0,2022-09-13 00:00:00,EOSBEAR/USDT,9.6e-07,1.3e-06,9.1e-07,1.3e-06,1468998461.5384614,1909.698
1662940800000.0,2022-09-12 00:00:00,EOSBEAR/USDT,8.9e-07,9.9e-07,8e-07,9.6e-07,726642708.3333334,697.577
1662854400000.0,2022-09-11 00:00:00,EOSBEAR/USDT,8.2e-07,9.3e-07,7.3e-07,8.9e-07,98629213.48314607,87.78
1662768000000.0,2022-09-10 00:00:00,EOSBEAR/USDT,1.01e-06,1.04e-06,6.8e-07,8.2e-07,2032421951.2195122,1666.586
1662681600000.0,2022-09-09 00:00:00,EOSBEAR/USDT,1.16e-06,1.22e-06,8.9e-07,1.01e-06,1962830693.0693069,1982.459
1662595200000.0,2022-09-08 00:00:00,EOSBEAR/USDT,1.04e-06,1.2e-06,9.7e-07,1.16e-06,2187894827.586207,2537.958
1662508800000.0,2022-09-07 00:00:00,EOSBEAR/USDT,2e-06,2.13e-06,1.01e-06,1.04e-06,3621870192.307692,3766.745
1662422400000.0,2022-09-06 00:00:00,EOSBEAR/USDT,1.51e-06,2.03e-06,1.45e-06,2e-06,893644500.0,1787.289
1662336000000.0,2022-09-05 00:00:00,EOSBEAR/USDT,1.78e-06,2.03e-06,1.45e-06,1.51e-06,558041721.8543047,842.643
1662249600000.0,2022-09-04 00:00:00,EOSBEAR/USDT,1.7e-06,1.87e-06,1.63e-06,1.78e-06,38350561.79775281,68.264
1662163200000.0,2022-09-03 00:00:00,EOSBEAR/USDT,1.61e-06,1.73e-06,1.48e-06,1.7e-06,360446470.5882353,612.759
1662076800000.0,2022-09-02 00:00:00,EOSBEAR/USDT,1.87e-06,1.87e-06,1.51e-06,1.61e-06,2089068322.9813664,3363.4
1661990400000.0,2022-09-01 00:00:00,EOSBEAR/USDT,2.46e-06,2.57e-06,1.86e-06,1.87e-06,576513903.7433155,1078.081
1661904000000.0,2022-08-31 00:00:00,EOSBEAR/USDT,2.35e-06,2.47e-06,2.1e-06,2.46e-06,251475609.75609756,618.63
1661817600000.0,2022-08-30 00:00:00,EOSBEAR/USDT,1.93e-06,2.47e-06,1.87e-06,2.35e-06,775747234.0425532,1823.006
1661731200000.0,2022-08-29 00:00:00,EOSBEAR/USDT,2.3e-06,2.36e-06,1.91e-06,1.93e-06,655538860.103627,1265.19
1661644800000.0,2022-08-28 00:00:00,EOSBEAR/USDT,1.85e-06,2.3e-06,1.78e-06,2.3e-06,1017510869.5652174,2340.275
1661558400000.0,2022-08-27 00:00:00,EOSBEAR/USDT,1.86e-06,2.09e-06,1.82e-06,1.85e-06,1946478378.3783784,3600.985
1661472000000.0,2022-08-26 00:00:00,EOSBEAR/USDT,1.39e-06,1.9e-06,1.31e-06,1.86e-06,2344848387.096774,4361.418
1661385600000.0,2022-08-25 00:00:00,EOSBEAR/USDT,1.28e-06,1.55e-06,1.28e-06,1.39e-06,374929496.40287775,521.152
1661299200000.0,2022-08-24 00:00:00,EOSBEAR/USDT,1.25e-06,1.49e-06,1.24e-06,1.28e-06,46964843.75,60.115
1661212800000.0,2022-08-23 00:00:00,EOSBEAR/USDT,1.17e-06,1.41e-06,1.11e-06,1.25e-06,2101071199.9999998,2626.339
1661126400000.0,2022-08-22 00:00:00,EOSBEAR/USDT,2.03e-06,2.44e-06,1.03e-06,1.17e-06,7278492307.6923065,8515.836
1661040000000.0,2022-08-21 00:00:00,EOSBEAR/USDT,2.96e-06,3.13e-06,2e-06,2.03e-06,1657517733.9901478,3364.761
1660953600000.0,2022-08-20 00:00:00,EOSBEAR/USDT,4.23e-06,4.24e-06,2.89e-06,2.96e-06,124483885.13513514,368.4723
1660867200000.0,2022-08-19 00:00:00,EOSBEAR/USDT,2.92e-06,4.25e-06,2.91e-06,4.23e-06,174896950.35460994,739.8141
1660780800000.0,2022-08-18 00:00:00,EOSBEAR/USDT,3e-06,3.36e-06,2.49e-06,2.92e-06,675199657.5342466,1971.583
1660694400000.0,2022-08-17 00:00:00,EOSBEAR/USDT,4.07e-06,4.17e-06,2.19e-06,3e-06,2178826500.0,6536.4795
1660608000000.0,2022-08-16 00:00:00,EOSBEAR/USDT,5.48e-06,5.78e-06,4.06e-06,4.07e-06,106593144.96314496,433.8341
1660521600000.0,2022-08-15 00:00:00,EOSBEAR/USDT,5.05e-06,5.69e-06,4.48e-06,5.48e-06,184065018.24817517,1008.6763
1660435200000.0,2022-08-14 00:00:00,EOSBEAR/USDT,4.64e-06,5.16e-06,4.33e-06,5.05e-06,10454554.455445545,52.7955
1660348800000.0,2022-08-13 00:00:00,EOSBEAR/USDT,4.89e-06,4.96e-06,4.09e-06,4.64e-06,5988750.000000001,27.7878
1660262400000.0,2022-08-12 00:00:00,EOSBEAR/USDT,5.04e-06,5.52e-06,4.87e-06,4.89e-06,303050122.6993865,1481.9151
1660176000000.0,2022-08-11 00:00:00,EOSBEAR/USDT,5.58e-06,5.61e-06,4.78e-06,5.04e-06,227398293.65079364,1146.0874
1660089600000.0,2022-08-10 00:00:00,EOSBEAR/USDT,7.32e-06,7.81e-06,5.36e-06,5.58e-06,26256594.982078854,146.5118
1660003200000.0,2022-08-09 00:00:00,EOSBEAR/USDT,6.21e-06,7.61e-06,6.12e-06,7.32e-06,45349234.97267759,331.9564
1659916800000.0,2022-08-08 00:00:00,EOSBEAR/USDT,6.59e-06,6.61e-06,5.73e-06,6.21e-06,1335249.5974235106,8.2919
1659830400000.0,2022-08-07 00:00:00,EOSBEAR/USDT,6.7e-06,7.05e-06,6.27e-06,6.59e-06,26415220.030349016,174.0763
1659744000000.0,2022-08-06 00:00:00,EOSBEAR/USDT,6.25e-06,6.71e-06,6.07e-06,6.7e-06,17913000.0,120.0171
1659657600000.0,2022-08-05 00:00:00,EOSBEAR/USDT,7.72e-06,7.79e-06,6.15e-06,6.25e-06,173235423.99999997,1082.7214
1659571200000.0,2022-08-04 00:00:00,EOSBEAR/USDT,8.03e-06,8.23e-06,7.31e-06,7.72e-06,90591904.14507772,699.3695
1659484800000.0,2022-08-03 00:00:00,EOSBEAR/USDT,7.8e-06,8.42e-06,6.88e-06,8.03e-06,697073997.50934,5597.5042
1659398400000.0,2022-08-02 00:00:00,EOSBEAR/USDT,6.73e-06,8.2e-06,6.54e-06,7.8e-06,281038384.61538464,2192.0994
1659312000000.0,2022-08-01 00:00:00,EOSBEAR/USDT,5.7e-06,6.98e-06,5.3e-06,6.73e-06,68110029.71768202,458.3805
1659225600000.0,2022-07-31 00:00:00,EOSBEAR/USDT,6.24e-06,6.64e-06,4.49e-06,5.7e-06,479895614.03508776,2735.405
1659139200000.0,2022-07-30 00:00:00,EOSBEAR/USDT,6.42e-06,6.78e-06,5.21e-06,6.24e-06,18089150.64102564,112.8763
1659052800000.0,2022-07-29 00:00:00,EOSBEAR/USDT,6.11e-06,7.03e-06,6.03e-06,6.42e-06,79874345.79439253,512.7933
1658966400000.0,2022-07-28 00:00:00,EOSBEAR/USDT,7.4e-06,7.75e-06,5.71e-06,6.11e-06,18532127.659574468,113.2313
1658880000000.0,2022-07-27 00:00:00,EOSBEAR/USDT,1.136e-05,1.186e-05,7.32e-06,7.4e-06,83201608.1081081,615.6919
1658793600000.0,2022-07-26 00:00:00,EOSBEAR/USDT,1.144e-05,1.27e-05,1.125e-05,1.136e-05,51852350.35211267,589.0427
1658707200000.0,2022-07-25 00:00:00,EOSBEAR/USDT,9.25e-06,1.154e-05,9.15e-06,1.143e-05,40379361.32983377,461.5361
1658620800000.0,2022-07-24 00:00:00,EOSBEAR/USDT,1.077e-05,1.085e-05,8.16e-06,9.25e-06,132666583.7837838,1227.1659
1658534400000.0,2022-07-23 00:00:00,EOSBEAR/USDT,1.036e-05,1.163e-05,9.82e-06,1.077e-05,3971578.4586815224,42.7739
1658448000000.0,2022-07-22 00:00:00,EOSBEAR/USDT,1.544e-05,1.603e-05,9.78e-06,1.036e-05,221570000.0,2295.4652
1658361600000.0,2022-07-21 00:00:00,EOSBEAR/USDT,1.615e-05,1.759e-05,1.539e-05,1.544e-05,85453724.09326425,1319.4055
1658275200000.0,2022-07-20 00:00:00,EOSBEAR/USDT,1.47e-05,1.651e-05,1.369e-05,1.615e-05,13552761.609907122,218.8771
1658188800000.0,2022-07-19 00:00:00,EOSBEAR/USDT,1.558e-05,1.7e-05,1.404e-05,1.47e-05,71486469.38775511,1050.8511
1658102400000.0,2022-07-18 00:00:00,EOSBEAR/USDT,1.986e-05,1.996e-05,1.518e-05,1.558e-05,60266912.70860077,938.9585
1658016000000.0,2022-07-17 00:00:00,EOSBEAR/USDT,1.88e-05,2.029e-05,1.782e-05,1.986e-05,30190991.94360524,599.5931
1657929600000.0,2022-07-16 00:00:00,EOSBEAR/USDT,2.089e-05,2.219e-05,1.83e-05,1.88e-05,72200787.23404256,1357.3748
1657843200000.0,2022-07-15 00:00:00,EOSBEAR/USDT,2.121e-05,2.246e-05,1.981e-05,2.089e-05,10766017.233125897,224.9021
1657756800000.0,2022-07-14 00:00:00,EOSBEAR/USDT,2.288e-05,2.499e-05,2.079e-05,2.121e-05,778576.1433286186,16.5136
1657670400000.0,2022-07-13 00:00:00,EOSBEAR/USDT,2.585e-05,2.79e-05,2.243e-05,2.288e-05,5933090.034965035,135.7491
1657584000000.0,2022-07-12 00:00:00,EOSBEAR/USDT,2.398e-05,2.585e-05,2.331e-05,2.585e-05,6966970.986460349,180.0962
1657497600000.0,2022-07-11 00:00:00,EOSBEAR/USDT,2.015e-05,2.432e-05,2.007e-05,2.398e-05,2862235.1959966635,68.6364
1657411200000.0,2022-07-10 00:00:00,EOSBEAR/USDT,1.844e-05,2.049e-05,1.844e-05,2.015e-05,766272.952853598,15.4404
1657324800000.0,2022-07-09 00:00:00,EOSBEAR/USDT,1.975e-05,1.997e-05,1.789e-05,1.844e-05,75808.02603036875,1.3979
1657238400000.0,2022-07-08 00:00:00,EOSBEAR/USDT,1.885e-05,2.023e-05,1.698e-05,1.975e-05,155529.11392405065,3.0717
1657152000000.0,2022-07-07 00:00:00,EOSBEAR/USDT,2.11e-05,2.194e-05,1.85e-05,1.885e-05,465697.61273209547,8.7784
1657065600000.0,2022-07-06 00:00:00,EOSBEAR/USDT,2.305e-05,2.349e-05,2.036e-05,2.11e-05,351478.672985782,7.4162
1656979200000.0,2022-07-05 00:00:00,EOSBEAR/USDT,2.207e-05,2.556e-05,2.111e-05,2.305e-05,141336.2255965293,3.2578
1656892800000.0,2022-07-04 00:00:00,EOSBEAR/USDT,2.541e-05,2.726e-05,2.189e-05,2.212e-05,16336500.90415913,361.3634
1656806400000.0,2022-07-03 00:00:00,EOSBEAR/USDT,2.586e-05,2.795e-05,2.512e-05,2.541e-05,156753.24675324676,3.9831
1656720000000.0,2022-07-02 00:00:00,EOSBEAR/USDT,2.894e-05,2.957e-05,2.548e-05,2.586e-05,128894.0448569219,3.3332
1656633600000.0,2022-07-01 00:00:00,EOSBEAR/USDT,2.755e-05,3.039e-05,2.542e-05,2.894e-05,76566278.5072564,2215.8281
1656547200000.0,2022-06-30 00:00:00,EOSBEAR/USDT,2.68e-05,3.185e-05,2.652e-05,2.755e-05,1787974.5916515426,49.2587
1656460800000.0,2022-06-29 00:00:00,EOSBEAR/USDT,2.587e-05,2.769e-05,2.51e-05,2.68e-05,1056638.0597014925,28.3179
1656374400000.0,2022-06-28 00:00:00,EOSBEAR/USDT,2.331e-05,2.611e-05,2.187e-05,2.587e-05,597889.4472361809,15.4674
1656288000000.0,2022-06-27 00:00:00,EOSBEAR/USDT,2.267e-05,2.408e-05,2.029e-05,2.333e-05,52816909.55850836,1232.2185
1656201600000.0,2022-06-26 00:00:00,EOSBEAR/USDT,2.178e-05,2.282e-05,1.975e-05,2.267e-05,250692.54521393913,5.6832
1656115200000.0,2022-06-25 00:00:00,EOSBEAR/USDT,2.212e-05,2.396e-05,2.065e-05,2.178e-05,369816.34527089074,8.0546
1656028800000.0,2022-06-24 00:00:00,EOSBEAR/USDT,2.449e-05,2.507e-05,2.097e-05,2.212e-05,517405.0632911392,11.445
1655942400000.0,2022-06-23 00:00:00,EOSBEAR/USDT,2.879e-05,2.905e-05,2.432e-05,2.449e-05,2159277.2560228663,52.8807
1655856000000.0,2022-06-22 00:00:00,EOSBEAR/USDT,2.581e-05,2.932e-05,2.581e-05,2.879e-05,1240701.6325112886,35.7198
1655769600000.0,2022-06-21 00:00:00,EOSBEAR/USDT,2.653e-05,2.787e-05,2.29e-05,2.581e-05,1234331.6543975205,31.8581
1655683200000.0,2022-06-20 00:00:00,EOSBEAR/USDT,2.637e-05,2.984e-05,2.462e-05,2.653e-05,0.0,0.0
1655596800000.0,2022-06-19 00:00:00,EOSBEAR/USDT,3.556e-05,3.734e-05,2.553e-05,2.637e-05,1133660.9783845278,29.89464
