https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GARI,Volume USDT
1663459200,2022-09-18 00:00:00,GARI/USDT,0.0629,0.063,0.0623,0.0623,53409.376,3347.25263914
1663372800,2022-09-17 00:00:00,GARI/USDT,0.0625,0.064,0.0609,0.0629,2154717.3749,134492.5557471
1663286400,2022-09-16 00:00:00,GARI/USDT,0.0615,0.0649,0.0607,0.0622,2915619.1946,182654.54985965
1663200000,2022-09-15 00:00:00,GARI/USDT,0.0641,0.0689,0.0604,0.0616,3103381.9117,195090.75764319
1663113600,2022-09-14 00:00:00,GARI/USDT,0.0635,0.0655,0.0611,0.0638,2766861.7461,174407.37675421
1663027200,2022-09-13 00:00:00,GARI/USDT,0.0648,0.0677,0.061,0.0634,4550443.2636,288499.12339477
1662940800,2022-09-12 00:00:00,GARI/USDT,0.0666,0.0675,0.0631,0.065,2381584.68058992,157076.038856570768
1662854400,2022-09-11 00:00:00,GARI/USDT,0.0692,0.0723,0.0666,0.0668,3075991.8876,212425.15659337
1662768000,2022-09-10 00:00:00,GARI/USDT,0.0662,0.0737,0.0651,0.0694,6399321.9093,444147.10415633
1662681600,2022-09-09 00:00:00,GARI/USDT,0.0637,0.0815,0.0632,0.0664,8756713.1155,598568.72658281
1662595200,2022-09-08 00:00:00,GARI/USDT,0.0644,0.066,0.0624,0.0635,2695792.7408,173799.39948123
1662508800,2022-09-07 00:00:00,GARI/USDT,0.0613,0.0669,0.0605,0.0643,3662226.6948,233412.23233822
1662422400,2022-09-06 00:00:00,GARI/USDT,0.0636,0.069,0.0603,0.0614,4302738.1179,273329.59308932
1662336000,2022-09-05 00:00:00,GARI/USDT,0.0644,0.0661,0.0629,0.0642,2191065.3661,141101.81726704
1662249600,2022-09-04 00:00:00,GARI/USDT,0.0642,0.0654,0.0624,0.0641,2731346.2692,174419.219905
1662163200,2022-09-03 00:00:00,GARI/USDT,0.0649,0.0683,0.062,0.0647,3769235.3171,241650.60899398
1662076800,2022-09-02 00:00:00,GARI/USDT,0.0641,0.0675,0.0629,0.0649,2609095.5783,169830.71360515
1661990400,2022-09-01 00:00:00,GARI/USDT,0.0645,0.0693,0.0598,0.0645,8941635.6436,565600.81206522
1661904000,2022-08-31 00:00:00,GARI/USDT,0.0629,0.0662,0.0625,0.0643,541304.43477705,34744.806737929049
1661817600,2022-08-30 00:00:00,GARI/USDT,0.0642,0.0674,0.061,0.0628,3510213.63445511,224428.891970583947
1661731200,2022-08-29 00:00:00,GARI/USDT,0.0643,0.0681,0.061,0.064,2567072.53885808,163728.125620799489
