https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEXO,Volume EUR
1663545600,2022-09-19 00:00:00,NEXO/EUR,0.88,0.88,0.88,0.88,0.00,0.0
1663542000,2022-09-18 23:00:00,NEXO/EUR,0.88,0.88,0.88,0.88,60.92,53.6096
1663538400,2022-09-18 22:00:00,NEXO/EUR,0.87,0.87,0.87,0.87,61.71,53.6877
1663534800,2022-09-18 21:00:00,NEXO/EUR,0.91,0.91,0.91,0.91,0.00,0.0
1663531200,2022-09-18 20:00:00,NEXO/EUR,0.91,0.91,0.91,0.91,0.00,0.0
1663527600,2022-09-18 19:00:00,NEXO/EUR,0.91,0.91,0.91,0.91,0.00,0.0
1663524000,2022-09-18 18:00:00,NEXO/EUR,0.91,0.91,0.91,0.91,0.00,0.0
1663520400,2022-09-18 17:00:00,NEXO/EUR,0.91,0.91,0.91,0.91,0.00,0.0
1663516800,2022-09-18 16:00:00,NEXO/EUR,0.91,0.91,0.91,0.91,61.71,56.1561
1663513200,2022-09-18 15:00:00,NEXO/EUR,0.92,0.92,0.92,0.92,61.13,56.2396
1663509600,2022-09-18 14:00:00,NEXO/EUR,0.94,0.94,0.94,0.94,0.00,0.0
1663506000,2022-09-18 13:00:00,NEXO/EUR,0.93,0.94,0.93,0.94,184.91,173.81539999999998
1663502400,2022-09-18 12:00:00,NEXO/EUR,0.92,0.92,0.92,0.92,0.00,0.0
1663498800,2022-09-18 11:00:00,NEXO/EUR,0.92,0.92,0.92,0.92,0.00,0.0
1663495200,2022-09-18 10:00:00,NEXO/EUR,0.92,0.92,0.92,0.92,62.65,57.638
1663491600,2022-09-18 09:00:00,NEXO/EUR,0.94,0.94,0.94,0.94,0.00,0.0
1663488000,2022-09-18 08:00:00,NEXO/EUR,0.93,0.94,0.93,0.94,126.07,118.5058
1663484400,2022-09-18 07:00:00,NEXO/EUR,0.94,0.94,0.94,0.94,0.00,0.0
1663480800,2022-09-18 06:00:00,NEXO/EUR,0.94,0.94,0.94,0.94,63.42,59.614799999999995
1663477200,2022-09-18 05:00:00,NEXO/EUR,0.93,0.93,0.93,0.93,268.97,250.14210000000003
1663473600,2022-09-18 04:00:00,NEXO/EUR,0.93,0.93,0.93,0.93,64.28,59.78040000000001
1663470000,2022-09-18 03:00:00,NEXO/EUR,0.92,0.92,0.92,0.92,0.00,0.0
1663466400,2022-09-18 02:00:00,NEXO/EUR,0.92,0.92,0.92,0.92,0.00,0.0
1663462800,2022-09-18 01:00:00,NEXO/EUR,0.92,0.92,0.92,0.92,65.08,59.8736
1663459200,2022-09-18 00:00:00,NEXO/EUR,0.93,0.93,0.93,0.93,65.07,60.5151
1663455600,2022-09-17 23:00:00,NEXO/EUR,0.92,0.92,0.92,0.92,0.00,0.0
1663452000,2022-09-17 22:00:00,NEXO/EUR,0.92,0.92,0.92,0.92,0.00,0.0
1663448400,2022-09-17 21:00:00,NEXO/EUR,0.92,0.92,0.92,0.92,0.00,0.0
1663444800,2022-09-17 20:00:00,NEXO/EUR,0.92,0.92,0.92,0.92,0.00,0.0
1663441200,2022-09-17 19:00:00,NEXO/EUR,0.92,0.92,0.92,0.92,0.00,0.0
1663437600,2022-09-17 18:00:00,NEXO/EUR,0.92,0.92,0.92,0.92,0.00,0.0
1663434000,2022-09-17 17:00:00,NEXO/EUR,0.92,0.92,0.92,0.92,0.00,0.0
1663430400,2022-09-17 16:00:00,NEXO/EUR,0.92,0.92,0.92,0.92,186.87,171.9204
1663426800,2022-09-17 15:00:00,NEXO/EUR,0.90,0.90,0.90,0.90,0.00,0.0
1663423200,2022-09-17 14:00:00,NEXO/EUR,0.90,0.90,0.90,0.90,0.00,0.0
1663419600,2022-09-17 13:00:00,NEXO/EUR,0.90,0.90,0.90,0.90,0.00,0.0
1663416000,2022-09-17 12:00:00,NEXO/EUR,0.90,0.90,0.90,0.90,67.34,60.606
1663412400,2022-09-17 11:00:00,NEXO/EUR,0.90,0.90,0.90,0.90,0.00,0.0
1663408800,2022-09-17 10:00:00,NEXO/EUR,0.90,0.90,0.90,0.90,0.00,0.0
1663405200,2022-09-17 09:00:00,NEXO/EUR,0.90,0.90,0.90,0.90,0.00,0.0
1663401600,2022-09-17 08:00:00,NEXO/EUR,0.90,0.90,0.90,0.90,77.99,70.191
1663398000,2022-09-17 07:00:00,NEXO/EUR,0.90,0.90,0.90,0.90,257.75,231.975
1663394400,2022-09-17 06:00:00,NEXO/EUR,0.90,0.90,0.90,0.90,0.00,0.0
1663390800,2022-09-17 05:00:00,NEXO/EUR,0.90,0.90,0.90,0.90,0.00,0.0
1663387200,2022-09-17 04:00:00,NEXO/EUR,0.90,0.90,0.90,0.90,0.00,0.0
1663383600,2022-09-17 03:00:00,NEXO/EUR,0.90,0.90,0.90,0.90,0.00,0.0
1663380000,2022-09-17 02:00:00,NEXO/EUR,0.90,0.90,0.90,0.90,0.00,0.0
1663376400,2022-09-17 01:00:00,NEXO/EUR,0.90,0.90,0.90,0.90,67.34,60.606
1663372800,2022-09-17 00:00:00,NEXO/EUR,0.89,0.89,0.89,0.89,68.20,60.698
1663369200,2022-09-16 23:00:00,NEXO/EUR,0.89,0.89,0.89,0.89,0.00,0.0
1663365600,2022-09-16 22:00:00,NEXO/EUR,0.89,0.89,0.89,0.89,0.00,0.0
1663362000,2022-09-16 21:00:00,NEXO/EUR,0.89,0.89,0.89,0.89,80.27,71.4403
1663358400,2022-09-16 20:00:00,NEXO/EUR,0.89,0.89,0.89,0.89,0.00,0.0
1663354800,2022-09-16 19:00:00,NEXO/EUR,0.89,0.89,0.89,0.89,203.68,181.2752
1663351200,2022-09-16 18:00:00,NEXO/EUR,0.89,0.89,0.89,0.89,68.20,60.698
1663347600,2022-09-16 17:00:00,NEXO/EUR,0.89,0.89,0.88,0.88,138.19,121.60719999999999
1663344000,2022-09-16 16:00:00,NEXO/EUR,0.89,0.89,0.89,0.89,0.00,0.0
1663340400,2022-09-16 15:00:00,NEXO/EUR,0.89,0.89,0.89,0.89,0.00,0.0
1663336800,2022-09-16 14:00:00,NEXO/EUR,0.89,0.89,0.89,0.89,69.20,61.588
1663333200,2022-09-16 13:00:00,NEXO/EUR,0.90,0.91,0.90,0.91,148.41,135.0531
1663329600,2022-09-16 12:00:00,NEXO/EUR,0.86,0.86,0.86,0.86,0.00,0.0
1663326000,2022-09-16 11:00:00,NEXO/EUR,0.86,0.86,0.86,0.86,0.00,0.0
1663322400,2022-09-16 10:00:00,NEXO/EUR,0.86,0.86,0.86,0.86,0.00,0.0
1663318800,2022-09-16 09:00:00,NEXO/EUR,0.86,0.86,0.86,0.86,0.00,0.0
1663315200,2022-09-16 08:00:00,NEXO/EUR,0.86,0.86,0.86,0.86,0.00,0.0
1663311600,2022-09-16 07:00:00,NEXO/EUR,0.86,0.86,0.86,0.86,0.00,0.0
1663308000,2022-09-16 06:00:00,NEXO/EUR,0.86,0.86,0.86,0.86,0.00,0.0
1663304400,2022-09-16 05:00:00,NEXO/EUR,0.86,0.86,0.86,0.86,0.00,0.0
1663300800,2022-09-16 04:00:00,NEXO/EUR,0.86,0.86,0.86,0.86,0.00,0.0
1663297200,2022-09-16 03:00:00,NEXO/EUR,0.86,0.86,0.86,0.86,0.00,0.0
1663293600,2022-09-16 02:00:00,NEXO/EUR,0.86,0.86,0.86,0.86,0.00,0.0
1663290000,2022-09-16 01:00:00,NEXO/EUR,0.86,0.86,0.86,0.86,0.00,0.0
1663286400,2022-09-16 00:00:00,NEXO/EUR,0.86,0.86,0.86,0.86,0.00,0.0
1663282800,2022-09-15 23:00:00,NEXO/EUR,0.86,0.86,0.86,0.86,0.00,0.0
1663279200,2022-09-15 22:00:00,NEXO/EUR,0.86,0.86,0.86,0.86,0.00,0.0
1663275600,2022-09-15 21:00:00,NEXO/EUR,0.86,0.86,0.86,0.86,0.00,0.0
1663272000,2022-09-15 20:00:00,NEXO/EUR,0.86,0.86,0.86,0.86,0.00,0.0
1663268400,2022-09-15 19:00:00,NEXO/EUR,0.86,0.86,0.86,0.86,0.00,0.0
1663264800,2022-09-15 18:00:00,NEXO/EUR,0.86,0.86,0.86,0.86,0.00,0.0
1663261200,2022-09-15 17:00:00,NEXO/EUR,0.86,0.86,0.86,0.86,0.00,0.0
1663257600,2022-09-15 16:00:00,NEXO/EUR,0.86,0.86,0.86,0.86,0.00,0.0
1663254000,2022-09-15 15:00:00,NEXO/EUR,0.87,0.87,0.86,0.86,90.09,77.4774
