https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TLM,Volume USDT
1663459200,2022-09-18 00:00:00,TLM/USDT,0.02349,0.02349,0.02325,0.02328,37854.19400693,881.5665915777857
1663372800,2022-09-17 00:00:00,TLM/USDT,0.02286,0.02351,0.02282,0.02349,1527885.52687056,35434.5627613399015
1663286400,2022-09-16 00:00:00,TLM/USDT,0.02249,0.02303,0.02219,0.02284,2211765.05103083,50065.2032923694095
1663200000,2022-09-15 00:00:00,TLM/USDT,0.0233,0.02337,0.02221,0.02255,3512713.70298497,80139.1567812062864
1663113600,2022-09-14 00:00:00,TLM/USDT,0.02319,0.02369,0.02264,0.02335,2751470.832875,63759.6759950718354
1663027200,2022-09-13 00:00:00,TLM/USDT,0.02475,0.02528,0.0228,0.02322,6404183.25981479,153953.50123116148
1662940800,2022-09-12 00:00:00,TLM/USDT,0.02537,0.02576,0.02467,0.02487,2531251.00667914,63839.2998440285597
1662854400,2022-09-11 00:00:00,TLM/USDT,0.02552,0.02615,0.02456,0.02546,5872073.31875142,149494.1782466788112
1662768000,2022-09-10 00:00:00,TLM/USDT,0.02598,0.0263,0.02488,0.02546,4206026.52477056,107538.4661007746413
1662681600,2022-09-09 00:00:00,TLM/USDT,0.02414,0.02652,0.02408,0.02599,8209842.11011619,209767.1343815675151
1662595200,2022-09-08 00:00:00,TLM/USDT,0.02397,0.02425,0.02353,0.02408,3301142.11375989,79054.3748329990218
1662508800,2022-09-07 00:00:00,TLM/USDT,0.02313,0.02442,0.02289,0.02398,3955026.99610988,93099.0981316191583
1662422400,2022-09-06 00:00:00,TLM/USDT,0.02507,0.02546,0.02312,0.02312,4258005.22767807,104212.7809905791061
1662336000,2022-09-05 00:00:00,TLM/USDT,0.02524,0.0272,0.02453,0.02506,3733174.70043291,93625.5763624263134
1662249600,2022-09-04 00:00:00,TLM/USDT,0.02476,0.02539,0.02455,0.02521,3413327.09501068,85194.5350680721645
1662163200,2022-09-03 00:00:00,TLM/USDT,0.0246,0.02522,0.02421,0.02479,2933860.31046532,72378.3920619332155
1662076800,2022-09-02 00:00:00,TLM/USDT,0.0247,0.02524,0.0242,0.02465,4006080.82232589,99062.4116880638486
1661990400,2022-09-01 00:00:00,TLM/USDT,0.02464,0.0249,0.02391,0.02469,5259696.64702009,128477.1802263448855
1661904000,2022-08-31 00:00:00,TLM/USDT,0.02479,0.02615,0.02445,0.02457,3726763.31999125,93424.4074045424681
1661817600,2022-08-30 00:00:00,TLM/USDT,0.02553,0.02592,0.02414,0.02468,2801945.80111615,69838.4715439883853
1661731200,2022-08-29 00:00:00,TLM/USDT,0.02417,0.02564,0.02359,0.0255,2065108.48529271,50414.4415692027916
1661644800,2022-08-28 00:00:00,TLM/USDT,0.02478,0.02514,0.02405,0.02412,2075807.56153762,51122.8118336899797
1661558400,2022-08-27 00:00:00,TLM/USDT,0.02465,0.02519,0.02414,0.02478,3467329.3318163,85321.8763914238665
1661472000,2022-08-26 00:00:00,TLM/USDT,0.0273,0.02735,0.0243,0.02469,5531747.41261203,142642.8122057204462
1661385600,2022-08-25 00:00:00,TLM/USDT,0.02625,0.0289,0.02614,0.0273,8288503.03273097,226649.0288275399339
1661299200,2022-08-24 00:00:00,TLM/USDT,0.02658,0.0271,0.02585,0.02626,2766096.09644303,73349.7715916197562
1661212800,2022-08-23 00:00:00,TLM/USDT,0.02638,0.02691,0.02566,0.0265,3183000.27939112,84160.9548666174055
1661126400,2022-08-22 00:00:00,TLM/USDT,0.027,0.02708,0.02527,0.0264,2715964.62621153,70417.07814254279
1661040000,2022-08-21 00:00:00,TLM/USDT,0.02649,0.02724,0.02594,0.027,6204887.65105505,165214.5345795484795
1660953600,2022-08-20 00:00:00,TLM/USDT,0.02535,0.02798,0.02534,0.02646,15128315.62084064,403028.829072591833
1660867200,2022-08-19 00:00:00,TLM/USDT,0.02813,0.02814,0.0251,0.02525,6220608.85501031,163056.2641735865098
1660780800,2022-08-18 00:00:00,TLM/USDT,0.03003,0.03027,0.02766,0.0282,2777230.93605534,81206.8586638416286
1660694400,2022-08-17 00:00:00,TLM/USDT,0.03131,0.03236,0.02969,0.03,5770071.37752972,177653.5804641411966
1660608000,2022-08-16 00:00:00,TLM/USDT,0.03114,0.03223,0.03064,0.03127,3954839.56548629,124203.0192662387957
1660521600,2022-08-15 00:00:00,TLM/USDT,0.03213,0.03315,0.0305,0.03113,2946148.64441995,92935.1865111437319
1660435200,2022-08-14 00:00:00,TLM/USDT,0.03288,0.03379,0.03152,0.03208,3015284.30467888,98578.3233026556439
1660348800,2022-08-13 00:00:00,TLM/USDT,0.03371,0.0343,0.03225,0.03292,3884432.52956341,128602.2058773157303
1660262400,2022-08-12 00:00:00,TLM/USDT,0.0314,0.0345,0.03123,0.03371,5695927.9726132,187934.3431388518005
1660176000,2022-08-11 00:00:00,TLM/USDT,0.03207,0.03288,0.03134,0.03154,3549247.09615409,114152.6045790179912
1660089600,2022-08-10 00:00:00,TLM/USDT,0.03068,0.03221,0.02985,0.03207,2297538.44077872,71386.4199140563353
1660003200,2022-08-09 00:00:00,TLM/USDT,0.03248,0.03293,0.02921,0.03071,4029126.26289374,124817.7147741385376
1659916800,2022-08-08 00:00:00,TLM/USDT,0.03136,0.03323,0.03136,0.03252,4574063.725464,148934.6697348422859
1659830400,2022-08-07 00:00:00,TLM/USDT,0.03073,0.0333,0.03053,0.03139,6684179.67339409,213927.6108412169537
1659744000,2022-08-06 00:00:00,TLM/USDT,0.03133,0.03168,0.03073,0.03085,2207455.06262213,68781.4572488568426
1659657600,2022-08-05 00:00:00,TLM/USDT,0.03041,0.03146,0.03038,0.03128,3777270.17790431,116648.1879075121525
1659571200,2022-08-04 00:00:00,TLM/USDT,0.03006,0.0337,0.02989,0.03037,9260110.67425956,285277.449666256238
1659484800,2022-08-03 00:00:00,TLM/USDT,0.02911,0.0305,0.02843,0.03009,2811106.6762165,84162.0037329957018
1659398400,2022-08-02 00:00:00,TLM/USDT,0.0302,0.03061,0.02818,0.02901,4867336.46682505,141248.1459814873607
1659312000,2022-08-01 00:00:00,TLM/USDT,0.03055,0.03085,0.0293,0.03028,4725489.04797623,141124.1342201859546
1659225600,2022-07-31 00:00:00,TLM/USDT,0.02924,0.03199,0.0292,0.03065,9383851.36523124,286950.1123374041388
1659139200,2022-07-30 00:00:00,TLM/USDT,0.02966,0.03141,0.029,0.02936,6737026.53554134,203697.0004593836546
1659052800,2022-07-29 00:00:00,TLM/USDT,0.02918,0.0318,0.0284,0.02967,17674252.89300269,530809.664626155999
1658966400,2022-07-28 00:00:00,TLM/USDT,0.02725,0.02982,0.02681,0.02923,8498007.02943298,238851.4540969437773
1658880000,2022-07-27 00:00:00,TLM/USDT,0.02564,0.02723,0.02506,0.02723,4274734.6010313,110642.5751063991541
1658793600,2022-07-26 00:00:00,TLM/USDT,0.0253,0.02569,0.02438,0.02569,4925951.81505368,122241.1274835922856
