https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DERO,Volume BTC
1663459200,2022-09-18 00:00:00,DERO/BTC,0.00019431,0.00019579,0.00019431,0.00019443,24.1772,0.0047330494
1663372800,2022-09-17 00:00:00,DERO/BTC,0.00019401,0.0001958,0.00019113,0.0001958,4290.6089,0.828814569764
1663286400,2022-09-16 00:00:00,DERO/BTC,0.00019706,0.00020027,0.00019164,0.00019401,8336.8603,1.620735753628
1663200000,2022-09-15 00:00:00,DERO/BTC,0.00019414,0.00020471,0.00019408,0.00019638,6648.1704,1.316494950414
1663113600,2022-09-14 00:00:00,DERO/BTC,0.0001954,0.0001988,0.00019287,0.00019287,4996.3018,0.972619984555
1663027200,2022-09-13 00:00:00,DERO/BTC,0.0001966,0.00020728,0.00018111,0.00019393,16585.3571,3.230877511111
1662940800,2022-09-12 00:00:00,DERO/BTC,0.00020028,0.00020999,0.000195,0.00019604,13194.3424,2.63700005651
1662854400,2022-09-11 00:00:00,DERO/BTC,0.00020832,0.000212,0.00019851,0.00020044,4722.9547,0.955626324286
1662768000,2022-09-10 00:00:00,DERO/BTC,0.00017951,0.0002389,0.00017871,0.00020995,29325.4415,5.829287494202
1662681600,2022-09-09 00:00:00,DERO/BTC,0.00018708,0.00018828,0.00017872,0.00017974,5615.3824,1.032994306758
1662595200,2022-09-08 00:00:00,DERO/BTC,0.00018567,0.00018859,0.00018265,0.00018856,3498.3692,0.647502671652
1662508800,2022-09-07 00:00:00,DERO/BTC,0.00018718,0.00018828,0.00018487,0.00018617,1989.5903,0.370992077334
1662422400,2022-09-06 00:00:00,DERO/BTC,0.00018507,0.00018798,0.00018407,0.00018757,2915.1348,0.541698402892
1662336000,2022-09-05 00:00:00,DERO/BTC,0.00018695,0.00018798,0.00018402,0.00018507,1277.272,0.238435682016
1662249600,2022-09-04 00:00:00,DERO/BTC,0.00018251,0.000188,0.0001816,0.0001857,2049.1511,0.376638496826
1662163200,2022-09-03 00:00:00,DERO/BTC,0.00018321,0.00018811,0.000181,0.00018258,958.4252,0.176171940206
1662076800,2022-09-02 00:00:00,DERO/BTC,0.00018885,0.0001926,0.00018317,0.00018328,1860.6731,0.346520928886
1661990400,2022-09-01 00:00:00,DERO/BTC,0.00018506,0.00019131,0.0001825,0.00018885,3489.3927,0.647556853177
1661904000,2022-08-31 00:00:00,DERO/BTC,0.00019059,0.00019059,0.00018479,0.00018535,3390.2477,0.633954101713
1661817600,2022-08-30 00:00:00,DERO/BTC,0.00019084,0.00019296,0.00018794,0.00019096,1867.9954,0.356543418295
1661731200,2022-08-29 00:00:00,DERO/BTC,0.000189,0.0001925,0.00018676,0.00018961,3988.1606,0.752405994872
