https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WIN,Volume BTC
1663376400,2022-09-17 01:00:00,WIN/BTC,0.000000005,0.000000005,0.000000005,0.000000005,2583.3464,0.000012916732
1663372800,2022-09-17 00:00:00,WIN/BTC,0.0000000051,0.0000000051,0.0000000051,0.0000000051,1506.0294,0.00000768074994
1663369200,2022-09-16 23:00:00,WIN/BTC,0.0000000051,0.0000000051,0.0000000051,0.0000000051,8290.4014,0.00004228104714
1663365600,2022-09-16 22:00:00,WIN/BTC,0.0000000051,0.0000000052,0.0000000051,0.0000000052,63187.5627,0.00032834707457
1663362000,2022-09-16 21:00:00,WIN/BTC,0.0000000051,0.0000000051,0.000000005,0.000000005,3430.3944,0.00001729572935
1663358400,2022-09-16 20:00:00,WIN/BTC,0.000000005,0.0000000052,0.000000005,0.0000000052,26260.8917,0.0001315239085
1663354800,2022-09-16 19:00:00,WIN/BTC,0.0000000051,0.0000000051,0.0000000051,0.0000000051,4068957.7319,0.02075168443269
1663351200,2022-09-16 18:00:00,WIN/BTC,0.0000000051,0.0000000051,0.0000000051,0.0000000051,448516.0063,0.00228743163213
1663347600,2022-09-16 17:00:00,WIN/BTC,0.0000000051,0.0000000051,0.0000000051,0.0000000051,169645.7857,0.00086519350707
1663344000,2022-09-16 16:00:00,WIN/BTC,0.0000000051,0.0000000051,0.0000000051,0.0000000051,0,0
1663340400,2022-09-16 15:00:00,WIN/BTC,0.0000000051,0.0000000051,0.0000000051,0.0000000051,129763.0226,0.00066179141526
1663336800,2022-09-16 14:00:00,WIN/BTC,0.0000000051,0.0000000051,0.0000000051,0.0000000051,0,0
1663333200,2022-09-16 13:00:00,WIN/BTC,0.0000000051,0.0000000051,0.0000000051,0.0000000051,0,0
1663329600,2022-09-16 12:00:00,WIN/BTC,0.0000000051,0.0000000051,0.0000000051,0.0000000051,0,0
1663326000,2022-09-16 11:00:00,WIN/BTC,0.0000000051,0.0000000051,0.0000000051,0.0000000051,45908.5409,0.00023413355859
1663322400,2022-09-16 10:00:00,WIN/BTC,0.0000000051,0.0000000051,0.0000000051,0.0000000051,0,0
1663318800,2022-09-16 09:00:00,WIN/BTC,0.0000000051,0.0000000051,0.0000000051,0.0000000051,29553.7794,0.00015072427494
1663315200,2022-09-16 08:00:00,WIN/BTC,0.0000000052,0.0000000052,0.0000000052,0.0000000052,7427.7332,0.00003862421264
1663311600,2022-09-16 07:00:00,WIN/BTC,0.0000000052,0.0000000052,0.0000000052,0.0000000052,0,0
1663308000,2022-09-16 06:00:00,WIN/BTC,0.0000000052,0.0000000052,0.0000000051,0.0000000052,10551.1244,0.00005470353505
1663304400,2022-09-16 05:00:00,WIN/BTC,0.0000000051,0.0000000051,0.0000000051,0.0000000051,11643.4943,0.00005938182093
1663300800,2022-09-16 04:00:00,WIN/BTC,0.0000000052,0.0000000052,0.000000005,0.0000000051,14868.8774,0.00007588645631
1663297200,2022-09-16 03:00:00,WIN/BTC,0.0000000051,0.0000000051,0.0000000051,0.0000000051,12061.4749,0.00006151352199
1663293600,2022-09-16 02:00:00,WIN/BTC,0.0000000051,0.0000000052,0.000000005,0.0000000051,68152.0997,0.00034857751401
1663290000,2022-09-16 01:00:00,WIN/BTC,0.0000000051,0.0000000051,0.0000000051,0.0000000051,0,0
1663286400,2022-09-16 00:00:00,WIN/BTC,0.0000000051,0.0000000051,0.0000000051,0.0000000051,13409.6173,0.00006838904823
1663282800,2022-09-15 23:00:00,WIN/BTC,0.0000000052,0.0000000052,0.0000000052,0.0000000052,0,0
1663279200,2022-09-15 22:00:00,WIN/BTC,0.0000000051,0.0000000052,0.0000000051,0.0000000052,2382978.2136,0.01234606975543
1663275600,2022-09-15 21:00:00,WIN/BTC,0.0000000051,0.0000000051,0.0000000051,0.0000000051,0,0
1663272000,2022-09-15 20:00:00,WIN/BTC,0.0000000051,0.0000000051,0.0000000051,0.0000000051,32470.833,0.0001656012483
1663268400,2022-09-15 19:00:00,WIN/BTC,0.0000000051,0.0000000051,0.0000000051,0.0000000051,185921.299,0.0009481986249
1663264800,2022-09-15 18:00:00,WIN/BTC,0.0000000052,0.0000000052,0.0000000052,0.0000000052,0,0
1663261200,2022-09-15 17:00:00,WIN/BTC,0.0000000052,0.0000000052,0.0000000052,0.0000000052,0,0
1663257600,2022-09-15 16:00:00,WIN/BTC,0.0000000052,0.0000000052,0.0000000052,0.0000000052,0,0
1663254000,2022-09-15 15:00:00,WIN/BTC,0.0000000052,0.0000000052,0.0000000052,0.0000000052,0,0
