https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SENSO,Volume USDT
1663290000,2022-09-16 01:00:00,SENSO/USDT,0.17,0.170431,0.17,0.170431,997.4451,169.9001362215
1663286400,2022-09-16 00:00:00,SENSO/USDT,0.169592,0.170429,0.169281,0.17,149.97,25.4733519253
1663282800,2022-09-15 23:00:00,SENSO/USDT,0.171024,0.171059,0.169001,0.170431,2019.6092,343.1876793821
1663279200,2022-09-15 22:00:00,SENSO/USDT,0.172001,0.172001,0.170491,0.170491,1906.675,327.7031202323
1663275600,2022-09-15 21:00:00,SENSO/USDT,0.17,0.17303,0.17,0.172131,15245.3864,2622.6149241656
1663272000,2022-09-15 20:00:00,SENSO/USDT,0.1691,0.169965,0.169,0.169965,865.6298,146.6450683094
1663268400,2022-09-15 19:00:00,SENSO/USDT,0.168932,0.169999,0.168818,0.169152,308.2416,52.2434742175
1663264800,2022-09-15 18:00:00,SENSO/USDT,0.167677,0.169707,0.166689,0.168817,4603.9334,776.9165248916
1663261200,2022-09-15 17:00:00,SENSO/USDT,0.168282,0.169,0.16504,0.167677,11979.3962,1990.0525312553
1663257600,2022-09-15 16:00:00,SENSO/USDT,0.168341,0.169,0.167747,0.169,854.8305,143.9191420665
1663254000,2022-09-15 15:00:00,SENSO/USDT,0.170018,0.170663,0.1683,0.168511,2892.4129,490.844683379
1663250400,2022-09-15 14:00:00,SENSO/USDT,0.172821,0.17365,0.170019,0.170019,4213.1403,725.7673197197
1663246800,2022-09-15 13:00:00,SENSO/USDT,0.171977,0.172821,0.171521,0.172821,8839.0664,1520.4748090938
1663243200,2022-09-15 12:00:00,SENSO/USDT,0.171141,0.17264,0.17103,0.172072,5682.4148,978.4951817729
1663239600,2022-09-15 11:00:00,SENSO/USDT,0.171128,0.171949,0.171031,0.171717,2267.9673,388.8785805488
1663236000,2022-09-15 10:00:00,SENSO/USDT,0.171069,0.171809,0.170915,0.171809,864.6904,148.0160523852
1663232400,2022-09-15 09:00:00,SENSO/USDT,0.170718,0.171995,0.170079,0.171011,4532.2056,777.5075380079
1663228800,2022-09-15 08:00:00,SENSO/USDT,0.170106,0.170888,0.169899,0.170079,633.5302,107.8006777181
1663225200,2022-09-15 07:00:00,SENSO/USDT,0.168397,0.171046,0.168,0.170959,23061.177,3928.7567847061
1663221600,2022-09-15 06:00:00,SENSO/USDT,0.16923,0.169231,0.167431,0.16845,3312.009,558.8110057291
1663218000,2022-09-15 05:00:00,SENSO/USDT,0.168051,0.169232,0.168036,0.169231,564.2026,95.293512193
1663214400,2022-09-15 04:00:00,SENSO/USDT,0.168035,0.168887,0.168033,0.168035,3000.4511,504.6024928366
1663210800,2022-09-15 03:00:00,SENSO/USDT,0.168457,0.168885,0.168044,0.168821,504.3827,85.0902955523
