https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BURP,Volume USDT
1663459200,2022-09-18 00:00:00,BURP/USDT,0.00343,0.00343,0.00328,0.00331,339044.0936,1126.555197891
1663372800,2022-09-17 00:00:00,BURP/USDT,0.00324,0.00391,0.00315,0.00344,6604313.9356,23076.846008169
1663286400,2022-09-16 00:00:00,BURP/USDT,0.00324,0.00355,0.00316,0.00325,4056412.2753,13639.816966812
1663200000,2022-09-15 00:00:00,BURP/USDT,0.00377,0.00382,0.00321,0.00324,5809557.4194,20373.863765941
1663113600,2022-09-14 00:00:00,BURP/USDT,0.00376,0.00457,0.00361,0.00379,15337478.5896,62144.667561763
1663027200,2022-09-13 00:00:00,BURP/USDT,0.00471,0.00471,0.00365,0.0038,9151241.0506,37350.880626531
1662940800,2022-09-12 00:00:00,BURP/USDT,0.00404,0.00593,0.004,0.00471,38772516.6796,192620.1363696
1662854400,2022-09-11 00:00:00,BURP/USDT,0.00356,0.0049,0.0035,0.00403,23315615.5567,100417.242084542
1662768000,2022-09-10 00:00:00,BURP/USDT,0.00331,0.00444,0.003,0.00352,19922464.8708,71354.692896574
1662681600,2022-09-09 00:00:00,BURP/USDT,0.00341,0.00346,0.00302,0.00331,6754243.2841,22092.331564739
1662595200,2022-09-08 00:00:00,BURP/USDT,0.00349,0.00364,0.00308,0.00341,9258363.502,31054.494615451
1662508800,2022-09-07 00:00:00,BURP/USDT,0.00296,0.00498,0.00278,0.00349,91836986.71715144,348997.2031637913966
1662422400,2022-09-06 00:00:00,BURP/USDT,0.00267,0.0034,0.00267,0.00295,33328622.4676,101509.326152596
1662336000,2022-09-05 00:00:00,BURP/USDT,0.0031,0.00321,0.00256,0.00267,11581584.6882,31964.521857062
1662249600,2022-09-04 00:00:00,BURP/USDT,0.0026,0.0035,0.0026,0.0031,36370864.3632,110705.557968486
1662163200,2022-09-03 00:00:00,BURP/USDT,0.00262,0.00273,0.0026,0.00261,915344.189,2422.388161154
1662076800,2022-09-02 00:00:00,BURP/USDT,0.00269,0.00286,0.0026,0.00263,6135132.5596,16558.630553146
1661990400,2022-09-01 00:00:00,BURP/USDT,0.00273,0.00322,0.00262,0.00268,19476790.8144,57276.92829188
1661904000,2022-08-31 00:00:00,BURP/USDT,0.00312,0.00347,0.00249,0.00273,22365837.15,60683.020597742
1661817600,2022-08-30 00:00:00,BURP/USDT,0.00312,0.00339,0.00292,0.0031,5371572.05228487,16780.8486567402152
1661731200,2022-08-29 00:00:00,BURP/USDT,0.00346,0.00358,0.0031,0.00312,3810221.6619,12269.358639932
1661644800,2022-08-28 00:00:00,BURP/USDT,0.00314,0.00357,0.00305,0.00341,3793098.1357,12499.485878973
