https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UAH,Volume USDT
1663549200000,2022-09-19 01:00:00,USDT/UAH,40.388226,40.437372,40.161,40.194899,174765.5542209879,4347.9535605
1663545600000,2022-09-19 00:00:00,USDT/UAH,40.490749,40.494165,40.32589,40.428752,79740.34562047136,1972.36723064
1663542000000,2022-09-18 23:00:00,USDT/UAH,40.491699,40.500003,40.325889,40.491671,78832.2152395011,1946.87483358
1663538400000,2022-09-18 22:00:00,USDT/UAH,40.39453,40.500004,40.380107,40.495742,84566.0245847117,2088.26954164
1663534800000,2022-09-18 21:00:00,USDT/UAH,40.287606,40.4,40.250058,40.368397,157404.97127479682,3899.2128242
1663531200000,2022-09-18 20:00:00,USDT/UAH,40.255174,40.3,40.250003,40.293677,106007.30133108582,2630.86690577
1663527600000,2022-09-18 19:00:00,USDT/UAH,40.253104,40.26,40.250019,40.253313,70178.1338512226,1743.41261926
1663524000000,2022-09-18 18:00:00,USDT/UAH,40.279393,40.2859,40.250011,40.253283,77964.9962693198,1936.8605604
1663520400000,2022-09-18 17:00:00,USDT/UAH,40.264081,40.285898,40.114976,40.278253,118331.13621674739,2937.8418229
1663516800000,2022-09-18 16:00:00,USDT/UAH,40.258306,40.285899,40.113564,40.210938,200767.35150879124,4992.85422063
1663513200000,2022-09-18 15:00:00,USDT/UAH,40.277198,40.281381,40.185937,40.252025,68030.48363120909,1690.11332054
1663509600000,2022-09-18 14:00:00,USDT/UAH,40.282297,40.285898,40.185937,40.255033,123429.73571913494,3066.1938774
1663506000000,2022-09-18 13:00:00,USDT/UAH,40.285897,40.285899,40.27413,40.282229,96868.85186732408,2404.75401367
1663502400000,2022-09-18 12:00:00,USDT/UAH,40.293259,40.299995,40.285894,40.285896,91464.29349229278,2270.38002313
1663498800000,2022-09-18 11:00:00,USDT/UAH,40.29502,40.299995,40.285901,40.290625,112804.07323459636,2799.75982588
1663495200000,2022-09-18 10:00:00,USDT/UAH,40.280861,40.299999,40.260001,40.29119,91061.10451666494,2260.07483315
1663491600000,2022-09-18 09:00:00,USDT/UAH,40.262554,40.3,40.260004,40.286839,148629.94163227215,3689.29271498
1663488000000,2022-09-18 08:00:00,USDT/UAH,40.26027,40.266005,40.256486,40.262924,81276.77842018065,2018.6506678
1663484400000,2022-09-18 07:00:00,USDT/UAH,40.257626,40.266005,40.251919,40.258495,59989.751092187114,1490.11410119
1663480800000,2022-09-18 06:00:00,USDT/UAH,40.242873,40.266005,40.23592,40.259826,75697.53978414071,1880.22520972
1663477200000,2022-09-18 05:00:00,USDT/UAH,40.243868,40.25,40.240184,40.243279,63306.23356835497,1573.08835516
1663473600000,2022-09-18 04:00:00,USDT/UAH,40.242843,40.25,40.236096,40.245775,62759.46528688264,1559.40506269
1663470000000,2022-09-18 03:00:00,USDT/UAH,40.243664,40.25,40.240179,40.244474,64651.893129854114,1606.47877097
1663466400000,2022-09-18 02:00:00,USDT/UAH,40.240907,40.25,40.240174,40.243405,73292.99550637201,1821.2424
