https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume THETA,Volume USDT
1663462800,2022-09-18 01:00:00,THETA/USDT,1.1126,1.1144,1.1125,1.1141,1710.96691348,1904.327548517848
1663459200,2022-09-18 00:00:00,THETA/USDT,1.1217,1.1222,1.1112,1.1122,16083.02929932,17924.041980552004
1663455600,2022-09-17 23:00:00,THETA/USDT,1.118,1.1238,1.1164,1.1216,18640.49972254,20844.150243254866
1663452000,2022-09-17 22:00:00,THETA/USDT,1.1156,1.1208,1.1147,1.1174,93914.37695175,104882.10153562961
1663448400,2022-09-17 21:00:00,THETA/USDT,1.1166,1.1173,1.1107,1.1146,28883.43534979,32145.296039133172
1663444800,2022-09-17 20:00:00,THETA/USDT,1.1123,1.1167,1.1108,1.1167,50999.26238239,56854.885703949012
1663441200,2022-09-17 19:00:00,THETA/USDT,1.113,1.1138,1.1089,1.1123,74708.29318542,83112.493425030236
1663437600,2022-09-17 18:00:00,THETA/USDT,1.1132,1.1169,1.1117,1.1129,57394.09336637,63911.165047013056
1663434000,2022-09-17 17:00:00,THETA/USDT,1.117,1.1187,1.1115,1.1139,62783.76525909,69946.012598056335
1663430400,2022-09-17 16:00:00,THETA/USDT,1.1051,1.1722,1.103,1.1172,685905.82493204,768706.962729841393
1663426800,2022-09-17 15:00:00,THETA/USDT,1.1036,1.1068,1.1,1.105,16670.74413753,18391.470214704511
1663423200,2022-09-17 14:00:00,THETA/USDT,1.0928,1.1041,1.0928,1.1038,23606.76717436,25946.770259374548
1663419600,2022-09-17 13:00:00,THETA/USDT,1.0912,1.0959,1.0894,1.0928,26576.31745516,29046.482967595492
1663416000,2022-09-17 12:00:00,THETA/USDT,1.0884,1.0916,1.0858,1.0908,12960.79084515,14114.584259639904
1663412400,2022-09-17 11:00:00,THETA/USDT,1.0881,1.0896,1.087,1.0878,11954.7638319,13010.352591778062
1663408800,2022-09-17 10:00:00,THETA/USDT,1.0925,1.0946,1.0846,1.0878,16174.5234757,17635.076030818574
1663405200,2022-09-17 09:00:00,THETA/USDT,1.0947,1.0971,1.0914,1.0923,34692.02068243,37976.528363534389
1663401600,2022-09-17 08:00:00,THETA/USDT,1.0923,1.0962,1.0923,1.0947,19739.04772837,21589.758923955334
1663398000,2022-09-17 07:00:00,THETA/USDT,1.0889,1.0923,1.0874,1.0923,18569.05176316,20232.958448156258
1663394400,2022-09-17 06:00:00,THETA/USDT,1.0886,1.0896,1.0847,1.0883,67242.26617755,73136.313853868468
1663390800,2022-09-17 05:00:00,THETA/USDT,1.0941,1.0941,1.085,1.0886,68816.46940832,74921.781569128701
1663387200,2022-09-17 04:00:00,THETA/USDT,1.0941,1.0986,1.0934,1.0941,51847.01770184,56779.119591672311
1663383600,2022-09-17 03:00:00,THETA/USDT,1.0944,1.0962,1.0929,1.0932,31962.44779475,34986.703652081776
