https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZEC,Volume USDT
1663459200,2022-09-18 00:00:00,ZEC/USDT,58.807,58.807,58.2,58.398,193.64566147,11328.4157122315
1663372800,2022-09-17 00:00:00,ZEC/USDT,56.668,64.224,56.648,58.782,9784.51231139,576510.81238193361
1663286400,2022-09-16 00:00:00,ZEC/USDT,58.325,58.8,52.445,56.706,13359.24621216,758966.80423064716
1663200000,2022-09-15 00:00:00,ZEC/USDT,62,62.143,58.07,58.28,8240.40371811,496554.4865102614
1663113600,2022-09-14 00:00:00,ZEC/USDT,58.783,62.3,58.554,62,5535.50493287,336966.35729580241
1663027200,2022-09-13 00:00:00,ZEC/USDT,62.96,63.964,58.594,58.861,8163.50189316,498759.43568867253
1662940800,2022-09-12 00:00:00,ZEC/USDT,64.293,66.419,61.826,62.987,4988.51489876,319584.15156110397
1662854400,2022-09-11 00:00:00,ZEC/USDT,65.41,65.921,63.163,64.285,3722.61453239,240398.49913525992
1662768000,2022-09-10 00:00:00,ZEC/USDT,66.016,66.171,64.317,65.317,2957.46600057,193031.14895981348
1662681600,2022-09-09 00:00:00,ZEC/USDT,61.127,66.889,60.95,65.961,9207.52077513,590452.45708876933
1662595200,2022-09-08 00:00:00,ZEC/USDT,59.443,61.559,58.104,61.072,6078.9936504,364711.3015886025
1662508800,2022-09-07 00:00:00,ZEC/USDT,58.01,60,56.93,59.34,7556.51447756,441069.61275946521
1662422400,2022-09-06 00:00:00,ZEC/USDT,63.522,66.18,57.92,58.063,10490.92698488,653922.34026862304
1662336000,2022-09-05 00:00:00,ZEC/USDT,63.974,64.443,62.086,63.36,4989.63336003,315014.83040521889
1662249600,2022-09-04 00:00:00,ZEC/USDT,62.689,64.27,61.987,63.966,4000.69345754,253295.77830849704
1662163200,2022-09-03 00:00:00,ZEC/USDT,60.389,62.755,59.929,62.634,4386.44116613,270862.97116559388
1662076800,2022-09-02 00:00:00,ZEC/USDT,58.988,61.865,58.096,60.388,6547.87403696,391507.84474417005
1661990400,2022-09-01 00:00:00,ZEC/USDT,59.811,60.295,56.922,59.001,5146.86438383,300035.56526853418
1661904000,2022-08-31 00:00:00,ZEC/USDT,59.961,62.062,59.567,59.808,5378.41241476,327176.68685261102
1661817600,2022-08-30 00:00:00,ZEC/USDT,63.8,64.561,59.604,59.956,4087.29683385,254089.24261419912
1661731200,2022-08-29 00:00:00,ZEC/USDT,61.178,64.117,60.102,63.877,6005.08741127,373170.79804529735
1661644800,2022-08-28 00:00:00,ZEC/USDT,61.413,62.885,60.699,61.197,7634.53053051,470780.9042809534
1661558400,2022-08-27 00:00:00,ZEC/USDT,60.84,62.168,59.841,61.367,6078.04424779,371437.09284246255
1661472000,2022-08-26 00:00:00,ZEC/USDT,67.713,68.089,60.231,61.058,11991.01118091,776467.34777682217
1661385600,2022-08-25 00:00:00,ZEC/USDT,67.601,69.87,66.7,67.759,6482.68258754,441513.81924451756
1661299200,2022-08-24 00:00:00,ZEC/USDT,66.421,69.642,64.732,67.6,8627.42101787,583114.79081941446
1661212800,2022-08-23 00:00:00,ZEC/USDT,64.997,67.896,62.752,66.385,9127.55080621,600575.85138117378
1661126400,2022-08-22 00:00:00,ZEC/USDT,64.62,65.086,60.628,64.994,5500.11029951,344291.97370904876
1661040000,2022-08-21 00:00:00,ZEC/USDT,63.05,66,63.006,64.568,6175.69656457,399046.90443304931
1660953600,2022-08-20 00:00:00,ZEC/USDT,62.148,64.607,61.411,63,6116.91519314,386794.04864192584
1660867200,2022-08-19 00:00:00,ZEC/USDT,70.161,70.54,61.447,62.372,13186.79461067,855737.58640875164
1660780800,2022-08-18 00:00:00,ZEC/USDT,74.373,76.797,69.94,70.194,6376.25660777,473551.1373030091
1660694400,2022-08-17 00:00:00,ZEC/USDT,76.064,77.982,71.696,74.266,6703.68893019,500697.05448190573
1660608000,2022-08-16 00:00:00,ZEC/USDT,73.709,76.838,72.324,76.011,6292.39864066,472736.20209119325
1660521600,2022-08-15 00:00:00,ZEC/USDT,73.654,75.622,71.808,73.793,4562.66917032,337532.82178111329
1660435200,2022-08-14 00:00:00,ZEC/USDT,76.169,77.842,69.113,73.715,10235.40945565,771830.52404464119
1660348800,2022-08-13 00:00:00,ZEC/USDT,77.261,79.28,75.376,76.169,5368.86005765,414355.17108279312
1660262400,2022-08-12 00:00:00,ZEC/USDT,79.355,81.021,76.59,77.298,6118.0762364,478607.43966409876
1660176000,2022-08-11 00:00:00,ZEC/USDT,78.695,82.672,77.676,79.309,6088.62408997,485795.28618860217
1660089600,2022-08-10 00:00:00,ZEC/USDT,79.727,79.836,72.8,78.682,11014.19124345,841122.699062738
1660003200,2022-08-09 00:00:00,ZEC/USDT,77.723,82.048,74.733,79.662,25436.52723142,1989683.14558524944
1659916800,2022-08-08 00:00:00,ZEC/USDT,70.453,79.42,69.995,77.747,17142.8233293,1277976.295554696
1659830400,2022-08-07 00:00:00,ZEC/USDT,67.688,72.972,66.597,70.458,7456.71555228,523690.98672713092
1659744000,2022-08-06 00:00:00,ZEC/USDT,69.251,69.771,67.124,67.768,5937.06807347,406555.50712554877
1659657600,2022-08-05 00:00:00,ZEC/USDT,64.738,69.341,64.56,69.272,12080.31858861,815717.38317163609
1659571200,2022-08-04 00:00:00,ZEC/USDT,61.949,65.561,61.917,64.57,20167.36870174,1286102.17760266843
1659484800,2022-08-03 00:00:00,ZEC/USDT,61.891,64.4,60.281,62.02,11988.06627213,746091.48548978601
1659398400,2022-08-02 00:00:00,ZEC/USDT,62.903,63.734,59.155,61.886,15584.7068209,957330.67125950323
1659312000,2022-08-01 00:00:00,ZEC/USDT,64.496,66.182,61.822,63.121,20097.57651504,1283977.04777940659
1659225600,2022-07-31 00:00:00,ZEC/USDT,65.128,70.518,64.338,64.656,27081.71894142,1805652.57454331036
1659139200,2022-07-30 00:00:00,ZEC/USDT,63.842,68.861,63.274,65.349,38975.85037114,2588564.18304768508
1659052800,2022-07-29 00:00:00,ZEC/USDT,64.198,71.275,62.144,63.66,28454.06382886,1838533.76285123944
1658966400,2022-07-28 00:00:00,ZEC/USDT,62.06,76.644,59.908,64.065,19688.33870876,1271287.45417892623
1658880000,2022-07-27 00:00:00,ZEC/USDT,55.91,62.041,54.591,61.949,11404.65739817,670004.9693514835
1658793600,2022-07-26 00:00:00,ZEC/USDT,54.425,56.791,53.005,55.912,6108.52645132,330924.02704325127
1658707200,2022-07-25 00:00:00,ZEC/USDT,59.175,59.752,54.349,54.392,9243.63693203,525534.19985467636
1658620800,2022-07-24 00:00:00,ZEC/USDT,59.396,60.799,58.585,59.173,5046.44224727,301296.24281270689
1658534400,2022-07-23 00:00:00,ZEC/USDT,60.082,63.09,57.377,59.223,7155.66374925,428055.85797079675
1658448000,2022-07-22 00:00:00,ZEC/USDT,61.908,64.443,59.463,60.125,8525.83741363,529858.38269086516
1658361600,2022-07-21 00:00:00,ZEC/USDT,62.206,62.723,59.25,61.943,15859.14483668,965933.49163186198
1658275200,2022-07-20 00:00:00,ZEC/USDT,64.653,67.289,61.03,62.247,15605.96215952,1008467.66500376054
1658188800,2022-07-19 00:00:00,ZEC/USDT,65.632,67.256,60,64.694,22155.08201917,1433600.7813296614
1658102400,2022-07-18 00:00:00,ZEC/USDT,59.397,66.18,59.395,65.541,17890.88315398,1141251.43886793815
1658016000,2022-07-17 00:00:00,ZEC/USDT,63.306,63.98,59.239,59.489,12020.32077277,737182.90971465929
1657929600,2022-07-16 00:00:00,ZEC/USDT,58.489,64,57.79,63.262,14088.57795049,864702.05058340415
1657843200,2022-07-15 00:00:00,ZEC/USDT,57.59,60.033,56.961,58.563,14401.4740347,841834.31421929206
1657756800,2022-07-14 00:00:00,ZEC/USDT,54.942,59.489,52.671,57.487,13877.40945448,771604.13956674395
1657670400,2022-07-13 00:00:00,ZEC/USDT,52.119,55.033,49.919,54.984,9458.8942456,497042.51688065366
1657584000,2022-07-12 00:00:00,ZEC/USDT,55.705,55.705,52,52.142,10001.26037274,541270.05490455255
1657497600,2022-07-11 00:00:00,ZEC/USDT,59.712,59.712,55.409,55.538,8920.55498588,515709.99566118167
1657411200,2022-07-10 00:00:00,ZEC/USDT,61.214,61.286,58.125,59.767,6222.87409399,370946.47263915209
1657324800,2022-07-09 00:00:00,ZEC/USDT,59.497,62.485,59.483,61.243,7783.87064059,477435.68990934527
1657238400,2022-07-08 00:00:00,ZEC/USDT,59.898,61.558,57.689,59.471,11251.19023912,668461.51180521726
1657152000,2022-07-07 00:00:00,ZEC/USDT,58.312,60.557,57.365,59.822,10747.17173162,635163.58401930019
1657065600,2022-07-06 00:00:00,ZEC/USDT,57.104,58.656,55.789,58.268,13847.92387804,797568.79398663212
1656979200,2022-07-05 00:00:00,ZEC/USDT,58.111,58.736,54.861,57.073,14555.64944795,832710.0910003564
1656892800,2022-07-04 00:00:00,ZEC/USDT,54.568,58.637,52.941,58.104,11134.92654747,623346.11245595555
1656806400,2022-07-03 00:00:00,ZEC/USDT,54.052,55.2,52.307,54.501,10469.46866655,562829.87160858396
1656720000,2022-07-02 00:00:00,ZEC/USDT,53.432,54.939,51.861,54.027,13189.32343338,700804.15708001792
1656633600,2022-07-01 00:00:00,ZEC/USDT,54.492,58.899,52.049,53.455,22200.79170892,1195233.84414783318
1656547200,2022-06-30 00:00:00,ZEC/USDT,57.66,58.164,51,54.477,39051.79006704,2085378.69761217982
1656460800,2022-06-29 00:00:00,ZEC/USDT,58.933,61.2,53,57.603,28321.72713842,1652066.34000836811
1656374400,2022-06-28 00:00:00,ZEC/USDT,62.346,63.402,58.466,58.97,21914.67276367,1344741.64892381806
1656288000,2022-06-27 00:00:00,ZEC/USDT,63.71,67.292,61.888,62.275,21185.3894996,1364326.99542850541
1656201600,2022-06-26 00:00:00,ZEC/USDT,68.261,70.654,63.489,63.696,14276.46023069,965550.98178746391
1656115200,2022-06-25 00:00:00,ZEC/USDT,69.157,70.828,64.5,68.286,17280.21010085,1167943.93687273671
1656028800,2022-06-24 00:00:00,ZEC/USDT,65.693,70.965,64.21,69.045,22395.28190983,1502637.23949422487
1655942400,2022-06-23 00:00:00,ZEC/USDT,63.211,66.194,62.391,65.614,17673.25658984,1137190.345995289
1655856000,2022-06-22 00:00:00,ZEC/USDT,65.811,67.196,62.44,63.147,21732.90143994,1400484.40554932962
1655769600,2022-06-21 00:00:00,ZEC/USDT,65,70.294,63.8,65.631,31946.59663734,2146669.26819952764
