https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AR,Volume BTC
1663459200,2022-09-18 00:00:00,AR/BTC,0.0005066,0.0005152,0.0005066,0.0005141,11.6823,0.00597200562
1663372800,2022-09-17 00:00:00,AR/BTC,0.0005116,0.0005164,0.0005009,0.0005064,1320.9647,0.66727999256
1663286400,2022-09-16 00:00:00,AR/BTC,0.0004905,0.0005202,0.0004893,0.0005109,205.6038,0.1037595332
1663200000,2022-09-15 00:00:00,AR/BTC,0.0004849,0.0004949,0.0004671,0.0004949,280.4862,0.13315129901
1663113600,2022-09-14 00:00:00,AR/BTC,0.0004803,0.0004913,0.0004781,0.0004851,458.0569,0.22100336718
1663027200,2022-09-13 00:00:00,AR/BTC,0.000479,0.000493,0.0004711,0.000483,265.2614,0.12757129809
1662940800,2022-09-12 00:00:00,AR/BTC,0.0005185,0.0005247,0.0004798,0.0004798,376.9097,0.18746564042
1662854400,2022-09-11 00:00:00,AR/BTC,0.0005165,0.000544,0.0005086,0.0005187,354.1164,0.18477339194
1662768000,2022-09-10 00:00:00,AR/BTC,0.0005111,0.0005329,0.0005012,0.0005123,428.8407,0.22190717736
1662681600,2022-09-09 00:00:00,AR/BTC,0.0005169,0.0005652,0.0005095,0.0005131,1396.4652,0.74951389976
1662595200,2022-09-08 00:00:00,AR/BTC,0.0005046,0.0005231,0.0005004,0.0005177,497.2218,0.25647133408
1662508800,2022-09-07 00:00:00,AR/BTC,0.0004963,0.0005132,0.0004954,0.0005044,304.9588,0.15452762535
1662422400,2022-09-06 00:00:00,AR/BTC,0.0005152,0.0005249,0.0004949,0.0004968,590.5632,0.30465261173
1662336000,2022-09-05 00:00:00,AR/BTC,0.0005144,0.0005191,0.0005041,0.000515,204.2073,0.10402814923
1662249600,2022-09-04 00:00:00,AR/BTC,0.0005127,0.0005151,0.0005041,0.0005127,143.0793,0.07315436142
1662163200,2022-09-03 00:00:00,AR/BTC,0.0004996,0.0005188,0.0004976,0.0005105,70.1952,0.03580516421
1662076800,2022-09-02 00:00:00,AR/BTC,0.0005024,0.0005179,0.0004971,0.0005003,89.6939,0.04549856878
1661990400,2022-09-01 00:00:00,AR/BTC,0.0005005,0.0005107,0.000495,0.0005026,231.7276,0.11685654979
1661904000,2022-08-31 00:00:00,AR/BTC,0.0005122,0.0005223,0.0004918,0.000498,354.7952,0.17961740186
1661817600,2022-08-30 00:00:00,AR/BTC,0.0005382,0.0005403,0.0005091,0.0005111,463.0637,0.24326590762
1661731200,2022-08-29 00:00:00,AR/BTC,0.0005269,0.0005402,0.0005139,0.0005378,250.8101,0.13227251057
1661644800,2022-08-28 00:00:00,AR/BTC,0.0005501,0.0005501,0.0005266,0.0005266,192.7431,0.10386971322
1661558400,2022-08-27 00:00:00,AR/BTC,0.0005507,0.0005611,0.0005456,0.000551,118.231,0.06530453602
1661472000,2022-08-26 00:00:00,AR/BTC,0.0005716,0.0005716,0.0005484,0.0005505,184.48,0.10259493893
1661385600,2022-08-25 00:00:00,AR/BTC,0.0005845,0.0005937,0.0005702,0.0005714,169.5934,0.09807823192
1661299200,2022-08-24 00:00:00,AR/BTC,0.0005748,0.0005963,0.0005748,0.0005844,240.2805,0.14082550167
1661212800,2022-08-23 00:00:00,AR/BTC,0.000571,0.0005798,0.0005581,0.0005797,157.3721,0.08981721225
1661126400,2022-08-22 00:00:00,AR/BTC,0.0005893,0.0005901,0.0005495,0.0005701,108.0839,0.06172099655
1661040000,2022-08-21 00:00:00,AR/BTC,0.0005789,0.000593,0.000565,0.0005883,209.4324,0.12133407244
1660953600,2022-08-20 00:00:00,AR/BTC,0.000573,0.0005792,0.0005564,0.0005788,146.681,0.08342555006
1660867200,2022-08-19 00:00:00,AR/BTC,0.0005447,0.0005715,0.0005294,0.0005668,927.4327,0.51253840145
1660780800,2022-08-18 00:00:00,AR/BTC,0.0005631,0.0005756,0.0005422,0.0005424,314.7709,0.17425059451
1660694400,2022-08-17 00:00:00,AR/BTC,0.0005838,0.0005963,0.0005562,0.0005604,288.509,0.16528208215
1660608000,2022-08-16 00:00:00,AR/BTC,0.0005756,0.0005871,0.0005661,0.0005832,165.3514,0.09594782756
1660521600,2022-08-15 00:00:00,AR/BTC,0.0005708,0.0005895,0.000566,0.000579,1091.1401,0.63008925203
1660435200,2022-08-14 00:00:00,AR/BTC,0.0005963,0.0006027,0.0005613,0.0005701,223.5015,0.12903170911
1660348800,2022-08-13 00:00:00,AR/BTC,0.0006104,0.0006259,0.0005933,0.0005969,401.4745,0.24295686716
1660262400,2022-08-12 00:00:00,AR/BTC,0.00062,0.0006218,0.0006035,0.000613,101.035,0.06176892746
1660176000,2022-08-11 00:00:00,AR/BTC,0.0006488,0.0006621,0.0006118,0.0006181,598.0413,0.37580005485
1660089600,2022-08-10 00:00:00,AR/BTC,0.0006248,0.0006606,0.0006105,0.0006495,308.5722,0.19426075531
1660003200,2022-08-09 00:00:00,AR/BTC,0.0006339,0.0006435,0.0006181,0.0006228,148.9077,0.09323338358
1659916800,2022-08-08 00:00:00,AR/BTC,0.0006316,0.0006501,0.0006218,0.0006328,343.4444,0.21751807965
1659830400,2022-08-07 00:00:00,AR/BTC,0.0006491,0.000653,0.0006236,0.0006309,172.4288,0.10946554034
1659744000,2022-08-06 00:00:00,AR/BTC,0.0006309,0.0006744,0.000621,0.0006498,196.334,0.12789425063
1659657600,2022-08-05 00:00:00,AR/BTC,0.0006214,0.0006344,0.0006172,0.00063,290.885,0.18320196734
1659571200,2022-08-04 00:00:00,AR/BTC,0.0006135,0.0006253,0.0006007,0.0006205,1285.197,0.78410281212
1659484800,2022-08-03 00:00:00,AR/BTC,0.0006062,0.0006315,0.0006008,0.0006127,634.7978,0.39188811966
1659398400,2022-08-02 00:00:00,AR/BTC,0.0006217,0.0006261,0.0005826,0.0006047,514.3279,0.30874610876
1659312000,2022-08-01 00:00:00,AR/BTC,0.0006639,0.0006985,0.0006167,0.0006218,1261.9046,0.81815604896
1659225600,2022-07-31 00:00:00,AR/BTC,0.0006154,0.000765,0.0006017,0.0006648,2009.819,1.36850617296
1659139200,2022-07-30 00:00:00,AR/BTC,0.0005682,0.0006427,0.000568,0.0006198,1733.2929,1.05358277077
1659052800,2022-07-29 00:00:00,AR/BTC,0.0005875,0.0006228,0.0005552,0.0005682,642.7152,0.37515491807
1658966400,2022-07-28 00:00:00,AR/BTC,0.0006272,0.0006354,0.0005803,0.0005866,599.6936,0.36066130434
1658880000,2022-07-27 00:00:00,AR/BTC,0.0005803,0.0006283,0.0005688,0.0006283,436.8642,0.25985743418
