https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PEOPLE,Volume USDT
1663459200,2022-09-18 00:00:00,PEOPLE/USDT,0.02106,0.0211,0.02095,0.02106,171993.63126453,3611.5733021628012
1663372800,2022-09-17 00:00:00,PEOPLE/USDT,0.02056,0.02118,0.02042,0.02104,3744304.82555974,77723.5271306951077
1663286400,2022-09-16 00:00:00,PEOPLE/USDT,0.01956,0.02076,0.01942,0.02052,4795745.94297819,95592.4600832519637
1663200000,2022-09-15 00:00:00,PEOPLE/USDT,0.02058,0.02061,0.0192,0.01965,67830295.06134734,1344845.1620605806786
1663113600,2022-09-14 00:00:00,PEOPLE/USDT,0.0204,0.0209,0.01974,0.02061,36760426.49026532,746846.1709289271995
1663027200,2022-09-13 00:00:00,PEOPLE/USDT,0.02281,0.02283,0.02018,0.0204,13791092.07457925,298049.3111843318364
1662940800,2022-09-12 00:00:00,PEOPLE/USDT,0.02334,0.024,0.02212,0.02282,10306169.90058834,238378.1943179321993
1662854400,2022-09-11 00:00:00,PEOPLE/USDT,0.0231,0.02517,0.02259,0.0233,22141482.1287485,529711.9475711873791
1662768000,2022-09-10 00:00:00,PEOPLE/USDT,0.02347,0.02384,0.02253,0.02307,10682262.93550982,246273.4322168749002
1662681600,2022-09-09 00:00:00,PEOPLE/USDT,0.02092,0.02425,0.02092,0.0235,17092254.53131154,386886.0282632580825
1662595200,2022-09-08 00:00:00,PEOPLE/USDT,0.02147,0.02156,0.02017,0.02091,10287416.30870198,214366.0305984038712
1662508800,2022-09-07 00:00:00,PEOPLE/USDT,0.0192,0.02221,0.01887,0.02142,10135194.78479464,203871.3086136273079
1662422400,2022-09-06 00:00:00,PEOPLE/USDT,0.02138,0.02182,0.01888,0.01915,10598292.08001632,217186.5211329964633
1662336000,2022-09-05 00:00:00,PEOPLE/USDT,0.02153,0.02173,0.02033,0.02127,6696913.75577213,140372.0277452574418
1662249600,2022-09-04 00:00:00,PEOPLE/USDT,0.02059,0.02184,0.02055,0.02159,8742551.72420906,184699.3247570341588
1662163200,2022-09-03 00:00:00,PEOPLE/USDT,0.02026,0.02074,0.02008,0.0206,4696566.16178451,95955.7486730344553
1662076800,2022-09-02 00:00:00,PEOPLE/USDT,0.02065,0.02097,0.01974,0.0203,8024017.81628716,163937.0098693536985
1661990400,2022-09-01 00:00:00,PEOPLE/USDT,0.02027,0.0207,0.01918,0.02061,13429732.4710066,270210.2505080601289
1661904000,2022-08-31 00:00:00,PEOPLE/USDT,0.02043,0.02133,0.01999,0.02026,12384288.35647482,257779.397622923358
