https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume DAI
1663376400,2022-09-17 01:00:00,USDT/DAI,1.0007,1.0007,1.0007,1.0007,136.534605,136.6301792235
1663372800,2022-09-17 00:00:00,USDT/DAI,1.0014,1.0015,1.0007,1.0007,6759.727326,6769.0061892913
1663369200,2022-09-16 23:00:00,USDT/DAI,1.0014,1.0015,1.0012,1.0012,1276.886777,1278.4857114423
1663365600,2022-09-16 22:00:00,USDT/DAI,1.0012,1.0018,1.0011,1.0014,2218.713406,2221.9049841514
1663362000,2022-09-16 21:00:00,USDT/DAI,1.001,1.002,1.0009,1.002,29405.134869,29436.0249599095
1663358400,2022-09-16 20:00:00,USDT/DAI,1.0005,1.0018,1.0005,1.0018,12185.580093,12197.7534032511
1663354800,2022-09-16 19:00:00,USDT/DAI,1.0006,1.0008,1.0005,1.0008,17295.162822,17304.179227544
1663351200,2022-09-16 18:00:00,USDT/DAI,1.0011,1.002,1.0006,1.0006,76743.328819,76797.2383418992
1663347600,2022-09-16 17:00:00,USDT/DAI,1.0011,1.0021,1.0009,1.002,53114.068285,53196.3879119578
1663344000,2022-09-16 16:00:00,USDT/DAI,1.0008,1.0012,1.0007,1.0011,3999.579606,4003.8289193846
1663340400,2022-09-16 15:00:00,USDT/DAI,1.0007,1.0012,1.0007,1.0007,8458.494994,8466.8580413053
1663336800,2022-09-16 14:00:00,USDT/DAI,1.0009,1.0012,1.0006,1.0007,11741.562491,11752.0731019004
1663333200,2022-09-16 13:00:00,USDT/DAI,1.001,1.0012,1.0008,1.0009,20351.879459,20373.9777397748
1663329600,2022-09-16 12:00:00,USDT/DAI,1.0009,1.0012,1.0008,1.001,4838.923786,4843.3941374779
1663326000,2022-09-16 11:00:00,USDT/DAI,1.0011,1.0012,1.0008,1.0009,4633.825214,4638.7319194111
1663322400,2022-09-16 10:00:00,USDT/DAI,1.0012,1.0012,1.0007,1.0007,1866.532898,1868.1307229186
1663318800,2022-09-16 09:00:00,USDT/DAI,1.001,1.0013,1.001,1.001,8008.472268,8018.6034181577
