https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LYXE,Volume ETH
1663459200,2022-09-18 00:00:00,LYXE/ETH,0.0033221,0.0033501,0.0033221,0.0033501,62.0731,0.20665667656
1663372800,2022-09-17 00:00:00,LYXE/ETH,0.0032676,0.0033302,0.0032266,0.0033221,2216.7792,7.2479940551
1663286400,2022-09-16 00:00:00,LYXE/ETH,0.0032317,0.00338,0.003161,0.0032741,8258.0304,27.25921064285
1663200000,2022-09-15 00:00:00,LYXE/ETH,0.0030624,0.0032762,0.0029703,0.0032013,5641.5694,17.58866208444
1663113600,2022-09-14 00:00:00,LYXE/ETH,0.003111,0.0031524,0.0030211,0.0030827,1737.4685,5.36677569155
1663027200,2022-09-13 00:00:00,LYXE/ETH,0.003295,0.0032961,0.0029623,0.0031137,15712.2441,48.75877531975
1662940800,2022-09-12 00:00:00,LYXE/ETH,0.0031524,0.0033208,0.0031056,0.0032677,6485.2054,20.92012700992
1662854400,2022-09-11 00:00:00,LYXE/ETH,0.0029715,0.0032479,0.0029598,0.0031614,5955.4773,18.61507338895
1662768000,2022-09-10 00:00:00,LYXE/ETH,0.0029026,0.0030805,0.0028059,0.0029703,4930.8539,14.54295572218
1662681600,2022-09-09 00:00:00,LYXE/ETH,0.0029289,0.0029979,0.0028075,0.0028983,6650.2255,19.10159203473
1662595200,2022-09-08 00:00:00,LYXE/ETH,0.0029539,0.0030334,0.002865,0.0029468,6438.1905,18.98483138456
1662508800,2022-09-07 00:00:00,LYXE/ETH,0.0031614,0.0032451,0.0028663,0.00297,5710.0616,17.47599358151
1662422400,2022-09-06 00:00:00,LYXE/ETH,0.0032105,0.0032337,0.0030805,0.0031617,4517.1413,14.17735894467
1662336000,2022-09-05 00:00:00,LYXE/ETH,0.0032961,0.0033355,0.0032093,0.0032093,1460.4291,4.77224006224
1662249600,2022-09-04 00:00:00,LYXE/ETH,0.0033261,0.0033805,0.0032745,0.003302,2389.2657,7.96166029424
1662163200,2022-09-03 00:00:00,LYXE/ETH,0.0033422,0.0034026,0.0032789,0.0033469,1028.9461,3.42856230707
1662076800,2022-09-02 00:00:00,LYXE/ETH,0.0033079,0.0033976,0.0031918,0.0033732,3114.1778,10.24581424777
1661990400,2022-09-01 00:00:00,LYXE/ETH,0.0032585,0.0033805,0.0032451,0.0033079,3335.0112,11.08681099117
1661904000,2022-08-31 00:00:00,LYXE/ETH,0.0033422,0.0033565,0.0031343,0.003267,7427.8094,23.99374859411
1661817600,2022-08-30 00:00:00,LYXE/ETH,0.0033565,0.0034471,0.0032961,0.0033691,4114.8374,13.87387274883
