https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TRY,Volume BTC
1608508800000,2020-12-21 00:00:00,BTC/TRY,183000,183000,183000,183000,23.241,0.000127
1608249600000,2020-12-18 00:00:00,BTC/TRY,159002.48,188998,159002.48,173320.17,616.5397083291,0.0035572299999999998
1608076800000,2020-12-16 00:00:00,BTC/TRY,158000,158000,150000,158000,105.52346,0.00066787
1607472000000,2020-12-09 00:00:00,BTC/TRY,176921.02,178000,148845,148845,614.9367445500001,0.00413139
1607385600000,2020-12-08 00:00:00,BTC/TRY,153000.0,153000,152050,152050,343.28328500000003,0.0022577
1607299200000,2020-12-07 00:00:00,BTC/TRY,156595.17,156595.17,151110,151110,114.9161328,0.00076048
1607212800000,2020-12-06 00:00:00,BTC/TRY,185539.51,190000.0,153200,153200,1364.864928,0.00890904
1607126400000,2020-12-05 00:00:00,BTC/TRY,149008.0,149010,149008,149010,362.18221589999996,0.00243059
1607040000000,2020-12-04 00:00:00,BTC/TRY,190072.8,194000,157344.38,160855,3932.6602503999998,0.024448479999999998
1606953600000,2020-12-03 00:00:00,BTC/TRY,161159.13,193933.99,161159.13,193933.99,7816.877941530999,0.0403069
1606780800000,2020-12-01 00:00:00,BTC/TRY,160482.34,163000,160482.34,163000,50.85437,0.00031199
1606694400000,2020-11-30 00:00:00,BTC/TRY,136000.0,164000,136000.0,164000,389.47376,0.00237484
1606608000000,2020-11-29 00:00:00,BTC/TRY,135025.09,156978,135025.09,145000,322.50465,0.00222417
1606521600000,2020-11-28 00:00:00,BTC/TRY,135020.46,156999.68,135020.0,156990,854.8686362999999,0.00544537
1606435200000,2020-11-27 00:00:00,BTC/TRY,135009.0,135009.0,135000,135003.82,313.0630582744001,0.0023189200000000004
1606348800000,2020-11-26 00:00:00,BTC/TRY,167300,167777,151001,155000.0,1630.3473499999996,0.010518369999999997
1606262400000,2020-11-25 00:00:00,BTC/TRY,150000.91,167300,150000,167300,2113.293448,0.012631759999999999
