https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SKL,Volume EUR
1663545600,2022-09-19 00:00:00,SKL/EUR,0.03671,0.03671,0.03671,0.03671,0.00000000,0.0
1663459200,2022-09-18 00:00:00,SKL/EUR,0.04162,0.04190,0.03555,0.03671,378891.54735848,13909.1087035298
1663372800,2022-09-17 00:00:00,SKL/EUR,0.04164,0.04187,0.04164,0.04175,7452.49445581,311.1416435300675
1663286400,2022-09-16 00:00:00,SKL/EUR,0.04103,0.05340,0.04040,0.04123,161894.01837283,6674.8903775117815
1663200000,2022-09-15 00:00:00,SKL/EUR,0.04195,0.04513,0.04070,0.04070,147461.05027134,6001.664746043538
1663113600,2022-09-14 00:00:00,SKL/EUR,0.04485,0.04485,0.04331,0.04331,16265.20070917,704.4458427141527
1663027200,2022-09-13 00:00:00,SKL/EUR,0.04738,0.05780,0.04444,0.04505,114200.27699462,5144.722478607631
1662940800,2022-09-12 00:00:00,SKL/EUR,0.05010,0.05010,0.04862,0.04862,13105.25062337,637.1772853082493
1662854400,2022-09-11 00:00:00,SKL/EUR,0.05000,0.05083,0.04978,0.04978,11120.19997075,553.563554543935
1662768000,2022-09-10 00:00:00,SKL/EUR,0.05132,0.05132,0.05001,0.05096,11096.89643932,565.4978425477472
1662681600,2022-09-09 00:00:00,SKL/EUR,0.04822,0.05211,0.04822,0.05211,16119.83390782,840.0045449365002
1662595200,2022-09-08 00:00:00,SKL/EUR,0.04887,0.04919,0.04788,0.04814,9111.77813503,438.6409994203442
1662508800,2022-09-07 00:00:00,SKL/EUR,0.04590,0.04777,0.04590,0.04777,4635.47018110,221.43641055114702
1662422400,2022-09-06 00:00:00,SKL/EUR,0.05051,0.05149,0.04590,0.04590,37935.87200800,1741.2565251672002
1662336000,2022-09-05 00:00:00,SKL/EUR,0.05124,0.05223,0.04918,0.04951,7996.42730552,395.9031158962952
1662249600,2022-09-04 00:00:00,SKL/EUR,0.04943,0.05042,0.04943,0.05042,2938.84693586,148.1766625060612
1662163200,2022-09-03 00:00:00,SKL/EUR,0.04877,0.04877,0.04877,0.04877,14187.14906130,691.907259719601
1662076800,2022-09-02 00:00:00,SKL/EUR,0.04889,0.04894,0.04831,0.04848,81693.05850200,3960.4794761769604
1661990400,2022-09-01 00:00:00,SKL/EUR,0.04788,0.04788,0.04750,0.04750,6085.83323516,289.07707867010004
1661904000,2022-08-31 00:00:00,SKL/EUR,0.04994,0.04994,0.04783,0.04783,47855.38673016,2288.9231473035525
1661817600,2022-08-30 00:00:00,SKL/EUR,0.04764,0.04793,0.04764,0.04793,4695.86869764,225.0729866778852
1661731200,2022-08-29 00:00:00,SKL/EUR,0.04682,0.04892,0.04653,0.04892,6327.43995695,309.538362693994
1661644800,2022-08-28 00:00:00,SKL/EUR,0.04763,0.04825,0.04725,0.04825,16924.97469248,816.6300289121599
1661558400,2022-08-27 00:00:00,SKL/EUR,0.04794,0.04842,0.04706,0.04762,121525.41308010,5787.040170874362
1661472000,2022-08-26 00:00:00,SKL/EUR,0.05363,0.05382,0.04936,0.04936,24975.92686915,1232.811750261244
