https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ANT,Volume EUR
1663545600,2022-09-19 00:00:00,ANT/EUR,1.63,1.63,1.63,1.63,0.0,0.0
1663542000,2022-09-18 23:00:00,ANT/EUR,1.63,1.63,1.63,1.63,0.0,0.0
1663538400,2022-09-18 22:00:00,ANT/EUR,1.63,1.63,1.63,1.63,0.0,0.0
1663534800,2022-09-18 21:00:00,ANT/EUR,1.63,1.63,1.63,1.63,15.5,25.264999999999997
1663531200,2022-09-18 20:00:00,ANT/EUR,1.67,1.67,1.67,1.67,0.0,0.0
1663527600,2022-09-18 19:00:00,ANT/EUR,1.67,1.67,1.67,1.67,0.0,0.0
1663524000,2022-09-18 18:00:00,ANT/EUR,1.67,1.67,1.67,1.67,0.0,0.0
1663520400,2022-09-18 17:00:00,ANT/EUR,1.66,1.67,1.66,1.67,30.4,50.767999999999994
1663516800,2022-09-18 16:00:00,ANT/EUR,1.66,1.66,1.66,1.66,45.3,75.198
1663513200,2022-09-18 15:00:00,ANT/EUR,1.68,1.68,1.68,1.68,0.0,0.0
1663509600,2022-09-18 14:00:00,ANT/EUR,1.68,1.68,1.68,1.68,38.0,63.839999999999996
1663506000,2022-09-18 13:00:00,ANT/EUR,1.70,1.70,1.70,1.70,0.0,0.0
1663502400,2022-09-18 12:00:00,ANT/EUR,1.70,1.70,1.70,1.70,0.0,0.0
1663498800,2022-09-18 11:00:00,ANT/EUR,1.70,1.70,1.70,1.70,14.8,25.16
1663495200,2022-09-18 10:00:00,ANT/EUR,1.71,1.71,1.71,1.71,14.8,25.308
1663491600,2022-09-18 09:00:00,ANT/EUR,1.74,1.74,1.74,1.74,0.0,0.0
1663488000,2022-09-18 08:00:00,ANT/EUR,1.74,1.74,1.74,1.74,0.0,0.0
1663484400,2022-09-18 07:00:00,ANT/EUR,1.74,1.74,1.74,1.74,0.0,0.0
1663480800,2022-09-18 06:00:00,ANT/EUR,1.74,1.74,1.74,1.74,0.0,0.0
1663477200,2022-09-18 05:00:00,ANT/EUR,1.74,1.74,1.74,1.74,0.0,0.0
1663473600,2022-09-18 04:00:00,ANT/EUR,1.74,1.74,1.74,1.74,0.0,0.0
1663470000,2022-09-18 03:00:00,ANT/EUR,1.74,1.74,1.74,1.74,0.0,0.0
1663466400,2022-09-18 02:00:00,ANT/EUR,1.74,1.74,1.74,1.74,14.6,25.404
1663462800,2022-09-18 01:00:00,ANT/EUR,1.74,1.74,1.74,1.74,14.6,25.404
1663459200,2022-09-18 00:00:00,ANT/EUR,1.74,1.74,1.74,1.74,0.0,0.0
1663455600,2022-09-17 23:00:00,ANT/EUR,1.74,1.74,1.74,1.74,46.1,80.214
1663452000,2022-09-17 22:00:00,ANT/EUR,1.73,1.73,1.73,1.73,0.0,0.0
1663448400,2022-09-17 21:00:00,ANT/EUR,1.73,1.73,1.73,1.73,0.0,0.0
1663444800,2022-09-17 20:00:00,ANT/EUR,1.73,1.73,1.73,1.73,49.4,85.462
1663441200,2022-09-17 19:00:00,ANT/EUR,1.73,1.73,1.73,1.73,0.0,0.0
1663437600,2022-09-17 18:00:00,ANT/EUR,1.73,1.73,1.73,1.73,0.0,0.0
1663434000,2022-09-17 17:00:00,ANT/EUR,1.73,1.73,1.73,1.73,14.7,25.430999999999997
1663430400,2022-09-17 16:00:00,ANT/EUR,1.72,1.72,1.72,1.72,0.0,0.0
1663426800,2022-09-17 15:00:00,ANT/EUR,1.72,1.72,1.72,1.72,0.0,0.0
1663423200,2022-09-17 14:00:00,ANT/EUR,1.72,1.72,1.72,1.72,0.0,0.0
1663419600,2022-09-17 13:00:00,ANT/EUR,1.72,1.72,1.72,1.72,0.0,0.0
1663416000,2022-09-17 12:00:00,ANT/EUR,1.72,1.72,1.72,1.72,0.0,0.0
1663412400,2022-09-17 11:00:00,ANT/EUR,1.72,1.72,1.72,1.72,0.0,0.0
1663408800,2022-09-17 10:00:00,ANT/EUR,1.72,1.72,1.72,1.72,0.0,0.0
1663405200,2022-09-17 09:00:00,ANT/EUR,1.72,1.72,1.72,1.72,0.0,0.0
1663401600,2022-09-17 08:00:00,ANT/EUR,1.72,1.72,1.72,1.72,14.7,25.284
1663398000,2022-09-17 07:00:00,ANT/EUR,1.71,1.71,1.71,1.71,0.0,0.0
1663394400,2022-09-17 06:00:00,ANT/EUR,1.71,1.71,1.71,1.71,0.0,0.0
1663390800,2022-09-17 05:00:00,ANT/EUR,1.71,1.71,1.71,1.71,0.0,0.0
1663387200,2022-09-17 04:00:00,ANT/EUR,1.71,1.71,1.71,1.71,0.0,0.0
1663383600,2022-09-17 03:00:00,ANT/EUR,1.71,1.71,1.71,1.71,0.0,0.0
1663380000,2022-09-17 02:00:00,ANT/EUR,1.71,1.71,1.71,1.71,0.0,0.0
1663376400,2022-09-17 01:00:00,ANT/EUR,1.71,1.71,1.71,1.71,0.0,0.0
1663372800,2022-09-17 00:00:00,ANT/EUR,1.71,1.71,1.71,1.71,0.0,0.0
1663369200,2022-09-16 23:00:00,ANT/EUR,1.71,1.71,1.71,1.71,0.0,0.0
