https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume EUR,tradecount
1663545600000,2022-09-19 00:00:00,LTC/EUR,52.53000000,52.86000000,52.53000000,52.71000000,191.31300000,10080.61497000,81
1663459200000,2022-09-18 00:00:00,LTC/EUR,57.80000000,57.84000000,52.28000000,52.57000000,16245.75600000,895277.87554000,6072
1663372800000,2022-09-17 00:00:00,LTC/EUR,55.92000000,58.44000000,55.78000000,57.81000000,8733.68700000,499698.30000000,4406
1663286400000,2022-09-16 00:00:00,LTC/EUR,56.50000000,57.00000000,54.64000000,55.95000000,14612.04700000,813935.38320000,5935
1663200000000,2022-09-15 00:00:00,LTC/EUR,60.23000000,61.07000000,56.00000000,56.48000000,17233.08900000,1012654.80125000,5737
1663113600000,2022-09-14 00:00:00,LTC/EUR,59.24000000,61.32000000,58.25000000,60.32000000,14496.76300000,866560.75149000,4948
1663027200000,2022-09-13 00:00:00,LTC/EUR,60.59000000,66.35000000,58.60000000,59.24000000,38454.76200000,2414445.88709000,10120
1662940800000,2022-09-12 00:00:00,LTC/EUR,61.71000000,62.55000000,59.36000000,60.62000000,11457.57500000,696719.70333000,4168
1662854400000,2022-09-11 00:00:00,LTC/EUR,62.89000000,63.96000000,60.84000000,61.65000000,11368.29000000,709700.35039000,4455
1662768000000,2022-09-10 00:00:00,LTC/EUR,60.80000000,64.34000000,60.16000000,62.92000000,17662.27200000,1103383.01578000,5753
1662681600000,2022-09-09 00:00:00,LTC/EUR,57.97000000,61.64000000,57.69000000,60.81000000,14201.64900000,853423.17044000,4692
1662595200000,2022-09-08 00:00:00,LTC/EUR,57.38000000,58.63000000,56.20000000,57.98000000,14121.94900000,808941.11460000,4779
1662508800000,2022-09-07 00:00:00,LTC/EUR,54.73000000,58.30000000,53.60000000,57.43000000,15231.71300000,845278.74237000,5110
1662422400000,2022-09-06 00:00:00,LTC/EUR,60.81000000,62.94000000,54.65000000,54.71000000,19620.35700000,1150634.51094000,5831
1662336000000,2022-09-05 00:00:00,LTC/EUR,61.42000000,62.12000000,59.75000000,60.67000000,10414.10200000,631844.07598000,4150
