https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume EUR
1663545600000,2022-09-19 00:00:00,ETH/EUR,1330.0,1345.24,1330.0,1345.24,1.787373,2404.44565452
1663542000000,2022-09-18 23:00:00,ETH/EUR,1337.99,1348.65,1330.0,1330.0,7.545862,10035.99646
1663538400000,2022-09-18 22:00:00,ETH/EUR,1338.0,1338.66,1337.99,1337.99,9.433354,12621.73331846
1663534800000,2022-09-18 21:00:00,ETH/EUR,1369.92,1369.92,1338.0,1338.0,0.254616,340.67620800000003
1663531200000,2022-09-18 20:00:00,ETH/EUR,1380.95,1380.95,1369.92,1369.92,0.079976,109.56072192000002
1663527600000,2022-09-18 19:00:00,ETH/EUR,1371.4,1382.83,1371.4,1380.95,3.926803,5422.71860285
1663524000000,2022-09-18 18:00:00,ETH/EUR,1378.84,1378.84,1369.71,1371.4,2.708814,3714.8675196
1663520400000,2022-09-18 17:00:00,ETH/EUR,1389.65,1389.65,1378.84,1378.84,0.132339,182.47430676000002
1663516800000,2022-09-18 16:00:00,ETH/EUR,1413.96,1413.96,1389.65,1389.65,7.791033,10826.80900845
1663513200000,2022-09-18 15:00:00,ETH/EUR,1415.0,1415.0,1413.96,1413.96,0.070581,99.79871076
1663509600000,2022-09-18 14:00:00,ETH/EUR,1433.41,1433.43,1415.0,1415.0,0.024719,34.977385000000005
1663506000000,2022-09-18 13:00:00,ETH/EUR,1436.99,1436.99,1431.26,1433.41,0.189374,271.45058534
1663502400000,2022-09-18 12:00:00,ETH/EUR,1431.26,1436.99,1431.26,1436.99,0.006959,10.00001341
1663498800000,2022-09-18 11:00:00,ETH/EUR,1430.15,1432.31,1430.15,1431.26,0.071002,101.62232252
1663495200000,2022-09-18 10:00:00,ETH/EUR,1450.0,1450.0,1420.0,1430.15,0.094194,134.7115491
1663491600000,2022-09-18 09:00:00,ETH/EUR,1456.91,1456.91,1450.0,1450.0,0.031,44.95
1663488000000,2022-09-18 08:00:00,ETH/EUR,1452.63,1456.91,1451.73,1456.91,0.382134,556.73484594
1663484400000,2022-09-18 07:00:00,ETH/EUR,1451.4,1455.79,1451.4,1452.63,0.539706,783.9931267800001
1663480800000,2022-09-18 06:00:00,ETH/EUR,1454.93,1454.93,1451.4,1451.4,0.027559,39.9991326
1663477200000,2022-09-18 05:00:00,ETH/EUR,1451.4,1454.93,1451.4,1454.93,0.058267,84.77440631
1663473600000,2022-09-18 04:00:00,ETH/EUR,1451.4,1451.4,1451.4,1451.4,0.0,0.0
1663470000000,2022-09-18 03:00:00,ETH/EUR,1451.4,1451.4,1451.4,1451.4,0.0,0.0
1663466400000,2022-09-18 02:00:00,ETH/EUR,1451.4,1451.4,1451.4,1451.4,0.0,0.0
1663462800000,2022-09-18 01:00:00,ETH/EUR,1459.19,1459.19,1451.4,1451.4,0.856639,1243.3258446000002
1663459200000,2022-09-18 00:00:00,ETH/EUR,1459.19,1459.19,1459.19,1459.19,0.0,0.0
1663455600000,2022-09-17 23:00:00,ETH/EUR,1459.19,1459.19,1459.19,1459.19,0.0,0.0
1663452000000,2022-09-17 22:00:00,ETH/EUR,1451.97,1459.19,1451.97,1459.19,0.194491,283.79932229
1663448400000,2022-09-17 21:00:00,ETH/EUR,1462.72,1462.72,1451.97,1451.97,0.015952,23.16182544
1663444800000,2022-09-17 20:00:00,ETH/EUR,1462.72,1462.72,1462.72,1462.72,0.0,0.0
1663441200000,2022-09-17 19:00:00,ETH/EUR,1469.98,1469.98,1462.72,1462.72,0.031474,46.037649280000004
1663437600000,2022-09-17 18:00:00,ETH/EUR,1469.98,1469.98,1469.98,1469.98,0.0,0.0
1663434000000,2022-09-17 17:00:00,ETH/EUR,1465.17,1469.98,1465.17,1469.98,0.003303,4.85534394
1663430400000,2022-09-17 16:00:00,ETH/EUR,1436.82,1465.17,1436.82,1465.17,0.192736,282.39100512
1663426800000,2022-09-17 15:00:00,ETH/EUR,1430.97,1436.82,1430.97,1436.82,0.033229,47.74409178
1663423200000,2022-09-17 14:00:00,ETH/EUR,1422.88,1430.97,1421.13,1430.97,8.270128,11834.30506416
1663419600000,2022-09-17 13:00:00,ETH/EUR,1416.93,1422.88,1416.93,1422.88,0.00944,13.431987200000002
1663416000000,2022-09-17 12:00:00,ETH/EUR,1420.17,1420.17,1416.93,1416.93,0.03192,45.228405599999995
1663412400000,2022-09-17 11:00:00,ETH/EUR,1424.36,1424.36,1419.62,1420.17,0.284534,404.08665078
1663408800000,2022-09-17 10:00:00,ETH/EUR,1433.64,1433.64,1424.36,1424.36,0.004493,6.399649479999999
1663405200000,2022-09-17 09:00:00,ETH/EUR,1430.0,1433.64,1430.0,1433.64,0.032106,46.02844584
1663401600000,2022-09-17 08:00:00,ETH/EUR,1429.97,1433.31,1429.97,1430.0,0.304478,435.40354
1663398000000,2022-09-17 07:00:00,ETH/EUR,1427.31,1429.97,1427.31,1429.97,0.038424,54.94516728
1663394400000,2022-09-17 06:00:00,ETH/EUR,1427.31,1427.31,1427.31,1427.31,0.0,0.0
1663390800000,2022-09-17 05:00:00,ETH/EUR,1438.39,1438.39,1427.31,1427.31,1.824573,2604.23128863
1663387200000,2022-09-17 04:00:00,ETH/EUR,1438.39,1438.39,1438.39,1438.39,0.0,0.0
1663383600000,2022-09-17 03:00:00,ETH/EUR,1444.77,1444.77,1438.39,1438.39,0.32895,473.15839050000005
1663380000000,2022-09-17 02:00:00,ETH/EUR,1444.77,1444.77,1444.77,1444.77,0.0,0.0
1663376400000,2022-09-17 01:00:00,ETH/EUR,1432.2,1444.77,1432.2,1444.77,0.003505,5.063918849999999
