https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LOCG,Volume USDT
1663459200,2022-09-18 00:00:00,LOCG/USDT,0.01812,0.01822,0.01804,0.01822,2157.4721,39.143386888
1663372800,2022-09-17 00:00:00,LOCG/USDT,0.01678,0.01881,0.01664,0.01812,3900109.1337,70366.990440202
1663286400,2022-09-16 00:00:00,LOCG/USDT,0.01656,0.01782,0.01622,0.01678,1107778.0885,18931.752412746
1663200000,2022-09-15 00:00:00,LOCG/USDT,0.01667,0.01805,0.01621,0.01655,1426487.1631,24507.557739069
1663113600,2022-09-14 00:00:00,LOCG/USDT,0.01718,0.0172,0.01616,0.01666,1538897.1562,25602.661690852
1663027200,2022-09-13 00:00:00,LOCG/USDT,0.01874,0.01876,0.01683,0.0171,1532520.1604,26794.149915482
1662940800,2022-09-12 00:00:00,LOCG/USDT,0.01809,0.01946,0.01737,0.01874,1640821.0771,30222.450211615
1662854400,2022-09-11 00:00:00,LOCG/USDT,0.01838,0.01923,0.01796,0.01818,1383966.1132,25714.732163047
1662768000,2022-09-10 00:00:00,LOCG/USDT,0.01916,0.01977,0.01766,0.01835,806384.6981,14954.060996433
1662681600,2022-09-09 00:00:00,LOCG/USDT,0.01721,0.02098,0.01692,0.01903,4816853.0063,92073.131457842
1662595200,2022-09-08 00:00:00,LOCG/USDT,0.01717,0.01751,0.01637,0.0172,2017931.0469,33991.676024549
1662508800,2022-09-07 00:00:00,LOCG/USDT,0.01622,0.01786,0.01592,0.01717,3823113.9923,63267.462898674
1662422400,2022-09-06 00:00:00,LOCG/USDT,0.02026,0.021,0.0159,0.01622,6374532.1362,113414.084118745
1662336000,2022-09-05 00:00:00,LOCG/USDT,0.01911,0.02056,0.019,0.02011,2708599.9545,53740.319579128
1662249600,2022-09-04 00:00:00,LOCG/USDT,0.017,0.02132,0.01665,0.01912,8037612.6146,157779.868810287
1662163200,2022-09-03 00:00:00,LOCG/USDT,0.01797,0.01837,0.01649,0.01719,1710195.7998,29335.9222607
1662076800,2022-09-02 00:00:00,LOCG/USDT,0.01664,0.0192,0.01644,0.01785,5023913.77816291,91259.6298688208022
1661990400,2022-09-01 00:00:00,LOCG/USDT,0.01653,0.01678,0.0157,0.01664,1258266.495,20505.928495316
1661904000,2022-08-31 00:00:00,LOCG/USDT,0.01667,0.01707,0.01584,0.01653,2577286.5827,42572.495863703
1661817600,2022-08-30 00:00:00,LOCG/USDT,0.01738,0.0187,0.01567,0.01663,5140755.8935,87295.694974885
1661731200,2022-08-29 00:00:00,LOCG/USDT,0.01843,0.01901,0.01556,0.01741,6903244.8721,117628.669883787
1661644800,2022-08-28 00:00:00,LOCG/USDT,0.01927,0.01987,0.01836,0.01836,1446757.0694,27738.917547206
1661558400,2022-08-27 00:00:00,LOCG/USDT,0.02135,0.02163,0.01874,0.01934,2769863.79135404,55749.194823895118
1661472000,2022-08-26 00:00:00,LOCG/USDT,0.02295,0.026,0.021,0.02135,3680415.189,84811.431753706
1661385600,2022-08-25 00:00:00,LOCG/USDT,0.02411,0.02427,0.02175,0.02297,1735243.80939877,39590.4874291882512
1661299200,2022-08-24 00:00:00,LOCG/USDT,0.02407,0.02447,0.0233,0.024,566901.823,13624.955098969
1661212800,2022-08-23 00:00:00,LOCG/USDT,0.02355,0.02449,0.0229,0.02405,1184208.1378,28308.453943625
1661126400,2022-08-22 00:00:00,LOCG/USDT,0.0267,0.02679,0.02347,0.02354,2027279.0415,49617.86374228
1661040000,2022-08-21 00:00:00,LOCG/USDT,0.02561,0.02703,0.02524,0.02672,755162.4316,19731.77310723
1660953600,2022-08-20 00:00:00,LOCG/USDT,0.0246,0.02924,0.0244,0.02561,1591608.5325,40672.688319783
1660867200,2022-08-19 00:00:00,LOCG/USDT,0.02812,0.02826,0.02447,0.0246,2120432.2619,54768.601192599
1660780800,2022-08-18 00:00:00,LOCG/USDT,0.02844,0.02884,0.0271,0.028,1801816.0864,50487.324311803
1660694400,2022-08-17 00:00:00,LOCG/USDT,0.03169,0.03245,0.028,0.02831,1650674.866,48999.325695555
