https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CGG,Volume USDT
1663459200,2022-09-18 00:00:00,CGG/USDT,0.1019,0.1019,0.1015,0.1019,102191.8554,10403.60440485
1663372800,2022-09-17 00:00:00,CGG/USDT,0.0997,0.1018,0.0995,0.1018,2995395.4077,301445.63366015
1663286400,2022-09-16 00:00:00,CGG/USDT,0.098,0.1,0.0976,0.0999,2929296.2694,288119.09048676
1663200000,2022-09-15 00:00:00,CGG/USDT,0.0995,0.0999,0.0979,0.0982,2971100.0262,293343.33521265
1663113600,2022-09-14 00:00:00,CGG/USDT,0.0989,0.1,0.0979,0.0996,3069777.2217,303329.82620602
1663027200,2022-09-13 00:00:00,CGG/USDT,0.1013,0.1026,0.0977,0.0989,2834103.0378,283527.03081393
1662940800,2022-09-12 00:00:00,CGG/USDT,0.1013,0.1034,0.1001,0.1013,2934812.3825,296598.72489289
1662854400,2022-09-11 00:00:00,CGG/USDT,0.1053,0.1074,0.1009,0.1013,3219565.313,331506.44513965
1662768000,2022-09-10 00:00:00,CGG/USDT,0.1055,0.1128,0.1011,0.1055,3467780.9721,370095.15671035
1662681600,2022-09-09 00:00:00,CGG/USDT,0.1025,0.1081,0.1007,0.1054,2855263.368,294040.47271899
1662595200,2022-09-08 00:00:00,CGG/USDT,0.1049,0.1052,0.1015,0.1027,2628161.2239,270858.1643849
1662508800,2022-09-07 00:00:00,CGG/USDT,0.1022,0.1124,0.0985,0.1053,2924804.8564,298856.4735693
1662422400,2022-09-06 00:00:00,CGG/USDT,0.1032,0.1115,0.0985,0.1024,2977401.4999,305885.6814937
1662336000,2022-09-05 00:00:00,CGG/USDT,0.0995,0.1035,0.0987,0.1032,2658104.3349,267726.16665604
1662249600,2022-09-04 00:00:00,CGG/USDT,0.1011,0.1033,0.0985,0.0993,2874981.4171,289633.48780505
1662163200,2022-09-03 00:00:00,CGG/USDT,0.0999,0.103,0.0989,0.1014,2661757.9081,268559.24336358
1662076800,2022-09-02 00:00:00,CGG/USDT,0.1023,0.1027,0.0989,0.1002,2861464.2058,287928.71092114
1661990400,2022-09-01 00:00:00,CGG/USDT,0.1025,0.1057,0.1007,0.1025,3014835.5459,309476.26703294
1661904000,2022-08-31 00:00:00,CGG/USDT,0.1033,0.1048,0.1016,0.1025,3033574.4773,312854.1705581
1661817600,2022-08-30 00:00:00,CGG/USDT,0.1049,0.1056,0.1028,0.1034,2768006.8509,287992.26906108
1661731200,2022-08-29 00:00:00,CGG/USDT,0.1036,0.1065,0.103,0.1051,2844969.982,297640.89982864
1661644800,2022-08-28 00:00:00,CGG/USDT,0.1051,0.1056,0.1031,0.1036,2924706.137,304220.53835762
1661558400,2022-08-27 00:00:00,CGG/USDT,0.1061,0.1081,0.1044,0.1052,2842788.6862,299403.07604058
1661472000,2022-08-26 00:00:00,CGG/USDT,0.1087,0.1101,0.1049,0.106,3093012.1879,330722.59969072
1661385600,2022-08-25 00:00:00,CGG/USDT,0.1089,0.1098,0.1053,0.1089,2808412.2926,301975.30405327
1661299200,2022-08-24 00:00:00,CGG/USDT,0.1123,0.1126,0.1065,0.1091,2906520.0243,314431.47233034
1661212800,2022-08-23 00:00:00,CGG/USDT,0.1071,0.1133,0.1056,0.1123,2792311.9078,305537.53877405
